trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio1.wav,228.6816964999307,228.62466135248542,1,[9.092126300092787],[9.092132499907166],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio2.wav,237.79455200000666,237.79683544998989,2,"[9.092126300092787, 19.350472300080582]","[0.014378299936652184, 19.3504796999041]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio3.wav,257.2222041001078,257.21312645007856,3,"[9.092126300092787, 19.350472300080582, 16.852465600008145]","[0.014378299936652184, 0.013910399982705712, 16.852472099941224]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio4.wav,274.1523072998971,274.143972849939,4,"[9.092126300092787, 19.350472300080582, 16.852465600008145, 20.07295519998297]","[0.014378299936652184, 0.013910399982705712, 0.00021749990992248058, 20.07296309992671]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio5.wav,294.2885096000973,294.2772066200152,5,"[9.092126300092787, 19.350472300080582, 16.852465600008145, 20.07295519998297, 5.507731100078672]","[0.014378299936652184, 0.013910399982705712, 0.00021749990992248058, 0.036411400185897946, 5.507737300125882]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio6.wav,299.8485032999888,299.84873231993987,6,"[9.092126300092787, 19.350472300080582, 16.852465600008145, 20.07295519998297, 5.507731100078672, 4.9516592000145465]","[0.014378299936652184, 0.013910399982705712, 0.00021749990992248058, 0.036411400185897946, 0.0313404998742044, 4.951665600063279]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio7.wav,304.85079129994847,304.8525464199949,7,"[9.092126300092787, 19.350472300080582, 16.852465600008145, 20.07295519998297, 5.507731100078672, 4.9516592000145465, 5.470737700117752]","[0.014378299936652184, 0.013910399982705712, 0.00021749990992248058, 0.036411400185897946, 0.0313404998742044, 0.014211799949407578, 5.470744600053877]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio8.wav,310.3742670000065,310.3738911201246,8,"[9.092126300092787, 19.350472300080582, 16.852465600008145, 20.07295519998297, 5.507731100078672, 4.9516592000145465, 5.470737700117752, 11.924032799899578]","[0.014378299936652184, 0.013910399982705712, 0.00021749990992248058, 0.036411400185897946, 0.0313404998742044, 0.014211799949407578, 0.04694280005060136, 11.924040299840271]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio9.wav,322.36554790008813,322.3673657500185,9,"[9.092126300092787, 19.350472300080582, 16.852465600008145, 20.07295519998297, 5.507731100078672, 4.9516592000145465, 5.470737700117752, 11.924032799899578, 6.2709964998066425]","[0.014378299936652184, 0.013910399982705712, 0.00021749990992248058, 0.036411400185897946, 0.0313404998742044, 0.014211799949407578, 0.04694280005060136, 0.032777899876236916, 6.271003499859944]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio10.wav,328.6861163000576,328.67253779000606,10,"[9.092126300092787, 19.350472300080582, 16.852465600008145, 20.07295519998297, 5.507731100078672, 4.9516592000145465, 5.470737700117752, 11.924032799899578, 6.2709964998066425, 7.323352999985218]","[0.014378299936652184, 0.013910399982705712, 0.00021749990992248058, 0.036411400185897946, 0.0313404998742044, 0.014211799949407578, 0.04694280005060136, 0.032777899876236916, 0.05041719996370375, 7.323362699942663]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010UVG,train_x,blue_star,bottom_right,2024-12-06_13h38.53.416,HideSeek_v1,2022.2.5,59.92092835471535,
