trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio1.wav,1370.3947228000034,1370.3474211406428,1,[3.9544538999907672],[3.9544666002038866],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio2.wav,1374.3714899001643,1374.3703759501223,2,"[3.9544538999907672, 18.795546100009233]","[3.9544666002038866, 18.795554700074717]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio3.wav,1393.2480933000334,1393.2354039500933,3,"[3.9544538999907672, 18.795546100009233, 17.851823200006038]","[3.9544666002038866, 0.00020999996922910213, 17.851831999840215]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio4.wav,1411.1774198999628,1411.1675016500521,4,"[3.9544538999907672, 18.795546100009233, 17.851823200006038, 27.010406399844214]","[3.9544666002038866, 0.00020999996922910213, 0.00022249994799494743, 27.010414199903607]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio5.wav,1438.2539705999661,1438.2400913601741,5,"[3.9544538999907672, 18.795546100009233, 17.851823200006038, 27.010406399844214, 4.4708579001016915]","[3.9544666002038866, 0.00020999996922910213, 0.00022249994799494743, 0.00019940012134611607, 4.4708657001610845]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio6.wav,1442.7762126000598,1442.7770413600374,6,"[3.9544538999907672, 18.795546100009233, 17.851823200006038, 27.010406399844214, 4.4708579001016915, 4.535730400122702]","[3.9544666002038866, 0.00020999996922910213, 0.00022249994799494743, 0.00019940012134611607, 0.013825200032442808, 4.535737800179049]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio7.wav,1447.3641091999598,1447.3645368600264,7,"[3.9544538999907672, 18.795546100009233, 17.851823200006038, 27.010406399844214, 4.4708579001016915, 4.535730400122702, 4.968396800104529]","[3.9544666002038866, 0.00020999996922910213, 0.00022249994799494743, 0.00019940012134611607, 0.013825200032442808, 0.030747300013899803, 4.968404799932614]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio8.wav,1452.3873519999906,1452.3851815599483,8,"[3.9544538999907672, 18.795546100009233, 17.851823200006038, 27.010406399844214, 4.4708579001016915, 4.535730400122702, 4.968396800104529, 11.571953699924052]","[3.9544666002038866, 0.00020999996922910213, 0.00022249994799494743, 0.00019940012134611607, 0.013825200032442808, 0.030747300013899803, 0.04663800005801022, 11.571961800102144]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio9.wav,1464.0254449001513,1464.0115820600186,9,"[3.9544538999907672, 18.795546100009233, 17.851823200006038, 27.010406399844214, 4.4708579001016915, 4.535730400122702, 4.968396800104529, 11.571953699924052, 5.521857500076294]","[3.9544666002038866, 0.00020999996922910213, 0.00022249994799494743, 0.00019940012134611607, 0.013825200032442808, 0.030747300013899803, 0.04663800005801022, 0.034200800117105246, 5.521869300166145]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/bottom_right/instructions/Audio10.wav,1469.6052586000878,1469.5994378600735,10,"[3.9544538999907672, 18.795546100009233, 17.851823200006038, 27.010406399844214, 4.4708579001016915, 4.535730400122702, 4.968396800104529, 11.571953699924052, 5.521857500076294, 6.447168399812654]","[3.9544666002038866, 0.00020999996922910213, 0.00022249994799494743, 0.00019940012134611607, 0.013825200032442808, 0.030747300013899803, 0.04663800005801022, 0.034200800117105246, 0.013922699959948659, 6.447175999870524]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0MW9TH,train_y,red_square,bottom_right,2025-04-03_15h51.08.455,HideSeek_v1,2022.2.5,59.86708307971288,
