trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,wLy_dir,wLx_dir,x_movePos,y_movePos,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio1.wav,33.16533540003002,33.105212301248685,1,[20.55779719981365],[20.557808799901977],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio2.wav,53.748039699858055,53.7407847000286,2,"[20.55779719981365, 17.454602600075305]","[0.01438189996406436, 17.454609300009906]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio3.wav,71.28186999983154,71.27164499997161,3,"[20.55779719981365, 17.454602600075305, 16.367915299953893]","[0.01438189996406436, 0.014326300006359816, 16.367922200122848]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio4.wav,87.72996179992333,87.71866829995997,4,"[20.55779719981365, 17.454602600075305, 16.367915299953893, 18.785638900008053]","[0.01438189996406436, 0.014326300006359816, 0.014614100102335215, 18.78564519993961]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio5.wav,106.58330609998666,106.58443769998848,5,"[20.55779719981365, 17.454602600075305, 16.367915299953893, 18.785638900008053, 4.019145000027493]","[0.01438189996406436, 0.014326300006359816, 0.014614100102335215, 0.014365399954840541, 4.019151800079271]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio6.wav,110.65244259987958,110.65461038001813,6,"[20.55779719981365, 17.454602600075305, 16.367915299953893, 18.785638900008053, 4.019145000027493, 4.386381699936464]","[0.01438189996406436, 0.014326300006359816, 0.014614100102335215, 0.014365399954840541, 0.049508600030094385, 4.386389299994335]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio7.wav,115.09016869985498,115.09121168004349,7,"[20.55779719981365, 17.454602600075305, 16.367915299953893, 18.785638900008053, 4.019145000027493, 4.386381699936464, 5.103291800012812]","[0.01438189996406436, 0.014326300006359816, 0.014614100102335215, 0.014365399954840541, 0.049508600030094385, 0.06569750001654029, 5.103298400063068]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio8.wav,120.2476548999548,120.24571508001536,8,"[20.55779719981365, 17.454602600075305, 16.367915299953893, 18.785638900008053, 4.019145000027493, 4.386381699936464, 5.103291800012812, 11.271854999940842]","[0.01438189996406436, 0.014326300006359816, 0.014614100102335215, 0.014365399954840541, 0.049508600030094385, 0.06569750001654029, 0.03073900006711483, 11.27186209987849]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio9.wav,131.58655179990456,131.58841930003837,9,"[20.55779719981365, 17.454602600075305, 16.367915299953893, 18.785638900008053, 4.019145000027493, 4.386381699936464, 5.103291800012812, 11.271854999940842, 5.487834500148892]","[0.01438189996406436, 0.014326300006359816, 0.014614100102335215, 0.014365399954840541, 0.049508600030094385, 0.06569750001654029, 0.03073900006711483, 0.06684750015847385, 5.487841000081971]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio10.wav,137.1134299999103,137.10977915991097,10,"[20.55779719981365, 17.454602600075305, 16.367915299953893, 18.785638900008053, 4.019145000027493, 4.386381699936464, 5.103291800012812, 11.271854999940842, 5.487834500148892, 6.566073399968445]","[0.01438189996406436, 0.014326300006359816, 0.014614100102335215, 0.014365399954840541, 0.049508600030094385, 0.06569750001654029, 0.03073900006711483, 0.06684750015847385, 0.06421440001577139, 6.5660805001389235]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide11.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio11.wav,143.71804139995947,143.7151753598824,11,"[20.55779719981365, 17.454602600075305, 16.367915299953893, 18.785638900008053, 4.019145000027493, 4.386381699936464, 5.103291800012812, 11.271854999940842, 5.487834500148892, 6.566073399968445, 10.203315999824554]","[0.01438189996406436, 0.014326300006359816, 0.014614100102335215, 0.014365399954840541, 0.049508600030094385, 0.06569750001654029, 0.03073900006711483, 0.06684750015847385, 0.06421440001577139, 0.07940439996309578, 10.203323099995032]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide12.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio12.wav,154.00120950001292,153.99094399996102,12,"[20.55779719981365, 17.454602600075305, 16.367915299953893, 18.785638900008053, 4.019145000027493, 4.386381699936464, 5.103291800012812, 11.271854999940842, 5.487834500148892, 6.566073399968445, 10.203315999824554, 13.548346000025049]","[0.01438189996406436, 0.014326300006359816, 0.014614100102335215, 0.014365399954840541, 0.049508600030094385, 0.06569750001654029, 0.03073900006711483, 0.06684750015847385, 0.06421440001577139, 0.07940439996309578, 0.013901700032874942, 13.54835299984552]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
1,2,3,2,8,0,5,11,2,instr_dim1_1,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/11.png,conditions/schedules/train_y_first/red_square_00/bottom_left/inputInstr_1.xlsx,stimuli/alien_stimuli/11.png,167.6585246999748,167.6585246999748,167.6585246999748,167.6585246999748,167.65170423998495,return,8.900526099838316,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",8,3,2,2,0.4,0.0,176.703926499933,176.703926499933,176.703926499933,176.703926499933,176.703926499933,176.703926499933,176.703926499933,176.69244015999138,6.4398040000814945,return,6.288330700015649,stimuli/alien_stimuli/11.png,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
,,,,,,,,,,,30,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/red_square_00/bottom_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0Q50WN,train_y,red_square,bottom_left,2025-09-13_10h12.14.557,HideSeek_v1,2022.2.5,59.89056798545768,
