trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio1.wav,74.38117109999985,74.3346880999934,1,[3.9804969000006167],[3.980504699999983],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio2.wav,78.3859382999999,78.38431750000018,2,"[3.9804969000006167, 18.578716400000303]","[0.014840900000308466, 18.57872370000041]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio3.wav,97.04857889999948,97.04981807999957,3,"[3.9804969000006167, 18.578716400000303, 16.412002400000347]","[0.014840900000308466, 18.57872370000041, 16.412009200000284]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio4.wav,113.53893100000005,113.52993259999948,4,"[3.9804969000006167, 18.578716400000303, 16.412002400000347, 20.288804700000583]","[0.014840900000308466, 18.57872370000041, 0.08856610000020737, 20.288811800000076]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio5.wav,133.8903852000003,133.88015971999994,5,"[3.9804969000006167, 18.578716400000303, 16.412002400000347, 20.288804700000583, 4.641051100000368]","[0.014840900000308466, 18.57872370000041, 0.08856610000020737, 0.053901500000392844, 4.641058100000009]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio6.wav,138.58419739999954,138.58416771999964,6,"[3.9804969000006167, 18.578716400000303, 16.412002400000347, 20.288804700000583, 4.641051100000368, 6.036132799999905]","[0.014840900000308466, 18.57872370000041, 0.08856610000020737, 0.053901500000392844, 4.641058100000009, 6.0361400000001595]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio7.wav,144.6711035999997,144.67262071999994,7,"[3.9804969000006167, 18.578716400000303, 16.412002400000347, 20.288804700000583, 4.641051100000368, 6.036132799999905, 6.654440199999954]","[0.014840900000308466, 18.57872370000041, 0.08856610000020737, 0.053901500000392844, 4.641058100000009, 0.00027290000070934184, 6.654447400000208]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio8.wav,151.37906419999945,151.37808181999935,8,"[3.9804969000006167, 18.578716400000303, 16.412002400000347, 20.288804700000583, 4.641051100000368, 6.036132799999905, 6.654440199999954, 11.889977199999521]","[0.014840900000308466, 18.57872370000041, 0.08856610000020737, 0.053901500000392844, 4.641058100000009, 0.00027290000070934184, 0.04710549999981595, 11.88998410000022]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio9.wav,163.33521589999964,163.32154462000017,9,"[3.9804969000006167, 18.578716400000303, 16.412002400000347, 20.288804700000583, 4.641051100000368, 6.036132799999905, 6.654440199999954, 11.889977199999521, 5.671587300000283]","[0.014840900000308466, 18.57872370000041, 0.08856610000020737, 0.053901500000392844, 4.641058100000009, 0.00027290000070934184, 0.04710549999981595, 0.050384699999995064, 5.67159410000022]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio10.wav,169.04528179999943,169.04279823999968,10,"[3.9804969000006167, 18.578716400000303, 16.412002400000347, 20.288804700000583, 4.641051100000368, 6.036132799999905, 6.654440199999954, 11.889977199999521, 5.671587300000283, 6.984255700000176]","[0.014840900000308466, 18.57872370000041, 0.08856610000020737, 0.053901500000392844, 4.641058100000009, 0.00027290000070934184, 0.04710549999981595, 0.050384699999995064, 0.047018600000228616, 6.9842625999999655]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0U0YR0,train_x,blue_star,bottom_right,2025-05-30_10h32.45.557,HideSeek_v1,2022.2.5,59.96217585951151,
