trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio1.wav,58.45354899999984,58.399633099993665,1,[3.3860342999996647],[3.3860426999999618],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio2.wav,61.856671199999255,61.84763429999912,2,"[3.3860342999996647, 19.02097270000013]","[0.03427670000019134, 19.020979500000976]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio3.wav,80.94717049999963,80.94717215000037,3,"[3.3860342999996647, 19.02097270000013, 16.711811999999554]","[0.03427670000019134, 0.014822600000115926, 16.711819399999513]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio4.wav,97.7391606000001,97.72733355000037,4,"[3.3860342999996647, 19.02097270000013, 16.711811999999554, 19.284667699999773]","[0.03427670000019134, 0.014822600000115926, 0.014282699999967008, 19.284674399999858]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio5.wav,117.09041230000003,117.09335154999917,5,"[3.3860342999996647, 19.02097270000013, 16.711811999999554, 19.284667699999773, 4.386944800000492]","[0.03427670000019134, 0.014822600000115926, 0.014282699999967008, 0.013720599999942351, 4.386951700000282]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio6.wav,121.52646950000053,121.5137104499996,6,"[3.3860342999996647, 19.02097270000013, 16.711811999999554, 19.284667699999773, 4.386944800000492, 4.504716600000393]","[0.03427670000019134, 0.014822600000115926, 0.014282699999967008, 0.013720599999942351, 0.06773720000091998, 4.504723100000774]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio7.wav,126.08006000000023,126.06736744999999,7,"[3.3860342999996647, 19.02097270000013, 16.711811999999554, 19.284667699999773, 4.386944800000492, 4.504716600000393, 5.505751899998359]","[0.03427670000019134, 0.014822600000115926, 0.014282699999967008, 0.013720599999942351, 0.06773720000091998, 0.0681269999986398, 5.50575839999874]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio8.wav,131.6357705999999,131.63870209999985,8,"[3.3860342999996647, 19.02097270000013, 16.711811999999554, 19.284667699999773, 4.386944800000492, 4.504716600000393, 5.505751899998359, 12.12733709999884]","[0.03427670000019134, 0.014822600000115926, 0.014282699999967008, 0.013720599999942351, 0.06773720000091998, 0.0681269999986398, 0.08373410000058357, 12.127347100000406]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio9.wav,143.8317979000003,143.8324886500004,9,"[3.3860342999996647, 19.02097270000013, 16.711811999999554, 19.284667699999773, 4.386944800000492, 4.504716600000393, 5.505751899998359, 12.12733709999884, 6.152658899998642]","[0.03427670000019134, 0.014822600000115926, 0.014282699999967008, 0.013720599999942351, 0.06773720000091998, 0.0681269999986398, 0.08373410000058357, 0.04800299999988056, 6.152665699999488]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio10.wav,150.02002379999976,150.02052774999956,10,"[3.3860342999996647, 19.02097270000013, 16.711811999999554, 19.284667699999773, 4.386944800000492, 4.504716600000393, 5.505751899998359, 12.12733709999884, 6.152658899998642, 6.987178199999107]","[0.03427670000019134, 0.014822600000115926, 0.014282699999967008, 0.013720599999942351, 0.06773720000091998, 0.0681269999986398, 0.08373410000058357, 0.04800299999988056, 0.11479839999992691, 6.987184499999785]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0UGR16,train_x,red_square,top_right,2025-06-14_13h41.42.378,HideSeek_v1,2022.2.5,59.99098935331685,
