trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio1.wav,102.59369339991827,102.53541410189355,1,[10.84812530002091],[10.848134999978356],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio2.wav,113.47087069996633,113.46096090000356,2,"[10.84812530002091, 18.50339919992257]","[10.848134999978356, 18.503405799972825]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio3.wav,132.0576856000116,132.0598045999417,3,"[10.84812530002091, 18.50339919992257, 16.479988200007938]","[10.848134999978356, 18.503405799972825, 16.4799949999433]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio4.wav,148.62210929999128,148.62363729996142,4,"[10.84812530002091, 18.50339919992257, 16.479988200007938, 19.130866400082596]","[10.848134999978356, 18.503405799972825, 0.013843100052326918, 19.130873000016436]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio5.wav,167.8198388000019,167.80583959994837,5,"[10.84812530002091, 18.50339919992257, 16.479988200007938, 19.130866400082596, 5.0219909000443295]","[10.848134999978356, 18.503405799972825, 0.013843100052326918, 0.0343170000705868, 5.021997400093824]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio6.wav,172.89251439995132,172.8940039000241,6,"[10.84812530002091, 18.50339919992257, 16.479988200007938, 19.130866400082596, 5.0219909000443295, 4.803032099967822]","[10.848134999978356, 18.503405799972825, 0.013843100052326918, 0.0343170000705868, 0.013816099963150918, 4.803039700025693]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio7.wav,177.74748289992567,177.74794439997058,7,"[10.84812530002091, 18.50339919992257, 16.479988200007938, 19.130866400082596, 5.0219909000443295, 4.803032099967822, 5.6186814999673516]","[10.848134999978356, 18.503405799972825, 0.013843100052326918, 0.0343170000705868, 0.013816099963150918, 0.0304366999771446, 5.6186886000214145]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio8.wav,183.41955409990624,183.41912230001762,8,"[10.84812530002091, 18.50339919992257, 16.479988200007938, 19.130866400082596, 5.0219909000443295, 4.803032099967822, 5.6186814999673516, 11.389776999945752]","[10.848134999978356, 18.503405799972825, 0.013843100052326918, 0.0343170000705868, 0.013816099963150918, 0.0304366999771446, 0.04697609995491803, 11.389783399994485]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio9.wav,194.8738959999755,194.86198559999465,9,"[10.84812530002091, 18.50339919992257, 16.479988200007938, 19.130866400082596, 5.0219909000443295, 4.803032099967822, 5.6186814999673516, 11.389776999945752, 5.640782399917953]","[10.848134999978356, 18.503405799972825, 0.013843100052326918, 0.0343170000705868, 0.013816099963150918, 0.0304366999771446, 0.04697609995491803, 0.06869599991478026, 5.640790199977346]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio10.wav,200.56140080001205,200.54984700003408,10,"[10.84812530002091, 18.50339919992257, 16.479988200007938, 19.130866400082596, 5.0219909000443295, 4.803032099967822, 5.6186814999673516, 11.389776999945752, 5.640782399917953, 6.908730400027707]","[10.848134999978356, 18.503405799972825, 0.013843100052326918, 0.0343170000705868, 0.013816099963150918, 0.0304366999771446, 0.04697609995491803, 0.06869599991478026, 0.1194603000767529, 6.908737099962309]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0YPYKJ,train_x,red_square,top_left,2025-05-22_15h04.18.649,HideSeek_v1,2022.2.5,59.93676671805206,
