trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,wLy_dir,wLx_dir,x_movePos,y_movePos,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio1.wav,729.7047750998754,729.6560769348405,1,[7.435866000130773],[7.435883100144565],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio2.wav,737.1633642998058,737.1615187997231,2,"[7.435866000130773, 18.9293742000591]","[0.00020459992811083794, 18.92938149999827]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio3.wav,756.1606840998866,756.1609342998127,3,"[7.435866000130773, 18.9293742000591, 16.7799751998391]","[0.00020459992811083794, 18.92938149999827, 16.779982399893925]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio4.wav,773.0216741999611,773.008339699707,4,"[7.435866000130773, 18.9293742000591, 16.7799751998391, 19.700495900120586]","[0.00020459992811083794, 18.92938149999827, 0.03492469992488623, 19.700502200052142]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio5.wav,792.7892430999782,792.7913387998706,5,"[7.435866000130773, 18.9293742000591, 16.7799751998391, 19.700495900120586, 5.221211299998686]","[0.00020459992811083794, 18.92938149999827, 0.03492469992488623, 0.03386439988389611, 5.22121850005351]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio6.wav,798.0609736999031,798.0628174798563,6,"[7.435866000130773, 18.9293742000591, 16.7799751998391, 19.700495900120586, 5.221211299998686, 5.653741399990395]","[0.00020459992811083794, 18.92938149999827, 0.03492469992488623, 0.03386439988389611, 0.049141300143674016, 5.653747899923474]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio7.wav,803.7849299998488,803.7839946997119,7,"[7.435866000130773, 18.9293742000591, 16.7799751998391, 19.700495900120586, 5.221211299998686, 5.653741399990395, 5.868268999969587]","[0.00020459992811083794, 18.92938149999827, 0.03492469992488623, 0.03386439988389611, 0.049141300143674016, 0.031072800047695637, 5.868275499902666]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio8.wav,809.7078891999554,809.7056319798809,8,"[7.435866000130773, 18.9293742000591, 16.7799751998391, 19.700495900120586, 5.221211299998686, 5.653741399990395, 5.868268999969587, 11.971898700110614]","[0.00020459992811083794, 18.92938149999827, 0.03492469992488623, 0.03386439988389611, 0.049141300143674016, 0.031072800047695637, 0.00021610013209283352, 11.971905200043693]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio9.wav,821.7524798999075,821.7487059998093,9,"[7.435866000130773, 18.9293742000591, 16.7799751998391, 19.700495900120586, 5.221211299998686, 5.653741399990395, 5.868268999969587, 11.971898700110614, 6.449141699820757]","[0.00020459992811083794, 18.92938149999827, 0.03492469992488623, 0.03386439988389611, 0.049141300143674016, 0.031072800047695637, 0.00021610013209283352, 0.014111899770796299, 6.449147799983621]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio10.wav,828.2542864999268,828.2542610798497,10,"[7.435866000130773, 18.9293742000591, 16.7799751998391, 19.700495900120586, 5.221211299998686, 5.653741399990395, 5.868268999969587, 11.971898700110614, 6.449141699820757, 7.2877561000641435]","[0.00020459992811083794, 18.92938149999827, 0.03492469992488623, 0.03386439988389611, 0.049141300143674016, 0.031072800047695637, 0.00021610013209283352, 0.014111899770796299, 0.04794050008058548, 7.287763400003314]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1P4PJG,train_y,blue_star,top_right,2025-08-27_16h31.04.529,HideSeek_v1,2022.2.5,59.924016382544394,
