trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio1.wav,1645.834423399996,1645.7776941809802,1,[6.795444499934092],[6.795455399900675],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio2.wav,1652.6461414999794,1652.6466566500021,2,"[6.795444499934092, 18.280292900046334]","[0.00022249994799494743, 18.280299599980935]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio3.wav,1671.0017257998697,1670.9950399500085,3,"[6.795444499934092, 18.280292900046334, 17.022041599964723]","[0.00022249994799494743, 0.03768279985524714, 17.022048000013456]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio4.wav,1688.1010020999238,1688.0928211499704,4,"[6.795444499934092, 18.280292900046334, 17.022041599964723, 19.571942399954423]","[0.00022249994799494743, 0.03768279985524714, 0.03545750002376735, 19.57194840000011]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio5.wav,1707.7422736999579,1707.7421482499922,5,"[6.795444499934092, 18.280292900046334, 17.022041599964723, 19.571942399954423, 4.668013199931011]","[0.00022249994799494743, 0.03768279985524714, 0.03545750002376735, 0.030973099870607257, 4.668019899865612]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio6.wav,1712.4645040999167,1712.4628931198733,6,"[6.795444499934092, 18.280292900046334, 17.022041599964723, 19.571942399954423, 4.668013199931011, 4.833247999893501]","[0.00022249994799494743, 0.03768279985524714, 0.03545750002376735, 0.030973099870607257, 0.07900299993343651, 4.833254700060934]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio7.wav,1717.348875500029,1717.3501536199822,7,"[6.795444499934092, 18.280292900046334, 17.022041599964723, 19.571942399954423, 4.668013199931011, 4.833247999893501, 5.703601300017908]","[0.00022249994799494743, 0.03768279985524714, 0.03545750002376735, 0.030973099870607257, 0.07900299993343651, 0.09897409984841943, 5.70360830007121]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio8.wav,1723.105039200047,1723.1051162200513,8,"[6.795444499934092, 18.280292900046334, 17.022041599964723, 19.571942399954423, 4.668013199931011, 4.833247999893501, 5.703601300017908, 12.300016599940136]","[0.00022249994799494743, 0.03768279985524714, 0.03545750002376735, 0.030973099870607257, 0.07900299993343651, 0.09897409984841943, 0.06482149986550212, 12.300030099926516]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio9.wav,1735.4824816999026,1735.4739399499958,9,"[6.795444499934092, 18.280292900046334, 17.022041599964723, 19.571942399954423, 4.668013199931011, 4.833247999893501, 5.703601300017908, 12.300016599940136, 6.018839100142941]","[0.00022249994799494743, 0.03768279985524714, 0.03545750002376735, 0.030973099870607257, 0.07900299993343651, 0.09897409984841943, 0.06482149986550212, 0.06389610003679991, 6.018846099963412]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio10.wav,1741.5394278999884,1741.5370492898626,10,"[6.795444499934092, 18.280292900046334, 17.022041599964723, 19.571942399954423, 4.668013199931011, 4.833247999893501, 5.703601300017908, 12.300016599940136, 6.018839100142941, 6.900608600117266]","[0.00022249994799494743, 0.03768279985524714, 0.03545750002376735, 0.030973099870607257, 0.07900299993343651, 0.09897409984841943, 0.06482149986550212, 0.06389610003679991, 0.09729810012504458, 6.900615100050345]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25CYHR,train_y,red_square,top_left,2025-02-12_14h30.27.508,HideSeek_v1,2022.2.5,59.93435991947311,
