trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio1.wav,3231.5730904997326,3231.5184356741606,1,[7.113794500008225],[7.113802299834788],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio2.wav,3238.7064070999622,3238.707144999644,2,"[7.113794500008225, 19.09855809994042]","[0.00020170025527477264, 19.09856460010633]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio3.wav,3257.8885029996745,3257.8900538597254,3,"[7.113794500008225, 19.09855809994042, 17.146807100158185]","[0.00020170025527477264, 19.09856460010633, 17.14681399986148]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio4.wav,3275.110506199766,3275.10412309994,4,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 20.15783980023116]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio5.wav,3295.3326709000394,3295.3207149395716,5,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 4.405693100299686]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio6.wav,3299.7906029997393,3299.791377639584,6,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 5.2853600000962615]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio7.wav,3305.141116499901,3305.1287826399316,7,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 5.60687099955976]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio8.wav,3310.8000801000744,3310.8003597396423,8,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689, 11.674257500097156]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 0.08123400015756488, 11.674264600034803]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio9.wav,3322.5384542997926,3322.5267567398955,9,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689, 11.674257500097156, 5.857324100099504]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 0.08123400015756488, 0.052296100184321404, 5.857330800034106]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio10.wav,3328.4340375997126,3328.4315565797965,10,"[7.113794500008225, 19.09855809994042, 17.146807100158185, 20.157833500299603, 4.405686600133777, 5.285353499930352, 5.606864599976689, 11.674257500097156, 5.857324100099504, 7.150740399956703]","[0.00020170025527477264, 19.09856460010633, 0.014358100015670061, 0.03527260012924671, 0.047988600097596645, 0.03581119980663061, 0.08123400015756488, 0.052296100184321404, 0.09492369974032044, 7.150747399777174]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3552GW,train_y,blue_star,bottom_left,2025-02-19_16h00.41.353,HideSeek_v1,2022.2.5,59.915794273504154,
