trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio1.wav,1984.0962257001083,1984.0373455820607,1,[5.773420999990776],[5.773433699971065],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio2.wav,1989.890050200047,1989.8912081001326,2,"[5.773420999990776, 17.7970032999292]","[5.773433699971065, 17.79701039986685]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio3.wav,2007.7668466002215,2007.7560466001742,3,"[5.773420999990776, 17.7970032999292, 16.283478900091723]","[5.773433699971065, 0.014262499986216426, 16.28348600002937]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio4.wav,2024.1278988001868,2024.1192704001442,4,"[5.773420999990776, 17.7970032999292, 16.283478900091723, 20.45647029997781]","[5.773433699971065, 0.014262499986216426, 0.014178300043568015, 20.45647699991241]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio5.wav,2044.6530354002025,2044.6534001000691,5,"[5.773420999990776, 17.7970032999292, 16.283478900091723, 20.45647029997781, 4.484447799855843]","[5.773433699971065, 0.014262499986216426, 0.014178300043568015, 0.014180499827489257, 4.484454199904576]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio6.wav,2049.1877739001065,2049.1901408800854,6,"[5.773420999990776, 17.7970032999292, 16.283478900091723, 20.45647029997781, 4.484447799855843, 5.003875799942762]","[5.773433699971065, 0.014262499986216426, 0.014178300043568015, 0.014180499827489257, 0.04983039991930127, 5.003882199991494]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio7.wav,2054.2448202001397,2054.2442822802345,7,"[5.773420999990776, 17.7970032999292, 16.283478900091723, 20.45647029997781, 4.484447799855843, 5.003875799942762, 5.352268100017682]","[5.773433699971065, 0.014262499986216426, 0.014178300043568015, 0.014180499827489257, 0.04983039991930127, 0.06405480019748211, 5.352274800185114]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio8.wav,2059.6493576001376,2059.649127080245,8,"[5.773420999990776, 17.7970032999292, 16.283478900091723, 20.45647029997781, 4.484447799855843, 5.003875799942762, 5.352268100017682, 11.556663100142032]","[5.773433699971065, 0.014262499986216426, 0.014178300043568015, 0.014180499827489257, 0.04983039991930127, 0.06405480019748211, 0.08055770001374185, 11.55666960007511]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio9.wav,2071.2741300000343,2071.2751015000977,9,"[5.773420999990776, 17.7970032999292, 16.283478900091723, 20.45647029997781, 4.484447799855843, 5.003875799942762, 5.352268100017682, 11.556663100142032, 6.153538099955767]","[5.773433699971065, 0.014262499986216426, 0.014178300043568015, 0.014180499827489257, 0.04983039991930127, 0.06405480019748211, 0.08055770001374185, 0.04808209999464452, 6.153545200126246]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio10.wav,2077.474837000016,2077.4637235601435,10,"[5.773420999990776, 17.7970032999292, 16.283478900091723, 20.45647029997781, 4.484447799855843, 5.003875799942762, 5.352268100017682, 11.556663100142032, 6.153538099955767, 6.7419825999531895]","[5.773433699971065, 0.014262499986216426, 0.014178300043568015, 0.014180499827489257, 0.04983039991930127, 0.06405480019748211, 0.08055770001374185, 0.04808209999464452, 0.05336420005187392, 6.741989699890837]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3HAC8Z,train_y,blue_star,bottom_right,2025-04-08_17h20.32.454,HideSeek_v1,2022.2.5,59.91776884172358,
