trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio1.wav,492.28453669999726,492.2311579542467,1,[5.295939399860799],[5.2959467000328],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio2.wav,497.5996542000212,497.6012077500345,2,"[5.295939399860799, 19.950036500114948]","[0.00022210017777979374, 19.950043600052595]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio3.wav,517.6228404999711,517.6178722499171,3,"[5.295939399860799, 19.950036500114948, 18.80834210012108]","[0.00022210017777979374, 0.00033840001560747623, 18.80834889994003]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio4.wav,536.5109830999281,536.499982850044,4,"[5.295939399860799, 19.950036500114948, 18.80834210012108, 18.802883099997416]","[0.00022210017777979374, 0.00033840001560747623, 18.80834889994003, 18.802890100050718]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio5.wav,555.3767158999108,555.3660450999624,5,"[5.295939399860799, 19.950036500114948, 18.80834210012108, 18.802883099997416, 4.206643499899656]","[0.00022210017777979374, 0.00033840001560747623, 18.80834889994003, 0.013933700043708086, 4.206651099957526]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio6.wav,559.6408104998991,559.6359426998998,6,"[5.295939399860799, 19.950036500114948, 18.80834210012108, 18.802883099997416, 4.206643499899656, 5.8311767999548465]","[0.00022210017777979374, 0.00033840001560747623, 18.80834889994003, 0.013933700043708086, 0.01443239999935031, 5.831183600006625]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio7.wav,565.5236051999964,565.5241512998938,7,"[5.295939399860799, 19.950036500114948, 18.80834210012108, 18.802883099997416, 4.206643499899656, 5.8311767999548465, 5.670649699866772]","[0.00022210017777979374, 0.00033840001560747623, 18.80834889994003, 0.013933700043708086, 0.01443239999935031, 0.04996409988962114, 5.67065649991855]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio8.wav,571.2460840998683,571.245569299953,8,"[5.295939399860799, 19.950036500114948, 18.80834210012108, 18.802883099997416, 4.206643499899656, 5.8311767999548465, 5.670649699866772, 12.10685330000706]","[0.00022210017777979374, 0.00033840001560747623, 18.80834889994003, 0.013933700043708086, 0.01443239999935031, 0.04996409988962114, 0.00021959980949759483, 12.106860199943185]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio9.wav,583.4196005999111,583.4055756999179,9,"[5.295939399860799, 19.950036500114948, 18.80834210012108, 18.802883099997416, 4.206643499899656, 5.8311767999548465, 5.670649699866772, 12.10685330000706, 6.839822999900207]","[0.00022210017777979374, 0.00033840001560747623, 18.80834889994003, 0.013933700043708086, 0.01443239999935031, 0.04996409988962114, 0.00021959980949759483, 0.0002866999711841345, 6.839830199955031]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio10.wav,590.3109718000051,590.3114598000421,10,"[5.295939399860799, 19.950036500114948, 18.80834210012108, 18.802883099997416, 4.206643499899656, 5.8311767999548465, 5.670649699866772, 12.10685330000706, 6.839822999900207, 6.937054400099441]","[0.00022210017777979374, 0.00033840001560747623, 18.80834889994003, 0.013933700043708086, 0.01443239999935031, 0.04996409988962114, 0.00021959980949759483, 0.0002866999711841345, 0.00022529996931552887, 6.937061399919912]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3J4E52,train_y,blue_star,top_left,2025-09-13_13h26.49.875,HideSeek_v1,2022.2.5,59.92293904378206,
