trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio1.wav,141.21033850032836,141.15464820209888,1,[4.314480000175536],[4.314486800227314],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio2.wav,145.54570340039209,145.54746280028485,2,"[4.314480000175536, 18.86621499992907]","[0.00020490027964115143, 18.866221700329334]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio3.wav,164.48178160004318,164.4798443003092,3,"[4.314480000175536, 18.86621499992907, 16.510059300344437]","[0.00020490027964115143, 0.0002455003559589386, 16.5100664999336]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio4.wav,181.07319550029933,181.06033630040474,4,"[4.314480000175536, 18.86621499992907, 16.510059300344437, 19.484757400117815]","[0.00020490027964115143, 0.0002455003559589386, 0.014719500206410885, 19.48476370004937]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio5.wav,200.62583480030298,200.62661440041848,5,"[4.314480000175536, 18.86621499992907, 16.510059300344437, 19.484757400117815, 4.552454799879342]","[0.00020490027964115143, 0.0002455003559589386, 0.014719500206410885, 0.031927499920129776, 4.5524623999372125]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio6.wav,205.23072380013764,205.23029420031233,6,"[4.314480000175536, 18.86621499992907, 16.510059300344437, 19.484757400117815, 4.552454799879342, 4.801481999922544]","[0.00020490027964115143, 0.0002455003559589386, 0.014719500206410885, 0.031927499920129776, 0.0484005999751389, 4.801488799974322]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio7.wav,210.08435400016606,210.08430180018766,7,"[4.314480000175536, 18.86621499992907, 16.510059300344437, 19.484757400117815, 4.552454799879342, 4.801481999922544, 5.55255790008232]","[0.00020490027964115143, 0.0002455003559589386, 0.014719500206410885, 0.031927499920129776, 0.0484005999751389, 0.0820579999126494, 5.552564200013876]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio8.wav,215.70887570036575,215.70572620001622,8,"[4.314480000175536, 18.86621499992907, 16.510059300344437, 19.484757400117815, 4.552454799879342, 4.801481999922544, 5.55255790008232, 11.571569900028408]","[0.00020490027964115143, 0.0002455003559589386, 0.014719500206410885, 0.031927499920129776, 0.0484005999751389, 0.0820579999126494, 0.031178300268948078, 11.571576000191271]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio9.wav,227.35027550021186,227.34913420001976,9,"[4.314480000175536, 18.86621499992907, 16.510059300344437, 19.484757400117815, 4.552454799879342, 4.801481999922544, 5.55255790008232, 11.571569900028408, 5.85153350001201]","[0.00020490027964115143, 0.0002455003559589386, 0.014719500206410885, 0.031927499920129776, 0.0484005999751389, 0.0820579999126494, 0.031178300268948078, 0.08056540042161942, 5.851540200412273]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/bottom_right/instructions/Audio10.wav,233.25491050025448,233.25357540016992,10,"[4.314480000175536, 18.86621499992907, 16.510059300344437, 19.484757400117815, 4.552454799879342, 4.801481999922544, 5.55255790008232, 11.571569900028408, 5.85153350001201, 7.018976499792188]","[0.00020490027964115143, 0.0002455003559589386, 0.014719500206410885, 0.031927499920129776, 0.0484005999751389, 0.0820579999126494, 0.031178300268948078, 0.08056540042161942, 0.08065740019083023, 7.018983100075275]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44K4YF,train_x,blue_star,bottom_right,2025-03-05_17h54.59.303,HideSeek_v1,2022.2.5,60.31970648496639,
