trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio1.wav,404.6892117001116,404.6402001369279,1,[2.7429118000436574],[2.742932500084862],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio2.wav,407.44890660000965,407.4487332998542,2,"[2.7429118000436574, 19.34654560009949]","[2.742932500084862, 19.346552200149745]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio3.wav,426.8696586000733,426.8648245000513,3,"[2.7429118000436574, 19.34654560009949, 16.055819100001827]","[2.742932500084862, 0.014401299878954887, 16.055827599950135]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio4.wav,443.00533269997686,442.99473380006384,4,"[2.7429118000436574, 19.34654560009949, 16.055819100001827, 18.620686099864542]","[2.742932500084862, 0.014401299878954887, 0.014557600021362305, 18.620693000033498]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio5.wav,461.6902701999061,461.6781891200226,5,"[2.7429118000436574, 19.34654560009949, 16.055819100001827, 18.620686099864542, 3.5535575000103563]","[2.742932500084862, 0.014401299878954887, 0.014557600021362305, 0.05027389992028475, 3.553564299829304]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio6.wav,465.2947025001049,465.2967022198718,6,"[2.7429118000436574, 19.34654560009949, 16.055819100001827, 18.620686099864542, 3.5535575000103563, 4.20308839995414]","[2.742932500084862, 0.014401299878954887, 0.014557600021362305, 0.05027389992028475, 0.09965340001508594, 4.203095099888742]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio7.wav,469.54842379991896,469.550237020012,7,"[2.7429118000436574, 19.34654560009949, 16.055819100001827, 18.620686099864542, 3.5535575000103563, 4.20308839995414, 5.086797299794853]","[2.742932500084862, 0.014401299878954887, 0.014557600021362305, 0.05027389992028475, 0.09965340001508594, 0.03268139995634556, 5.086803999962285]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio8.wav,474.6880260000471,474.687935319962,8,"[2.7429118000436574, 19.34654560009949, 16.055819100001827, 18.620686099864542, 3.5535575000103563, 4.20308839995414, 5.086797299794853, 12.32386549981311]","[2.742932500084862, 0.014401299878954887, 0.014557600021362305, 0.05027389992028475, 0.09965340001508594, 0.03268139995634556, 0.047118299873545766, 12.323872099863365]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio9.wav,487.07935380004346,487.0815042000031,9,"[2.7429118000436574, 19.34654560009949, 16.055819100001827, 18.620686099864542, 3.5535575000103563, 4.20308839995414, 5.086797299794853, 12.32386549981311, 5.337319900048897]","[2.742932500084862, 0.014401299878954887, 0.014557600021362305, 0.05027389992028475, 0.09965340001508594, 0.03268139995634556, 0.047118299873545766, 0.00020870007574558258, 5.337326700100675]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio10.wav,492.4541766999755,492.4528197400505,10,"[2.7429118000436574, 19.34654560009949, 16.055819100001827, 18.620686099864542, 3.5535575000103563, 4.20308839995414, 5.086797299794853, 12.32386549981311, 5.337319900048897, 6.584599300054833]","[2.742932500084862, 0.014401299878954887, 0.014557600021362305, 0.05027389992028475, 0.09965340001508594, 0.03268139995634556, 0.047118299873545766, 0.00020870007574558258, 0.06318629998713732, 6.584605599986389]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4U1NM1,train_y,blue_star,bottom_left,2025-07-28_17h05.47.222,HideSeek_v1,2022.2.5,59.92886438467879,
