trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio1.wav,2069.835622299928,2069.7838101906236,1,[6.918544200249016],[6.918552000075579],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio2.wav,2076.7753586000763,2076.7775715996977,2,"[6.918544200249016, 18.115473000332713]","[0.00022040028125047684, 18.11548040015623]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio3.wav,2094.959624500014,2094.959362199763,3,"[6.918544200249016, 18.115473000332713, 16.99509620014578]","[0.00022040028125047684, 0.031150999944657087, 16.995103700086474]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio4.wav,2112.039025499951,2112.0401255995966,4,"[6.918544200249016, 18.115473000332713, 16.99509620014578, 19.39861229993403]","[0.00022040028125047684, 0.031150999944657087, 0.03240730008110404, 19.398620499763638]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio5.wav,2131.508066999726,2131.506201999495,5,"[6.918544200249016, 18.115473000332713, 16.99509620014578, 19.39861229993403, 5.016870600171387]","[0.00022040028125047684, 0.031150999944657087, 0.03240730008110404, 0.04753729980438948, 5.016878500115126]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio6.wav,2136.5767423999496,2136.5773236998357,6,"[6.918544200249016, 18.115473000332713, 16.99509620014578, 19.39861229993403, 5.016870600171387, 4.652072499971837]","[0.00022040028125047684, 0.031150999944657087, 0.03240730008110404, 0.04753729980438948, 0.11495619965717196, 4.652079599909484]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio7.wav,2141.2803031997755,2141.2809843998402,7,"[6.918544200249016, 18.115473000332713, 16.99509620014578, 19.39861229993403, 5.016870600171387, 4.652072499971837, 5.719718300271779]","[0.00022040028125047684, 0.031150999944657087, 0.03240730008110404, 0.04753729980438948, 0.11495619965717196, 0.08175020013004541, 5.719725700095296]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio8.wav,2147.052900099661,2147.052288899664,8,"[6.918544200249016, 18.115473000332713, 16.99509620014578, 19.39861229993403, 5.016870600171387, 4.652072499971837, 5.719718300271779, 11.840251700021327]","[0.00022040028125047684, 0.031150999944657087, 0.03240730008110404, 0.04753729980438948, 0.11495619965717196, 0.08175020013004541, 0.04751619976013899, 11.840259099844843]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio9.wav,2158.964265299961,2158.9622932996135,9,"[6.918544200249016, 18.115473000332713, 16.99509620014578, 19.39861229993403, 5.016870600171387, 4.652072499971837, 5.719718300271779, 11.840251700021327, 6.084393199998885]","[0.00022040028125047684, 0.031150999944657087, 0.03240730008110404, 0.04753729980438948, 0.11495619965717196, 0.08175020013004541, 0.04751619976013899, 0.09789810003712773, 6.084400900173932]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio10.wav,2165.08720119996,2165.084288999671,10,"[6.918544200249016, 18.115473000332713, 16.99509620014578, 19.39861229993403, 5.016870600171387, 4.652072499971837, 5.719718300271779, 11.840251700021327, 6.084393199998885, 6.666478000115603]","[0.00022040028125047684, 0.031150999944657087, 0.03240730008110404, 0.04753729980438948, 0.11495619965717196, 0.08175020013004541, 0.04751619976013899, 0.09789810003712773, 0.07866729982197285, 6.666487500071526]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide11.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio11.wav,2171.7930421000347,2171.789747999748,11,"[6.918544200249016, 18.115473000332713, 16.99509620014578, 19.39861229993403, 5.016870600171387, 4.652072499971837, 5.719718300271779, 11.840251700021327, 6.084393199998885, 6.666478000115603, 10.753032699692994]","[0.00022040028125047684, 0.031150999944657087, 0.03240730008110404, 0.04753729980438948, 0.11495619965717196, 0.08175020013004541, 0.04751619976013899, 0.09789810003712773, 0.07866729982197285, 0.11375709995627403, 10.753039499744773]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide12.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio12.wav,2182.6198219996877,2182.615524399793,12,"[6.918544200249016, 18.115473000332713, 16.99509620014578, 19.39861229993403, 5.016870600171387, 4.652072499971837, 5.719718300271779, 11.840251700021327, 6.084393199998885, 6.666478000115603, 10.753032699692994, 13.788135500159115]","[0.00022040028125047684, 0.031150999944657087, 0.03240730008110404, 0.04753729980438948, 0.11495619965717196, 0.08175020013004541, 0.04751619976013899, 0.09789810003712773, 0.07866729982197285, 0.11375709995627403, 0.047350500244647264, 13.788142899982631]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4V3JLH,train_y,red_square,top_right,2025-03-06_17h51.03.052,HideSeek_v1,2022.2.5,59.93231233570991,
