trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio1.wav,561.5133643997833,561.4639589957893,1,[3.2050600997172296],[3.2050684997811913],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio2.wav,564.7416494996287,564.7430329998024,2,"[3.2050600997172296, 18.013616899959743]","[0.0002302001230418682, 18.01362509978935]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio3.wav,582.8333586999215,582.8248440995812,3,"[3.2050600997172296, 18.013616899959743, 16.568704099860042]","[0.0002302001230418682, 0.034086599946022034, 16.568713599815965]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio4.wav,599.4763666000217,599.4717333996668,4,"[3.2050600997172296, 18.013616899959743, 16.568704099860042, 19.508838299661875]","[0.0002302001230418682, 0.034086599946022034, 0.03118589986115694, 19.50884659960866]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio5.wav,619.048267999664,619.0380307998508,5,"[3.2050600997172296, 18.013616899959743, 16.568704099860042, 19.508838299661875, 4.5235647996887565]","[0.0002302001230418682, 0.034086599946022034, 0.03118589986115694, 0.05336109967902303, 4.523573599755764]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio6.wav,623.6239416999742,623.6251405998133,6,"[3.2050600997172296, 18.013616899959743, 16.568704099860042, 19.508838299661875, 4.5235647996887565, 4.952266700100154]","[0.0002302001230418682, 0.034086599946022034, 0.03118589986115694, 0.05336109967902303, 0.031672799959778786, 4.952275100164115]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio7.wav,628.6274076998234,628.6292503996752,7,"[3.2050600997172296, 18.013616899959743, 16.568704099860042, 19.508838299661875, 4.5235647996887565, 4.952266700100154, 5.953498799819499]","[0.0002302001230418682, 0.034086599946022034, 0.03118589986115694, 0.05336109967902303, 0.031672799959778786, 0.048727700021117926, 5.95350780012086]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio8.wav,634.6345089999959,634.6341505999677,8,"[3.2050600997172296, 18.013616899959743, 16.568704099860042, 19.508838299661875, 4.5235647996887565, 4.952266700100154, 5.953498799819499, 12.440737899858505]","[0.0002302001230418682, 0.034086599946022034, 0.03118589986115694, 0.05336109967902303, 0.031672799959778786, 0.048727700021117926, 0.029948999639600515, 12.440747199580073]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio9.wav,647.1431938996539,647.1449219998904,9,"[3.2050600997172296, 18.013616899959743, 16.568704099860042, 19.508838299661875, 4.5235647996887565, 4.952266700100154, 5.953498799819499, 12.440737899858505, 6.288007800001651]","[0.0002302001230418682, 0.034086599946022034, 0.03118589986115694, 0.05336109967902303, 0.031672799959778786, 0.048727700021117926, 0.029948999639600515, 0.09842689987272024, 6.2880160002969205]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio10.wav,653.4790944000706,653.4671504998579,10,"[3.2050600997172296, 18.013616899959743, 16.568704099860042, 19.508838299661875, 4.5235647996887565, 4.952266700100154, 5.953498799819499, 12.440737899858505, 6.288007800001651, 7.156760700047016]","[0.0002302001230418682, 0.034086599946022034, 0.03118589986115694, 0.05336109967902303, 0.031672799959778786, 0.048727700021117926, 0.029948999639600515, 0.09842689987272024, 0.05048219999298453, 7.156769599765539]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57L54L,train_x,blue_star,bottom_left,2025-04-23_11h09.31.436,HideSeek_v1,2022.2.5,59.952972892906295,
