trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio1.wav,1277.339017600054,1277.2782985181082,1,[11.41320740012452],[11.413218900095671],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio2.wav,1288.7745135000441,1288.770200100029,2,"[11.41320740012452, 18.675645699957386]","[11.413218900095671, 18.67565350001678]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio3.wav,1307.5274221000727,1307.5184870001394,3,"[11.41320740012452, 18.675645699957386, 16.46929350006394]","[11.413218900095671, 0.00023239990696310997, 16.469300099881366]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio4.wav,1324.070353700081,1324.0655739000067,4,"[11.41320740012452, 18.675645699957386, 16.46929350006394, 19.37687679985538]","[11.413218900095671, 0.00023239990696310997, 0.030650899978354573, 19.37688439991325]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio5.wav,1343.5041704000905,1343.4985152800102,5,"[11.41320740012452, 18.675645699957386, 16.46929350006394, 19.37687679985538, 4.128849999979138]","[11.413218900095671, 0.00023239990696310997, 0.030650899978354573, 0.013894400093704462, 4.1288578999228776]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio6.wav,1347.6845419001766,1347.685307980096,6,"[11.41320740012452, 18.675645699957386, 16.46929350006394, 19.37687679985538, 4.128849999979138, 4.318352299975231]","[11.413218900095671, 0.00023239990696310997, 0.030650899978354573, 0.013894400093704462, 0.014262299984693527, 4.318358700023964]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio7.wav,1352.0552275001537,1352.0554945799988,7,"[11.41320740012452, 18.675645699957386, 16.46929350006394, 19.37687679985538, 4.128849999979138, 4.318352299975231, 5.319354899926111]","[11.413218900095671, 0.00023239990696310997, 0.030650899978354573, 0.013894400093704462, 0.014262299984693527, 0.014416399877518415, 5.31936169997789]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio8.wav,1357.427950200159,1357.4267946801149,8,"[11.41320740012452, 18.675645699957386, 16.46929350006394, 19.37687679985538, 4.128849999979138, 4.318352299975231, 5.319354899926111, 13.173546199919656]","[11.413218900095671, 0.00023239990696310997, 0.030650899978354573, 0.013894400093704462, 0.014262299984693527, 0.014416399877518415, 0.04755620006471872, 13.173552900087088]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio9.wav,1370.6647473000921,1370.6541618800723,9,"[11.41320740012452, 18.675645699957386, 16.46929350006394, 19.37687679985538, 4.128849999979138, 4.318352299975231, 5.319354899926111, 13.173546199919656, 6.142542799934745]","[11.413218900095671, 0.00023239990696310997, 0.030650899978354573, 0.013894400093704462, 0.014262299984693527, 0.014416399877518415, 0.04755620006471872, 0.0144338000100106, 6.1425496998708695]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio10.wav,1376.8637438002042,1376.8594646801241,10,"[11.41320740012452, 18.675645699957386, 16.46929350006394, 19.37687679985538, 4.128849999979138, 4.318352299975231, 5.319354899926111, 13.173546199919656, 6.142542799934745, 6.631997799966484]","[11.413218900095671, 0.00023239990696310997, 0.030650899978354573, 0.013894400093704462, 0.014262299984693527, 0.014416399877518415, 0.04755620006471872, 0.0144338000100106, 0.046652899822220206, 6.632004499901086]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5LDGLV,train_y,red_square,top_right,2025-04-01_17h05.31.528,HideSeek_v1,2022.2.5,59.9436650031524,
