trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio1.wav,1640.764065500116,1640.7174815181643,1,[2.635589800076559],[2.635598999913782],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio2.wav,1643.419965500012,1643.4191563499626,2,"[2.635589800076559, 18.44582620006986]","[0.03044379991479218, 18.44583270000294]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio3.wav,1661.9439733000472,1661.9348408500664,3,"[2.635589800076559, 18.44582620006986, 15.885973800206557]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio4.wav,1677.9183042000514,1677.91559796012,4,"[2.635589800076559, 18.44582620006986, 15.885973800206557, 18.92734060017392]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505, 18.927350600017235]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio5.wav,1696.9097274001688,1696.897931140149,5,"[2.635589800076559, 18.44582620006986, 15.885973800206557, 18.92734060017392, 4.405655700014904]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505, 0.00023530004546046257, 4.405662399949506]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio6.wav,1701.3817860002164,1701.384262350155,6,"[2.635589800076559, 18.44582620006986, 15.885973800206557, 18.92734060017392, 4.405655700014904, 4.419920899905264]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505, 0.00023530004546046257, 0.04969060001894832, 4.419927599839866]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio7.wav,1705.853123200126,1705.8545055401046,7,"[2.635589800076559, 18.44582620006986, 15.885973800206557, 18.92734060017392, 4.405655700014904, 4.419920899905264, 5.202962500043213]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505, 0.00023530004546046257, 0.04969060001894832, 0.032129800179973245, 5.202969399979338]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio8.wav,1711.109108600067,1711.108778940048,8,"[2.635589800076559, 18.44582620006986, 15.885973800206557, 18.92734060017392, 4.405655700014904, 4.419920899905264, 5.202962500043213, 10.989953499985859]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505, 0.00023530004546046257, 0.04969060001894832, 0.032129800179973245, 0.08090179995633662, 10.989959900034592]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio9.wav,1722.1685104002245,1722.168301250087,9,"[2.635589800076559, 18.44582620006986, 15.885973800206557, 18.92734060017392, 4.405655700014904, 4.419920899905264, 5.202962500043213, 10.989953499985859, 5.568417300004512]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505, 0.00023530004546046257, 0.04969060001894832, 0.032129800179973245, 0.08090179995633662, 0.03044999996200204, 5.568424900062382]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio10.wav,1727.7748832001816,1727.772751230048,10,"[2.635589800076559, 18.44582620006986, 15.885973800206557, 18.92734060017392, 4.405655700014904, 4.419920899905264, 5.202962500043213, 10.989953499985859, 5.568417300004512, 6.333632500143722]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505, 0.00023530004546046257, 0.04969060001894832, 0.032129800179973245, 0.08090179995633662, 0.03044999996200204, 0.0948554000351578, 6.333639800082892]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide11.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio11.wav,1734.1680481000803,1734.1614060401917,11,"[2.635589800076559, 18.44582620006986, 15.885973800206557, 18.92734060017392, 4.405655700014904, 4.419920899905264, 5.202962500043213, 10.989953499985859, 5.568417300004512, 6.333632500143722, 9.781956699909642]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505, 0.00023530004546046257, 0.04969060001894832, 0.032129800179973245, 0.08090179995633662, 0.03044999996200204, 0.0948554000351578, 0.05729049979709089, 9.781963199842721]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide12.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio12.wav,1744.0177469002083,1744.0195242501795,12,"[2.635589800076559, 18.44582620006986, 15.885973800206557, 18.92734060017392, 4.405655700014904, 4.419920899905264, 5.202962500043213, 10.989953499985859, 5.568417300004512, 6.333632500143722, 9.781956699909642, 13.894133100053295]","[0.03044379991479218, 0.0002543001901358366, 15.885980600025505, 0.00023530004546046257, 0.04969060001894832, 0.032129800179973245, 0.08090179995633662, 0.03044999996200204, 0.0948554000351578, 0.05729049979709089, 0.033141800202429295, 13.89414200000465]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
1,2,3,2,8,0,5,11,2,instr_dim1_1,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/11.png,conditions/schedules/train_y_first/red_square_00/bottom_left/inputInstr_1.xlsx,stimuli/alien_stimuli/11.png,1758.0194630001206,1758.0194630001206,1758.0194630001206,1758.0194630001206,1758.0144667699933,return,7.319619399961084,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",8,3,2,2,0.4,0.0,1765.5059238001704,1765.5059238001704,1765.5059238001704,1765.5059238001704,1765.5059238001704,1765.5059238001704,1765.5059238001704,1765.5039365901612,8.09093809989281,return,7.925667599774897,stimuli/alien_stimuli/11.png,11,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
,,,,,,,,,,,30,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,0.7,0,0,99,1,30,0,conditions/schedules/train_y_first/red_square_00/bottom_left/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5MQ1JW,train_y,red_square,bottom_left,2025-08-20_16h28.25.601,HideSeek_v1,2022.2.5,59.60320951752629,
