trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio1.wav,1076.0684755998664,1076.012143713143,1,[6.759838200174272],[6.759850500151515],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio2.wav,1082.8471423997544,1082.8481374995317,2,"[6.759838200174272, 29.157388399820775]","[0.1486999997869134, 29.15739609999582]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio3.wav,1112.0776474997401,1112.0723853998352,3,"[6.759838200174272, 29.157388399820775, 17.023104700259864]","[0.1486999997869134, 0.03195049986243248, 17.02311159996316]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio4.wav,1129.1774645000696,1129.1698029998224,4,"[6.759838200174272, 29.157388399820775, 17.023104700259864, 19.690380500163883]","[0.1486999997869134, 0.03195049986243248, 0.03654809994623065, 19.69038730021566]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio5.wav,1148.9379524998367,1148.9367446999531,5,"[6.759838200174272, 29.157388399820775, 17.023104700259864, 19.690380500163883, 4.683350200299174]","[0.1486999997869134, 0.03195049986243248, 0.03654809994623065, 0.04626940004527569, 4.683358900249004]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio6.wav,1153.6759620998055,1153.6737609397621,6,"[6.759838200174272, 29.157388399820775, 17.023104700259864, 19.690380500163883, 4.683350200299174, 5.116195400245488]","[0.1486999997869134, 0.03195049986243248, 0.03654809994623065, 0.04626940004527569, 0.06438040034845471, 5.11620149994269]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio7.wav,1158.843402700033,1158.8448083399796,7,"[6.759838200174272, 29.157388399820775, 17.023104700259864, 19.690380500163883, 4.683350200299174, 5.116195400245488, 5.603618700057268]","[0.1486999997869134, 0.03195049986243248, 0.03654809994623065, 0.04626940004527569, 0.06438040034845471, 0.11617950024083257, 5.603625400457531]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio8.wav,1164.4993742997758,1164.499392839987,8,"[6.759838200174272, 29.157388399820775, 17.023104700259864, 19.690380500163883, 4.683350200299174, 5.116195400245488, 5.603618700057268, 12.657794400118291]","[0.1486999997869134, 0.03195049986243248, 0.03654809994623065, 0.04626940004527569, 0.06438040034845471, 0.11617950024083257, 0.11400109995156527, 12.657801500055939]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio9.wav,1177.2270652996376,1177.2264843995217,9,"[6.759838200174272, 29.157388399820775, 17.023104700259864, 19.690380500163883, 4.683350200299174, 5.116195400245488, 5.603618700057268, 12.657794400118291, 6.368976500350982]","[0.1486999997869134, 0.03195049986243248, 0.03654809994623065, 0.04626940004527569, 0.06438040034845471, 0.11617950024083257, 0.11400109995156527, 0.0637292000465095, 6.368983400054276]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio10.wav,1183.6355163999833,1183.6318743797485,10,"[6.759838200174272, 29.157388399820775, 17.023104700259864, 19.690380500163883, 4.683350200299174, 5.116195400245488, 5.603618700057268, 12.657794400118291, 6.368976500350982, 7.03313530003652]","[0.1486999997869134, 0.03195049986243248, 0.03654809994623065, 0.04626940004527569, 0.06438040034845471, 0.11617950024083257, 0.11400109995156527, 0.0637292000465095, 0.4608295001089573, 7.0331419999711215]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6L7FFZ,train_x,red_square,bottom_left,2025-04-16_11h01.57.488,HideSeek_v1,2022.2.5,59.95394335107952,
