trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio1.wav,704.7249974999577,704.6736070319545,1,[5.929828600026667],[5.929836300201714],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio2.wav,710.6747463000938,710.6754983498249,2,"[5.929828600026667, 18.346618799958378]","[5.929836300201714, 18.346625899896026]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio3.wav,729.090616399888,729.0904812498484,3,"[5.929828600026667, 18.346618799958378, 16.527703799773008]","[5.929836300201714, 0.0485764998011291, 16.527710599824786]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio4.wav,745.7028358001262,745.7040691798553,4,"[5.929828600026667, 18.346618799958378, 16.527703799773008, 19.33270960021764]","[5.929836300201714, 0.0485764998011291, 0.0002084001898765564, 19.332717299927026]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio5.wav,765.1010008999147,765.0869539199397,5,"[5.929828600026667, 18.346618799958378, 16.527703799773008, 19.33270960021764, 4.304115999955684]","[5.929836300201714, 0.0485764998011291, 0.0002084001898765564, 0.033984600100666285, 4.304124900139868]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio6.wav,769.4552702000365,769.4573283201083,6,"[5.929828600026667, 18.346618799958378, 16.527703799773008, 19.33270960021764, 4.304115999955684, 4.559014600235969]","[5.929836300201714, 0.0485764998011291, 0.0002084001898765564, 0.033984600100666285, 0.0663803000934422, 4.559022600296885]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio7.wav,774.0651019997895,774.0666702199727,7,"[5.929828600026667, 18.346618799958378, 16.527703799773008, 19.33270960021764, 4.304115999955684, 4.559014600235969, 5.481294599827379]","[5.929836300201714, 0.0485764998011291, 0.0002084001898765564, 0.033984600100666285, 0.0663803000934422, 0.0487359999679029, 5.481301699765027]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio8.wav,779.6016472997144,779.5990725197829,8,"[5.929828600026667, 18.346618799958378, 16.527703799773008, 19.33270960021764, 4.304115999955684, 4.559014600235969, 5.481294599827379, 11.654722800012678]","[5.929836300201714, 0.0485764998011291, 0.0002084001898765564, 0.033984600100666285, 0.0663803000934422, 0.0487359999679029, 0.06292790034785867, 11.654729700181633]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio9.wav,791.322926599998,791.3090677201748,9,"[5.929828600026667, 18.346618799958378, 16.527703799773008, 19.33270960021764, 4.304115999955684, 4.559014600235969, 5.481294599827379, 11.654722800012678, 6.1396510996855795]","[5.929836300201714, 0.0485764998011291, 0.0002084001898765564, 0.033984600100666285, 0.0663803000934422, 0.0487359999679029, 0.06292790034785867, 0.03392349975183606, 6.1396587998606265]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio10.wav,797.5142129999585,797.5144136199727,10,"[5.929828600026667, 18.346618799958378, 16.527703799773008, 19.33270960021764, 4.304115999955684, 4.559014600235969, 5.481294599827379, 11.654722800012678, 6.1396510996855795, 6.703031899873167]","[5.929836300201714, 0.0485764998011291, 0.0002084001898765564, 0.033984600100666285, 0.0663803000934422, 0.0487359999679029, 0.06292790034785867, 0.03392349975183606, 0.03101519960910082, 6.703039099927992]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
,,,,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide11.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio11.wav,804.2846448998898,804.2862757497933,11,"[5.929828600026667, 18.346618799958378, 16.527703799773008, 19.33270960021764, 4.304115999955684, 4.559014600235969, 5.481294599827379, 11.654722800012678, 6.1396510996855795, 6.703031899873167, 9.741061500273645]","[5.929836300201714, 0.0485764998011291, 0.0002084001898765564, 0.033984600100666285, 0.0663803000934422, 0.0487359999679029, 0.06292790034785867, 0.03392349975183606, 0.03101519960910082, 0.0326558998785913, 9.741069400217384]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70EQCC,train_x,red_square,top_left,2025-04-30_16h41.33.197,HideSeek_v1,2022.2.5,60.008305156786115,
