trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio1.wav,598.2515237000043,598.2032816400562,1,[90.71056559999124],[90.71057270000165],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio2.wav,689.0002808999998,689.0008886799973,2,"[90.71056559999124, 18.163595100006205]","[0.03182119999837596, 18.163601600012043]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio3.wav,707.2460876999976,707.2329480999979,3,"[90.71056559999124, 18.163595100006205, 16.598402400006307]","[0.03182119999837596, 0.0002066000015474856, 16.598408999998355]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio4.wav,723.9212701999932,723.9134130999955,4,"[90.71056559999124, 18.163595100006205, 16.598402400006307, 19.156158500001766]","[0.03182119999837596, 0.0002066000015474856, 0.00027289999707136303, 19.15616470000532]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio5.wav,743.1404256999958,743.1293809199939,5,"[90.71056559999124, 18.163595100006205, 16.598402400006307, 19.156158500001766, 4.3569533999980194]","[0.03182119999837596, 0.0002066000015474856, 0.00027289999707136303, 0.03287799999816343, 4.356960300006904]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio6.wav,747.548406499991,747.5495058199973,6,"[90.71056559999124, 18.163595100006205, 16.598402400006307, 19.156158500001766, 4.3569533999980194, 4.319175399999949]","[0.03182119999837596, 0.0002066000015474856, 0.00027289999707136303, 0.03287799999816343, 0.013912599999457598, 4.319181799990474]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio7.wav,751.9186852999992,751.9200551199989,7,"[90.71056559999124, 18.163595100006205, 16.598402400006307, 19.156158500001766, 4.3569533999980194, 4.319175399999949, 5.4035524999926565]","[0.03182119999837596, 0.0002066000015474856, 0.00027289999707136303, 0.03287799999816343, 0.013912599999457598, 0.06574279999767896, 5.403559099999256]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio8.wav,757.3735670000024,757.3745044199983,8,"[90.71056559999124, 18.163595100006205, 16.598402400006307, 19.156158500001766, 4.3569533999980194, 4.319175399999949, 5.4035524999926565, 11.341185500001302]","[0.03182119999837596, 0.0002066000015474856, 0.00027289999707136303, 0.03287799999816343, 0.013912599999457598, 0.06574279999767896, 0.048415799989015795, 11.341192699997919]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio9.wav,768.7836720999912,768.7838700999928,9,"[90.71056559999124, 18.163595100006205, 16.598402400006307, 19.156158500001766, 4.3569533999980194, 4.319175399999949, 5.4035524999926565, 11.341185500001302, 5.769933999996283]","[0.03182119999837596, 0.0002066000015474856, 0.00027289999707136303, 0.03287799999816343, 0.013912599999457598, 0.06574279999767896, 0.048415799989015795, 0.03184690000489354, 5.769943699997384]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio10.wav,774.590946700002,774.5888809400013,10,"[90.71056559999124, 18.163595100006205, 16.598402400006307, 19.156158500001766, 4.3569533999980194, 4.319175399999949, 5.4035524999926565, 11.341185500001302, 5.769933999996283, 6.951518099987879]","[0.03182119999837596, 0.0002066000015474856, 0.00027289999707136303, 0.03287799999816343, 0.013912599999457598, 0.06574279999767896, 0.048415799989015795, 0.03184690000489354, 0.07950729998992756, 6.951524799995241]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8J1937,train_y,blue_star,top_right,2025-05-15_15h32.50.340,HideSeek_v1,2022.2.5,59.95541714910406,
