trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio1.wav,855.0220111999997,854.9668722000051,1,[9.876952899999196],[9.876964599999155],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio2.wav,864.9185889999999,864.9205973999997,2,"[9.876952899999196, 24.053228200000376]","[0.03313960000014049, 24.05323430000044]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio3.wav,889.0464148000001,889.0406624999996,3,"[9.876952899999196, 24.053228200000376, 17.022495700000036]","[0.03313960000014049, 0.0002545000006648479, 17.022502200000417]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio4.wav,906.1494038999999,906.1378543000001,4,"[9.876952899999196, 24.053228200000376, 17.022495700000036, 19.685791099999733]","[0.03313960000014049, 0.0002545000006648479, 0.00021800000013172394, 19.685797999999522]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio5.wav,925.8905588999996,925.8876839799999,5,"[9.876952899999196, 24.053228200000376, 17.022495700000036, 19.685791099999733, 5.532450499999868]","[0.03313960000014049, 0.0002545000006648479, 0.00021800000013172394, 0.04703689999951166, 5.532456799999636]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio6.wav,931.4747700999997,931.4758448799997,6,"[9.876952899999196, 24.053228200000376, 17.022495700000036, 19.685791099999733, 5.532450499999868, 5.68694830000004]","[0.03313960000014049, 0.0002545000006648479, 0.00021800000013172394, 0.04703689999951166, 0.06530240000029153, 5.686954799999512]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio7.wav,937.2117469999994,937.2140197799994,7,"[9.876952899999196, 24.053228200000376, 17.022495700000036, 19.685791099999733, 5.532450499999868, 5.68694830000004, 5.9548187999998845]","[0.03313960000014049, 0.0002545000006648479, 0.00021800000013172394, 0.04703689999951166, 0.06530240000029153, 0.05022170000029291, 5.954825599999822]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio8.wav,943.2189988999999,943.2189038800001,8,"[9.876952899999196, 24.053228200000376, 17.022495700000036, 19.685791099999733, 5.532450499999868, 5.68694830000004, 5.9548187999998845, 12.040415499999654]","[0.03313960000014049, 0.0002545000006648479, 0.00021800000013172394, 0.04703689999951166, 0.06530240000029153, 0.05022170000029291, 0.04714769999918644, 12.040421799999422]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio9.wav,955.3151064999993,955.3120784799997,9,"[9.876952899999196, 24.053228200000376, 17.022495700000036, 19.685791099999733, 5.532450499999868, 5.68694830000004, 5.9548187999998845, 12.040415499999654, 7.166733500000191]","[0.03313960000014049, 0.0002545000006648479, 0.00021800000013172394, 0.04703689999951166, 0.06530240000029153, 0.05022170000029291, 0.04714769999918644, 0.029555899999650137, 7.166740300000129]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio10.wav,962.5195655999996,962.5179799599999,10,"[9.876952899999196, 24.053228200000376, 17.022495700000036, 19.685791099999733, 5.532450499999868, 5.68694830000004, 5.9548187999998845, 12.040415499999654, 7.166733500000191, 8.05202510000072]","[0.03313960000014049, 0.0002545000006648479, 0.00021800000013172394, 0.04703689999951166, 0.06530240000029153, 0.05022170000029291, 0.04714769999918644, 0.029555899999650137, 0.09502080000038404, 8.052031600000191]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9DNLX0,train_y,red_square,top_right,2025-01-20_15h05.53.525,HideSeek_v1,2022.2.5,59.42995971217878,
