trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio1.wav,1637.2807314000092,1637.2312494801008,1,[4.92365669994615],[4.9236695999861695],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio2.wav,1642.2254207999795,1642.2234726999886,2,"[4.92365669994615, 18.278057900024578]","[0.0002196000423282385, 18.278064500016626]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio3.wav,1660.5706710999948,1660.5718449999695,3,"[4.92365669994615, 18.278057900024578, 16.579415799991693]","[0.0002196000423282385, 0.032144299999345094, 16.579422699986026]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio4.wav,1677.2310971000115,1677.2187086999766,4,"[4.92365669994615, 18.278057900024578, 16.579415799991693, 19.051545700000133]","[0.0002196000423282385, 0.032144299999345094, 0.052325099997688085, 19.05155219999142]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio5.wav,1696.3502317999955,1696.3513678999734,5,"[4.92365669994615, 18.278057900024578, 16.579415799991693, 19.051545700000133, 4.569535700022243]","[0.0002196000423282385, 0.032144299999345094, 0.052325099997688085, 19.05155219999142, 4.5695433000219055]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio6.wav,1700.9703730999609,1700.9719735200051,6,"[4.92365669994615, 18.278057900024578, 16.579415799991693, 19.051545700000133, 4.569535700022243, 4.720070699986536]","[0.0002196000423282385, 0.032144299999345094, 0.052325099997688085, 19.05155219999142, 0.03285429999232292, 4.720077299978584]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio7.wav,1705.7430897000013,1705.7426867199829,7,"[4.92365669994615, 18.278057900024578, 16.579415799991693, 19.051545700000133, 4.569535700022243, 4.720070699986536, 5.418818900012411]","[0.0002196000423282385, 0.032144299999345094, 0.052325099997688085, 19.05155219999142, 0.03285429999232292, 0.04780850000679493, 5.418826000008266]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio8.wav,1711.2298421000014,1711.2303119999706,8,"[4.92365669994615, 18.278057900024578, 16.579415799991693, 19.051545700000133, 4.569535700022243, 4.720070699986536, 5.418818900012411, 11.858607000031043]","[0.0002196000423282385, 0.032144299999345094, 0.052325099997688085, 19.05155219999142, 0.03285429999232292, 0.04780850000679493, 0.03209890000289306, 11.858614400029182]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio9.wav,1723.1586245999788,1723.156877500005,9,"[4.92365669994615, 18.278057900024578, 16.579415799991693, 19.051545700000133, 4.569535700022243, 4.720070699986536, 5.418818900012411, 11.858607000031043, 6.117703899974003]","[0.0002196000423282385, 0.032144299999345094, 0.052325099997688085, 19.05155219999142, 0.03285429999232292, 0.04780850000679493, 0.03209890000289306, 0.0465457999962382, 6.1177102999645285]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio10.wav,1729.3303584000096,1729.3288345200126,10,"[4.92365669994615, 18.278057900024578, 16.579415799991693, 19.051545700000133, 4.569535700022243, 4.720070699986536, 5.418818900012411, 11.858607000031043, 6.117703899974003, 7.235452699998859]","[0.0002196000423282385, 0.032144299999345094, 0.052325099997688085, 19.05155219999142, 0.03285429999232292, 0.04780850000679493, 0.03209890000289306, 0.0465457999962382, 0.04664229997433722, 7.235459599993192]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9R0QRV,train_y,blue_star,bottom_right,2025-06-12_16h13.25.092,HideSeek_v1,2022.2.5,59.94449140397595,
