trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio1.wav,1342.2880845000036,1342.2383599584923,1,[8.514610700076446],[8.514618299901485],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio2.wav,1350.8226246000268,1350.8119790199678,2,"[8.514610700076446, 18.669747800100595]","[0.000215600011870265, 18.669754900038242]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio3.wav,1369.5561733001377,1369.544546120055,3,"[8.514610700076446, 18.669747800100595, 17.433705400209874]","[0.000215600011870265, 0.01445010001771152, 17.43371250014752]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio4.wav,1387.0675039999187,1387.0587592999218,4,"[8.514610700076446, 18.669747800100595, 17.433705400209874, 19.388229799922556]","[0.000215600011870265, 0.01445010001771152, 0.03550029988400638, 19.38823619997129]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio5.wav,1406.5207531000488,1406.508208719967,5,"[8.514610700076446, 18.669747800100595, 17.433705400209874, 19.388229799922556, 4.505756800062954]","[0.000215600011870265, 0.01445010001771152, 0.03550029988400638, 0.014390799915418029, 4.505763999884948]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio6.wav,1411.0749564999714,1411.0620432400844,6,"[8.514610700076446, 18.669747800100595, 17.433705400209874, 19.388229799922556, 4.505756800062954, 4.488769300049171]","[0.000215600011870265, 0.01445010001771152, 0.03550029988400638, 0.014390799915418029, 0.1014388999901712, 4.488777100108564]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio7.wav,1415.628342299955,1415.6160289200022,7,"[8.514610700076446, 18.669747800100595, 17.433705400209874, 19.388229799922556, 4.505756800062954, 4.488769300049171, 5.439589299960062]","[0.000215600011870265, 0.01445010001771152, 0.03550029988400638, 0.014390799915418029, 0.1014388999901712, 0.0683271000161767, 5.439596500014886]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio8.wav,1421.118352000136,1421.120488719968,8,"[8.514610700076446, 18.669747800100595, 17.433705400209874, 19.388229799922556, 4.505756800062954, 4.488769300049171, 5.439589299960062, 11.625806099968031]","[0.000215600011870265, 0.01445010001771152, 0.03550029988400638, 0.014390799915418029, 0.1014388999901712, 0.0683271000161767, 0.08308249991387129, 11.62581259990111]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio9.wav,1432.8079705999698,1432.7969221199862,9,"[8.514610700076446, 18.669747800100595, 17.433705400209874, 19.388229799922556, 4.505756800062954, 4.488769300049171, 5.439589299960062, 11.625806099968031, 6.407959500094876]","[0.000215600011870265, 0.01445010001771152, 0.03550029988400638, 0.014390799915418029, 0.1014388999901712, 0.0683271000161767, 0.08308249991387129, 0.0694528000894934, 6.407966099912301]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio10.wav,1439.25408470002,1439.2519256400644,10,"[8.514610700076446, 18.669747800100595, 17.433705400209874, 19.388229799922556, 4.505756800062954, 4.488769300049171, 5.439589299960062, 11.625806099968031, 6.407959500094876, 7.318219000007957]","[0.000215600011870265, 0.01445010001771152, 0.03550029988400638, 0.014390799915418029, 0.1014388999901712, 0.0683271000161767, 0.08308249991387129, 0.0694528000894934, 0.0657044998370111, 7.318225999828428]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A0D2RV,train_x,blue_star,top_left,2025-02-05_15h43.27.230,HideSeek_v1,2022.2.5,59.94100610105,
