trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio1.wav,358.74466870026663,358.69124374035744,1,[5.846656899899244],[5.846664600074291],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio2.wav,364.60872879996896,364.5960154602304,2,"[5.846656899899244, 25.039039500057697]","[0.00021769991144537926, 25.039045999757946]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio3.wav,389.72537640016526,389.7169654001482,3,"[5.846656899899244, 25.039039500057697, 16.470041900407523]","[0.00021769991144537926, 25.039045999757946, 16.470049200113863]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio4.wav,406.2737279003486,406.2637919001281,4,"[5.846656899899244, 25.039039500057697, 16.470041900407523, 19.387106699869037]","[0.00021769991144537926, 25.039045999757946, 0.014189899899065495, 19.387113999575377]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio5.wav,425.7247272999957,425.7133184600621,5,"[5.846656899899244, 25.039039500057697, 16.470041900407523, 19.387106699869037, 4.390013299882412]","[0.00021769991144537926, 25.039045999757946, 0.014189899899065495, 0.0535698002204299, 4.390020300168544]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio6.wav,430.1661800001748,430.1670989602804,6,"[5.846656899899244, 25.039039500057697, 16.470041900407523, 19.387106699869037, 4.390013299882412, 4.8690007999539375]","[0.00021769991144537926, 25.039045999757946, 0.014189899899065495, 0.0535698002204299, 0.09844959992915392, 4.869007899891585]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio7.wav,435.0931584001519,435.08770936019715,7,"[5.846656899899244, 25.039039500057697, 16.470041900407523, 19.387106699869037, 4.390013299882412, 4.8690007999539375, 5.162625799886882]","[0.00021769991144537926, 25.039045999757946, 0.014189899899065495, 0.0535698002204299, 0.09844959992915392, 0.06201699981465936, 5.162632499821484]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio8.wav,440.308927600272,440.30861456030976,8,"[5.846656899899244, 25.039039500057697, 16.470041900407523, 19.387106699869037, 4.390013299882412, 4.8690007999539375, 5.162625799886882, 11.440244699828327]","[0.00021769991144537926, 25.039045999757946, 0.014189899899065495, 0.0535698002204299, 0.09844959992915392, 0.06201699981465936, 0.09753580018877983, 11.440251300111413]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio9.wav,451.81250330014154,451.80171416038644,9,"[5.846656899899244, 25.039039500057697, 16.470041900407523, 19.387106699869037, 4.390013299882412, 4.8690007999539375, 5.162625799886882, 11.440244699828327, 5.825150799937546]","[0.00021769991144537926, 25.039045999757946, 0.014189899899065495, 0.0535698002204299, 0.09844959992915392, 0.06201699981465936, 0.09753580018877983, 0.05381439998745918, 5.825157800223678]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/top_left/instructions/Audio10.wav,457.6851167003624,457.67323172027244,10,"[5.846656899899244, 25.039039500057697, 16.470041900407523, 19.387106699869037, 4.390013299882412, 4.8690007999539375, 5.162625799886882, 11.440244699828327, 5.825150799937546, 6.891030699945986]","[0.00021769991144537926, 25.039045999757946, 0.014189899899065495, 0.0535698002204299, 0.09844959992915392, 0.06201699981465936, 0.09753580018877983, 0.05381439998745918, 0.035383500158786774, 6.891038300003856]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMJ0GC,train_y,blue_star,top_left,2025-04-28_17h18.37.258,HideSeek_v1,2022.2.5,59.98242500168517,
