trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,draw_alienStim,draw_alienID,test_x,nrepcount,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio1.wav,35.14204309997149,35.07294883873546,1,[2.9574287000577897],[2.957438400015235],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio2.wav,38.14270349999424,38.12681407994823,2,"[2.9574287000577897, 0.17829399998299778]","[2.957438400015235, 0.17830010002944618]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio3.wav,38.35988440003712,38.359915760019796,3,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio4.wav,38.642789100063965,38.62764015994035,4,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio5.wav,38.82436339999549,38.82367195994593,5,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.11861040000803769]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio6.wav,38.99055760004558,38.99313026005402,6,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.6495402000145987]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio7.wav,39.68980890000239,39.6759437200264,7,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio8.wav,39.893250999972224,39.87602432001149,8,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.10448169999290258]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio9.wav,40.04133689997252,40.027452819969035,9,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562, 0.38457009999547154]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.00022629997693002224, 0.38457760005258024]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio10.wav,40.46055560000241,40.45938851997489,10,"[2.9574287000577897, 0.17829399998299778, 0.21566729992628098, 0.13886899990029633, 0.11860120005439967, 0.649534699972719, 0.15055230003781617, 0.10447569994721562, 0.38457009999547154, 1.079923199955374]","[2.957438400015235, 0.014481399906799197, 0.21567740000318736, 0.13887709996197373, 0.014147899928502738, 0.0002452000044286251, 0.1505588999716565, 0.00022629997693002224, 0.00019319995772093534, 1.079930100007914]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_13h46.10.903,HideSeek_v1,2022.2.5,60.47009453236554,
