trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,image_break.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,draw_alienStim,draw_alienID,test_x,nrepcount,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio1.wav,71.85314529994503,71.72804278274998,1,[2.2688621999695897],[2.2688792999833822],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio2.wav,74.08714129996952,74.06949689995963,2,"[2.2688621999695897, 0.5865392999257892]","[0.11650689993984997, 0.586548599996604]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio3.wav,74.75063039991073,74.73665879992768,3,"[2.2688621999695897, 0.5865392999257892, 0.402096200035885]","[0.11650689993984997, 0.1685612000292167, 0.40210509998723865]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio4.wav,75.23447999998461,75.21712139993906,4,"[2.2688621999695897, 0.5865392999257892, 0.402096200035885, 0.23696999996900558]","[0.11650689993984997, 0.1685612000292167, 0.01796889991965145, 0.2369813999393955]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio5.wav,75.54029859998263,75.53614690003451,5,"[2.2688621999695897, 0.5865392999257892, 0.402096200035885, 0.23696999996900558, 0.4042345000198111]","[0.11650689993984997, 0.1685612000292167, 0.01796889991965145, 0.017735800007358193, 0.40425470005720854]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio6.wav,76.01711589994375,76.00881070003379,6,"[2.2688621999695897, 0.5865392999257892, 0.402096200035885, 0.23696999996900558, 0.4042345000198111, 0.3371530999429524]","[0.11650689993984997, 0.1685612000292167, 0.01796889991965145, 0.017735800007358193, 0.06735020002815872, 0.3371632000198588]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio7.wav,76.42001649993472,76.40304273995571,7,"[2.2688621999695897, 0.5865392999257892, 0.402096200035885, 0.23696999996900558, 0.4042345000198111, 0.3371530999429524, 0.4542832999723032]","[0.11650689993984997, 0.1685612000292167, 0.01796889991965145, 0.017735800007358193, 0.06735020002815872, 0.21605789999011904, 0.4542940999381244]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio8.wav,76.97057699994184,76.93658390000928,8,"[2.2688621999695897, 0.5865392999257892, 0.402096200035885, 0.23696999996900558, 0.4042345000198111, 0.3371530999429524, 0.4542832999723032, 0.28864220005925745]","[0.11650689993984997, 0.1685612000292167, 0.01796889991965145, 0.017735800007358193, 0.06735020002815872, 0.21605789999011904, 0.0003079000161960721, 0.2886574000585824]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio9.wav,77.30642039992381,77.30349159997422,9,"[2.2688621999695897, 0.5865392999257892, 0.402096200035885, 0.23696999996900558, 0.4042345000198111, 0.3371530999429524, 0.4542832999723032, 0.28864220005925745, 0.2952047000871971]","[0.11650689993984997, 0.1685612000292167, 0.01796889991965145, 0.017735800007358193, 0.06735020002815872, 0.21605789999011904, 0.0003079000161960721, 0.01906670001335442, 0.2952211000956595]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio10.wav,77.65204580000136,77.65041393996216,10,"[2.2688621999695897, 0.5865392999257892, 0.402096200035885, 0.23696999996900558, 0.4042345000198111, 0.3371530999429524, 0.4542832999723032, 0.28864220005925745, 0.2952047000871971, 0.28826780000235885]","[0.11650689993984997, 0.1685612000292167, 0.01796889991965145, 0.017735800007358193, 0.06735020002815872, 0.21605789999011904, 0.0003079000161960721, 0.01906670001335442, 0.052092500030994415, 0.28828059998340905]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h28.54.759,HideSeek_v1,2022.2.5,60.043363339635,
