trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio1.wav,68.62346299993806,68.59411331797018,1,[5.78197969996836],[5.781990799936466],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio2.wav,74.49293099995703,74.47676626989852,2,"[5.78197969996836, 0.26610890007577837]","[5.781990799936466, 0.2661290999967605]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio3.wav,74.8451646999456,74.81028144998709,3,"[5.78197969996836, 0.26610890007577837, 0.23861150001175702]","[5.781990799936466, 0.0002758000046014786, 0.23862139997072518]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio4.wav,75.13724319997709,75.12709254998481,4,"[5.78197969996836, 0.26610890007577837, 0.23861150001175702, 0.22745010000653565]","[5.781990799936466, 0.0002758000046014786, 0.01822049997281283, 0.2274601999670267]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio5.wav,75.42673669999931,75.41057763996069,5,"[5.78197969996836, 0.26610890007577837, 0.23861150001175702, 0.22745010000653565, 0.18450690002646297]","[5.781990799936466, 0.0002758000046014786, 0.01822049997281283, 0.2274601999670267, 0.18451699998695403]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio6.wav,75.67801349994261,75.65790223996156,6,"[5.78197969996836, 0.26610890007577837, 0.23861150001175702, 0.22745010000653565, 0.18450690002646297, 0.17767360003199428]","[5.781990799936466, 0.0002758000046014786, 0.01822049997281283, 0.2274601999670267, 0.0002612000098451972, 0.17768620001152158]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio7.wav,75.9032608999405,75.89310133995023,7,"[5.78197969996836, 0.26610890007577837, 0.23861150001175702, 0.22745010000653565, 0.18450690002646297, 0.17767360003199428, 0.19277179997880012]","[5.781990799936466, 0.0002758000046014786, 0.01822049997281283, 0.2274601999670267, 0.0002612000098451972, 0.017664099927060306, 0.1927971999393776]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio8.wav,76.16019189998042,76.14420453996864,8,"[5.78197969996836, 0.26610890007577837, 0.23861150001175702, 0.22745010000653565, 0.18450690002646297, 0.17767360003199428, 0.19277179997880012, 0.1711135000223294]","[5.781990799936466, 0.0002758000046014786, 0.01822049997281283, 0.2274601999670267, 0.0002612000098451972, 0.017664099927060306, 0.0002546999603509903, 0.1711228999774903]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio9.wav,76.40141099994071,76.39309524995042,9,"[5.78197969996836, 0.26610890007577837, 0.23861150001175702, 0.22745010000653565, 0.18450690002646297, 0.17767360003199428, 0.19277179997880012, 0.1711135000223294, 0.1784574999473989]","[5.781990799936466, 0.0002758000046014786, 0.01822049997281283, 0.2274601999670267, 0.0002612000098451972, 0.017664099927060306, 0.0002546999603509903, 0.00026400003116577864, 0.17846530000679195]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/x_decreasing_steps/top_left/instructions/Audio10.wav,76.62506509991363,76.61042902990012,10,"[5.78197969996836, 0.26610890007577837, 0.23861150001175702, 0.22745010000653565, 0.18450690002646297, 0.17767360003199428, 0.19277179997880012, 0.1711135000223294, 0.1784574999473989, 0.1898309999378398]","[5.781990799936466, 0.0002758000046014786, 0.01822049997281283, 0.2274601999670267, 0.0002612000098451972, 0.017664099927060306, 0.0002546999603509903, 0.00026400003116577864, 0.018522199941799045, 0.1898405000101775]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_decreasing_steps,top_left,2024-10-23_15h53.44.205,HideSeek_v1,2022.2.5,59.81827207058123,
