trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio1.wav,41.19826859992463,41.14823037775932,1,[7.497326600016095],[7.497338699991815],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio2.wav,48.746601399965584,48.73017805989366,2,"[7.497326600016095, 0.6659154000226408]","[0.11782219994347543, 0.6659228999633342]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio3.wav,49.51093210000545,49.49409755994566,3,"[7.497326600016095, 0.6659154000226408, 0.35420780000276864]","[0.11782219994347543, 0.1084139000158757, 0.3542280999245122]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio4.wav,49.94767599995248,49.928194399981294,4,"[7.497326600016095, 0.6659154000226408, 0.35420780000276864, 0.7681681999238208]","[0.11782219994347543, 0.1084139000158757, 0.5712767998920754, 0.7681772999931127]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio5.wav,50.80008039996028,50.778351899876725,5,"[7.497326600016095, 0.6659154000226408, 0.35420780000276864, 0.7681681999238208, 0.2262468000408262]","[0.11782219994347543, 0.1084139000158757, 0.5712767998920754, 0.7681772999931127, 0.22625489998608828]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio6.wav,51.0998505000025,51.0804974999628,6,"[7.497326600016095, 0.6659154000226408, 0.35420780000276864, 0.7681681999238208, 0.2262468000408262, 0.1324356000404805]","[0.11782219994347543, 0.1084139000158757, 0.5712767998920754, 0.7681772999931127, 0.22625489998608828, 0.1324445999925956]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio7.wav,51.29924969992135,51.280729199934285,7,"[7.497326600016095, 0.6659154000226408, 0.35420780000276864, 0.7681681999238208, 0.2262468000408262, 0.1324356000404805, 0.1427407000446692]","[0.11782219994347543, 0.1084139000158757, 0.5712767998920754, 0.7681772999931127, 0.22625489998608828, 0.1324445999925956, 0.14274849998764694]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio8.wav,51.51603149995208,51.495429799950216,8,"[7.497326600016095, 0.6659154000226408, 0.35420780000276864, 0.7681681999238208, 0.2262468000408262, 0.1324356000404805, 0.1427407000446692, 0.13359900005161762]","[0.11782219994347543, 0.1084139000158757, 0.5712767998920754, 0.7681772999931127, 0.22625489998608828, 0.1324445999925956, 0.14274849998764694, 0.13360900001134723]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio9.wav,51.70277440000791,51.697473699983675,9,"[7.497326600016095, 0.6659154000226408, 0.35420780000276864, 0.7681681999238208, 0.2262468000408262, 0.1324356000404805, 0.1427407000446692, 0.13359900005161762, 0.4562192000448704]","[0.11782219994347543, 0.1084139000158757, 0.5712767998920754, 0.7681772999931127, 0.22625489998608828, 0.1324445999925956, 0.14274849998764694, 0.1627568999538198, 0.4562316000228748]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio10.wav,52.20996209990699,52.197057139943354,10,"[7.497326600016095, 0.6659154000226408, 0.35420780000276864, 0.7681681999238208, 0.2262468000408262, 0.1324356000404805, 0.1427407000446692, 0.13359900005161762, 0.4562192000448704, 0.38989510003011674]","[0.11782219994347543, 0.1084139000158757, 0.5712767998920754, 0.7681772999931127, 0.22625489998608828, 0.1324445999925956, 0.14274849998764694, 0.1627568999538198, 0.10649080004077405, 0.3899027000879869]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio11.wav,52.678184299962595,52.664245699939784,11,"[7.497326600016095, 0.6659154000226408, 0.35420780000276864, 0.7681681999238208, 0.2262468000408262, 0.1324356000404805, 0.1427407000446692, 0.13359900005161762, 0.4562192000448704, 0.38989510003011674, 0.1572102999780327]","[0.11782219994347543, 0.1084139000158757, 0.5712767998920754, 0.7681772999931127, 0.22625489998608828, 0.1324445999925956, 0.14274849998764694, 0.1627568999538198, 0.10649080004077405, 0.3899027000879869, 0.1572214999468997]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_15h45.56.944,HideSeek_v1,2022.2.5,60.33608407190297,
