trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,image_break_2.started,key_resp_6.started,fixation_text.stopped,key_resp_6.keys,key_resp_6.rt,draw_alienStim,draw_alienID,test_x,nrepcount,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio1.wav,39.52964919991791,39.43380652186461,1,[2.553666199906729],[2.553673499962315],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio2.wav,42.06366649991833,42.047593780048196,2,"[2.553666199906729, 0.3702092000748962]","[0.01816460001282394, 0.37022290006279945]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio3.wav,42.516583399963565,42.5000913199503,3,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211]","[0.01816460001282394, 0.37022290006279945, 0.23066110000945628]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio4.wav,42.80029459996149,42.78312387999613,4,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.1987767000682652]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio5.wav,43.06009489996359,43.04728498002515,5,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.25735019997227937]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio6.wav,43.37036950001493,43.36489937996958,6,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.2649943999713287]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio7.wav,43.69470310001634,43.683347379975025,7,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.25564630003646016]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio8.wav,44.007506099995226,44.00052577997558,8,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.27795050002168864]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio9.wav,44.340338699985296,44.333852580003445,9,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975, 0.2585239000618458]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.01779120007995516, 0.2585351000307128]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio10.wav,44.638287400011905,44.630694410030266,10,"[2.553666199906729, 0.3702092000748962, 0.2306400000816211, 0.19876790000125766, 0.25733920000493526, 0.26498520001769066, 0.25563870009500533, 0.277939899940975, 0.2585239000618458, 0.2961228999774903]","[0.01816460001282394, 0.37022290006279945, 0.00030310009606182575, 0.01895870000589639, 0.01727990002837032, 0.017220500041730702, 0.00027249997947365046, 0.01779120007995516, 0.05868020001798868, 0.29613170004449785]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-23_16h05.44.577,HideSeek_v1,2022.2.5,60.044949642063244,
