trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio1.wav,40.94094090000726,40.88419020076981,1,[1.8146372000337578],[1.8146466000471264],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio2.wav,42.76765140000498,42.75222342001507,2,"[1.8146372000337578, 0.2729962999583222]","[1.8146466000471264, 0.2730053999694064]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio3.wav,43.086514200025704,43.083887320011854,3,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504]","[1.8146466000471264, 0.01396399998338893, 0.2784030999755487]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio4.wav,43.4203686999972,43.41738261998398,4,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.24468060000799596]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio5.wav,43.71851149998838,43.717316819995176,5,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.2501885999809019]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio6.wav,44.01763860002393,44.01759612001479,6,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.3325524000101723]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio7.wav,44.402460400015116,44.40039652003907,7,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio8.wav,44.8508496999857,44.83426389002125,8,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015, 0.30447009997442365]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196, 0.30447769997408614]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio9.wav,45.20229129999643,45.200824820029084,9,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015, 0.30447009997442365, 0.3780051000067033]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196, 0.013466799980960786, 0.37801179999951273]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio10.wav,45.61713400000008,45.61707499003387,10,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015, 0.30447009997442365, 0.3780051000067033, 2.5969437999883667]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196, 0.013466799980960786, 0.013429599988739938, 2.596949999977369]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide11.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio11.wav,48.26787179999519,48.25028788999771,11,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015, 0.30447009997442365, 0.3780051000067033, 2.5969437999883667, 10.851365800015628]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196, 0.013466799980960786, 0.013429599988739938, 0.11738800001330674, 10.851374500023667]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide12.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio12.wav,59.17097300000023,59.16694061999442,12,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015, 0.30447009997442365, 0.3780051000067033, 2.5969437999883667, 10.851365800015628, 13.892780599999242]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196, 0.013466799980960786, 0.013429599988739938, 0.11738800001330674, 0.04294040001695976, 13.892785999982152]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
1,3,2,8,2,5,0,66,2,instr_dim1_1,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/inputInstr_1.xlsx,stimuli/alien_stimuli/66.png,73.15034240001114,73.15034240001114,73.15034240001114,73.15034240001114,73.13363895003567,return,6.904581099981442,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",2,2,8,3,0.0,0.4,80.20015440002317,80.20015440002317,80.20015440002317,80.20015440002317,80.20015440002317,80.20015440002317,80.20015440002317,80.16684828000143,25.75069350004196,return,25.613828200032003,stimuli/alien_stimuli/66.png,66,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,30,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide13.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio13.wav,105.94180889998097,105.93341521002003,13,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015, 0.30447009997442365, 0.3780051000067033, 2.5969437999883667, 10.851365800015628, 13.892780599999242, 9.222732099995483]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196, 0.013466799980960786, 0.013429599988739938, 0.11738800001330674, 0.04294040001695976, 13.892785999982152, 9.22273939999286]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide14.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio14.wav,115.21910539997043,115.21659592003562,14,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015, 0.30447009997442365, 0.3780051000067033, 2.5969437999883667, 10.851365800015628, 13.892780599999242, 9.222732099995483, 4.6466996999806724]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196, 0.013466799980960786, 0.013429599988739938, 0.11738800001330674, 0.04294040001695976, 13.892785999982152, 0.09599860000889748, 4.646706599975005]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
2,3,7,3,7,0,0,61,2,instr_dim1_1,,,1,0,1,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/61.png,conditions/inputInstr_1.xlsx,stimuli/alien_stimuli/61.png,119.93328370002564,119.93328370002564,119.93328370002564,119.93328370002564,119.91659782000352,return,38.0441289000446,"[-0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32, 0.4, 0.48, 0.56]","[-0.4, -0.32, -0.24, -0.16, -0.08, 0, 0.08, 0.16, 0.24, 0.32]",7,7,3,3,0.0,0.0,158.09944189997623,158.09944189997623,158.09944189997623,158.09944189997623,158.09944189997623,158.09944189997623,158.09944189997623,158.08279448002577,14.883944000001065,return,14.753807100001723,stimuli/alien_stimuli/61.png,61,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,30,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.7,0,0,99,1,30,0,conditions/inputTrain_1.1.xlsx,99,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,2,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide15.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio15.wav,172.99671709997347,172.98249701000168,15,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015, 0.30447009997442365, 0.3780051000067033, 2.5969437999883667, 10.851365800015628, 13.892780599999242, 9.222732099995483, 4.6466996999806724, 28.80133600003319]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196, 0.013466799980960786, 0.013429599988739938, 0.11738800001330674, 0.04294040001695976, 13.892785999982152, 0.09599860000889748, 4.646706599975005, 28.801341700018384]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,,,,,,,,,,,,2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide16.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio16.wav,201.8500875000027,201.84860932000447,16,"[1.8146372000337578, 0.2729962999583222, 0.27839679998578504, 0.24467350001214072, 0.25018019997514784, 0.33254370000213385, 0.39501839998411015, 0.30447009997442365, 0.3780051000067033, 2.5969437999883667, 10.851365800015628, 13.892780599999242, 9.222732099995483, 4.6466996999806724, 28.80133600003319, 1.3993130999733694]","[1.8146466000471264, 0.01396399998338893, 0.014194099989254028, 0.06567429995629936, 0.048000400012824684, 0.013192699989303946, 0.3950250999769196, 0.013466799980960786, 0.013429599988739938, 0.11738800001330674, 0.04294040001695976, 13.892785999982152, 0.09599860000889748, 4.646706599975005, 0.13219949998892844, 1.3993211999768391]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,2,0,2,1,0,1,62,,train_dim1_1,1,30,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,203.38294669997413,203.38294669997413,203.38294669997413,203.38294669997413,203.38294669997413,right,14.148322300054133,0,0,0,99,0.08,-0.4,right,14.005811099952552,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,2,0,2,1,0,1,62,,train_dim1_1,1,30,2,0,2,0,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,217.51731490000384,217.51731490000384,217.51731490000384,217.51731490000384,217.51731490000384,return,0.6442627999931574,0,0,0,0,0.08,-0.4,return,0.530211600009352,0,1,0.08,-0.4,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,2,2,2,5,0,3,64,,train_dim1_1,2,30,2,0,2,0,,,,,,,,,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/62.png,62,2,3,,,,,,,30,,,,,,,,224.13214050000533,224.13214050000533,224.13214050000533,224.13214050000533,224.13214050000533,return,1.3260726999724284,0,0,0,0,0,-0.24,return,1.2347403999883682,0,1,0,-0.24,222.58220140001504,224.13214050000533,0,-0.32,0.08,0.0,-0.36,0,0.0,0,-0.32,219.70281019998947,219.70281019998947,219.70281019998947,219.70281019998947,219.70281019998947,219.70281019998947,219.70281019998947,219.70281019998947,219.6486486500071,3.002111099951435,return,2.8591348999761976,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
,3,3,3,8,0,5,66,,train_dim1_1,3,30,2,0,2,0,,,,,,,,,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,,,,,,,stimuli/alien_stimuli/66.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stimuli/alien_stimuli/64.png,64,2,4,,,,,,,30,,,,,,,,229.62044869997771,229.62044869997771,229.62044869997771,229.62044869997771,229.62044869997771,up,2.0260104999761097,0,0,0,99,0.08,-0.08,up,1.9619417000212707,,,,,228.08188389998395,229.62044869997771,0,0,0.24,0.0,-0.12,0,0.0,0,0,227.02100950002205,227.02100950002205,227.02100950002205,227.02100950002205,227.02100950002205,227.02100950002205,227.02100950002205,227.02100950002205,227.01530301003368,1.168299000011757,return,1.0412017999915406,A,train_x,x_increasing_steps,top_left,2024-10-29_18h19.53.802,HideSeek_v1,2022.2.5,59.71878423802735,
