beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,start_all_time,testround,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio1.wav,41.96439299994381,41.81687175947009,1,[2.3499244999838993],[2.349933699995745],0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
0,0,0,0,1,0,1,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio2.wav,44.24949449999258,44.237329399969894,2,"[2.3499244999838993, 0.22591119998833165]","[0.022479599982034415, 0.22591969999484718]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
0,0,0,0,2,0,2,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio3.wav,44.54362829995807,44.53662569995504,3,"[2.3499244999838993, 0.22591119998833165, 0.21404340001754463]","[0.022479599982034415, 0.02154570003040135, 0.21405190002406016]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
0,0,0,0,3,0,3,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio4.wav,44.835647799947765,44.819514699978754,4,"[2.3499244999838993, 0.22591119998833165, 0.21404340001754463, 0.18228529999032617]","[0.022479599982034415, 0.02154570003040135, 0.0002959999837912619, 0.1822946000029333]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
0,0,0,0,4,0,4,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio5.wav,45.06939869996859,45.05349871997023,5,"[2.3499244999838993, 0.22591119998833165, 0.21404340001754463, 0.18228529999032617, 0.1243667000089772]","[0.022479599982034415, 0.02154570003040135, 0.0002959999837912619, 0.00024910003412514925, 0.12437780003529042]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
0,0,0,0,5,0,5,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio6.wav,45.2523561999551,45.23698041999014,6,"[2.3499244999838993, 0.22591119998833165, 0.21404340001754463, 0.18228529999032617, 0.1243667000089772, 0.15555249998578802]","[0.022479599982034415, 0.02154570003040135, 0.0002959999837912619, 0.00024910003412514925, 0.0002741999924182892, 0.1555668999790214]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
0,0,0,0,6,0,6,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio7.wav,45.46920659998432,45.45259231996024,7,"[2.3499244999838993, 0.22591119998833165, 0.21404340001754463, 0.18228529999032617, 0.1243667000089772, 0.15555249998578802, 0.09304720000363886]","[0.022479599982034415, 0.02154570003040135, 0.0002959999837912619, 0.00024910003412514925, 0.0002741999924182892, 0.1555668999790214, 0.09305839997250587]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
0,0,0,0,7,0,7,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio8.wav,45.6210732999607,45.603256519977,8,"[2.3499244999838993, 0.22591119998833165, 0.21404340001754463, 0.18228529999032617, 0.1243667000089772, 0.15555249998578802, 0.09304720000363886, 0.1555686000501737]","[0.022479599982034415, 0.02154570003040135, 0.0002959999837912619, 0.00024910003412514925, 0.0002741999924182892, 0.1555668999790214, 0.00029360002372413874, 0.15557780000381172]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
0,0,0,0,8,0,8,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio9.wav,45.83617309998954,45.81945001995191,9,"[2.3499244999838993, 0.22591119998833165, 0.21404340001754463, 0.18228529999032617, 0.1243667000089772, 0.15555249998578802, 0.09304720000363886, 0.1555686000501737, 0.12406569998711348]","[0.022479599982034415, 0.02154570003040135, 0.0002959999837912619, 0.00024910003412514925, 0.0002741999924182892, 0.1555668999790214, 0.00029360002372413874, 0.15557780000381172, 0.12407689995598048]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
0,0,0,0,9,0,9,0,,,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/x_increasing_steps/top_left/instructions/Audio10.wav,46.03588919999311,46.01989389996743,10,"[2.3499244999838993, 0.22591119998833165, 0.21404340001754463, 0.18228529999032617, 0.1243667000089772, 0.15555249998578802, 0.09304720000363886, 0.1555686000501737, 0.12406569998711348, 0.12589120003394783]","[0.022479599982034415, 0.02154570003040135, 0.0002959999837912619, 0.00024910003412514925, 0.0002741999924182892, 0.1555668999790214, 0.00029360002372413874, 0.15557780000381172, 0.12407689995598048, 0.1258998000412248]",0,,,A,train_x,x_increasing_steps,top_left,2024-10-29_20h34.16.571,HideSeek_v1,2022.2.5,60.8487919789135,
