trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide1.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio1.wav,33.294656000100076,33.13907036106102,1,[1.18665630009491],[1.186669500079006],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide2.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio2.wav,34.41210720001254,34.3955227000406,2,"[1.18665630009491, 0.22994960006326437]","[0.029860800015740097, 0.2299572000047192]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide3.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio3.wav,34.69513470004313,34.67845242009498,3,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide4.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio4.wav,34.94751550001092,34.928823620011094,4,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide5.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio5.wav,35.14699090004433,35.12828692006878,5,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide6.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio6.wav,35.293084700009786,35.29129802009556,6,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide7.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio7.wav,35.479569200077094,35.47895122009795,7,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.14797430008184165]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide8.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio8.wav,35.678621700033545,35.678514420101415,8,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.14931090001482517]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide9.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio9.wav,35.89502320007887,35.879526520078066,9,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773, 0.16323299997020513]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.00020060001406818628, 0.16324010002426803]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Slide10.png,conditions/schedules/train_x_first/x_increasing_steps/top_right/instructions/Audio10.wav,36.0834751999937,36.07863694007974,10,"[1.18665630009491, 0.22994960006326437, 0.19220200006384403, 0.13804699992761016, 0.1054285999853164, 0.1347615000559017, 0.1479667000239715, 0.14929760002996773, 0.16323299997020513, 0.17850620008539408]","[0.029860800015740097, 0.0002742999931797385, 0.19221290003042668, 0.13805279997177422, 0.10544179996941239, 0.13476950000040233, 0.00020030001178383827, 0.00020060001406818628, 0.014852400054223835, 0.17851290001999587]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_x,x_increasing_steps,top_right,2024-10-23_15h12.57.539,HideSeek_v1,2022.2.5,60.45265742063466,
