trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio1.wav,27.46989950002171,27.426215010212037,1,[2.725883800012525],[2.7258907000068575],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio2.wav,30.211551400017925,30.202755940018687,2,"[2.725883800012525, 0.5725363999954425]","[0.01443819998530671, 0.5725451999460347]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio3.wav,30.85341670003254,30.8358289400232,3,"[2.725883800012525, 0.5725363999954425, 0.436855599982664]","[0.01443819998530671, 0.03681779996259138, 0.43686249997699633]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio4.wav,31.352876999997534,31.335987240006215,4,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.3120501000084914]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio5.wav,31.703427600034047,31.686935029987946,5,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.31911580002633855]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio6.wav,32.06412400002591,32.05251742998953,6,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.3036257000057958]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio7.wav,32.41939480003202,32.40255283000297,7,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio8.wav,32.801983000012115,32.802676640031855,8,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593, 0.2678806000039913]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455, 0.267886100045871]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio9.wav,33.183951499988325,33.18580708004301,9,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593, 0.2678806000039913, 0.3679675999446772]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455, 0.014920699992217124, 0.3679746999987401]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio10.wav,33.58918150002137,33.5865946300386,10,"[2.725883800012525, 0.5725363999954425, 0.436855599982664, 0.3120436000172049, 0.31910860002972186, 0.3036191000137478, 0.3382985000498593, 0.2678806000039913, 0.3679675999446772, 0.3804247999796644]","[0.01443819998530671, 0.03681779996259138, 0.02759640000294894, 0.052908900019247085, 0.05351710005197674, 0.03845839999848977, 0.33830820000730455, 0.014920699992217124, 0.06378189998213202, 0.3804307000245899]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,bottom_left,2024-10-30_14h29.44.252,HideSeek_v1,2022.2.5,59.79870561680909,
