trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio1.wav,32.54397100000642,32.469262400979645,1,[1.3692671000026166],[1.3692828000057489],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio2.wav,33.90748789999634,33.89190950003685,2,"[1.3692671000026166, 0.17276580003090203]","[0.000375300005543977, 0.17277760000433773]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio3.wav,34.12463689997094,34.1078610500088,3,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468]","[0.000375300005543977, 0.00020189996575936675, 0.13490030000684783]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio4.wav,34.30734419997316,34.290601050027185,4,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio5.wav,34.64493309997488,34.64072934999131,5,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.1447325000190176]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio6.wav,34.82914579997305,34.82417595003499,6,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio7.wav,35.05757559998892,35.04080184998457,7,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.04195729998173192]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio8.wav,35.13581260002684,35.12481655001175,8,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.40802929998608306]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio9.wav,35.5906356999767,35.57393314999063,9,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194, 0.35627290001139045]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.18961409997427836, 0.35628070001257583]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio10.wav,35.97372650000034,35.957076699985194,10,"[1.3692671000026166, 0.17276580003090203, 0.1348928000079468, 0.3040087000117637, 0.1447259000269696, 0.17723319999640808, 0.04194979998283088, 0.4080229999963194, 0.35627290001139045, 0.17211420001694933]","[0.000375300005543977, 0.00020189996575936675, 0.13783650001278147, 0.3040143999969587, 0.0001857000170275569, 0.1772417000029236, 0.10650019999593496, 0.18961409997427836, 0.03797689999919385, 0.17212509998353198]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,increasing,top_left,2024-10-30_16h46.19.022,HideSeek_v1,2022.2.5,60.1027275945665,
