trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,image_break.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,draw_alienStim,draw_alienID,test_x,nrepcount,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio1.wav,57.464916500030085,57.38048147971276,1,[1.9118402999592945],[1.9118466000072658],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio2.wav,59.38356300001033,59.365993799990974,2,"[1.9118402999592945, 0.24637249996885657]","[0.11415209993720055, 0.24637950002215803]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio3.wav,59.693216699990444,59.682429599924944,3,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987]","[0.11415209993720055, 0.9552255999296904, 1.4384664000244811]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio4.wav,61.21609270002227,61.21609386003111,4,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.5442884999793023]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio5.wav,61.817485700012185,61.81215533993673,5,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.8976766000268981]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio6.wav,62.76746090000961,62.76678123995662,6,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 1.0467500000959262]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio7.wav,63.8836962999776,63.866191139980224,7,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.12493309995625168]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio8.wav,64.04955580004025,64.03306277994999,8,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio9.wav,64.23434740002267,64.23262413993943,9,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715, 0.13309050002135336]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295, 0.13309750007465482]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio10.wav,64.41352890001144,64.39959137993866,10,"[1.9118402999592945, 0.24637249996885657, 1.438459899974987, 0.5442779998993501, 0.8976691000862047, 1.0467428000411019, 0.1249266000231728, 0.13553750002756715, 0.13309050002135336, 0.09045550005976111]","[0.11415209993720055, 0.9552255999296904, 0.5143729998962954, 0.2973513000179082, 0.9292789000319317, 0.0002101999707520008, 0.0001984999980777502, 0.13554480008315295, 0.13309750007465482, 0.09046350000426173]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h15.24.934,HideSeek_v1,2022.2.5,60.03633400041431,
