trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio1.wav,40.56285410001874,40.436862421617846,1,[2.286118899937719],[2.2861299000214785],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio2.wav,42.80880520003848,42.79083229997195,2,"[2.286118899937719, 0.29145459993742406]","[0.019698399933986366, 0.291464600013569]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio3.wav,43.18646140000783,43.175816239998674,3,"[2.286118899937719, 0.29145459993742406, 0.22884520003572106]","[0.019698399933986366, 0.291464600013569, 0.2288529999786988]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio4.wav,43.487838099943474,43.47258870000951,4,"[2.286118899937719, 0.29145459993742406, 0.22884520003572106, 0.2045131999766454]","[0.019698399933986366, 0.291464600013569, 0.00031109992414712906, 0.20452079991810024]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio5.wav,43.75790099997539,43.73974806002807,5,"[2.286118899937719, 0.29145459993742406, 0.22884520003572106, 0.2045131999766454, 0.18695740005932748]","[0.019698399933986366, 0.291464600013569, 0.00031109992414712906, 0.00038159999530762434, 0.1869682000251487]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio6.wav,44.01448969997,44.00733150006272,6,"[2.286118899937719, 0.29145459993742406, 0.22884520003572106, 0.2045131999766454, 0.18695740005932748, 0.17865570005960763]","[0.019698399933986366, 0.291464600013569, 0.00031109992414712906, 0.00038159999530762434, 0.00025400007143616676, 0.1786636000033468]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio7.wav,44.27426440001,44.25695149996318,7,"[2.286118899937719, 0.29145459993742406, 0.22884520003572106, 0.2045131999766454, 0.18695740005932748, 0.17865570005960763, 0.1192977000027895]","[0.019698399933986366, 0.291464600013569, 0.00031109992414712906, 0.00038159999530762434, 0.00025400007143616676, 0.1786636000033468, 0.1193080999655649]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio8.wav,44.45214790001046,44.44128140003886,8,"[2.286118899937719, 0.29145459993742406, 0.22884520003572106, 0.2045131999766454, 0.18695740005932748, 0.17865570005960763, 0.1192977000027895, 0.10967010003514588]","[0.019698399933986366, 0.291464600013569, 0.00031109992414712906, 0.00038159999530762434, 0.00025400007143616676, 0.1786636000033468, 0.1193080999655649, 0.1096784999826923]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio9.wav,44.64104999997653,44.62359039997682,9,"[2.286118899937719, 0.29145459993742406, 0.22884520003572106, 0.2045131999766454, 0.18695740005932748, 0.17865570005960763, 0.1192977000027895, 0.10967010003514588, 0.11454649991355836]","[0.019698399933986366, 0.291464600013569, 0.00031109992414712906, 0.00038159999530762434, 0.00025400007143616676, 0.1786636000033468, 0.1193080999655649, 0.1096784999826923, 0.11455449997447431]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/x_decreasing_steps/top_left/instructions/Audio10.wav,44.80764759995509,44.79018586003222,10,"[2.286118899937719, 0.29145459993742406, 0.22884520003572106, 0.2045131999766454, 0.18695740005932748, 0.17865570005960763, 0.1192977000027895, 0.10967010003514588, 0.11454649991355836, 0.09912499994970858]","[0.019698399933986366, 0.291464600013569, 0.00031109992414712906, 0.00038159999530762434, 0.00025400007143616676, 0.1786636000033468, 0.1193080999655649, 0.1096784999826923, 0.11455449997447431, 0.09913340001367033]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_decreasing_steps,top_left,2024-10-23_15h26.45.152,HideSeek_v1,2022.2.5,59.55206129160902,
