trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,draw_alienStim,draw_alienID,test_x,nrepcount,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio1.wav,36.878056200104766,36.76163101922721,1,[3.268592400010675],[3.2686000999528915],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio2.wav,40.12343300005887,40.11215755005833,2,"[3.268592400010675, 0.770322100026533]","[0.12031110003590584, 0.770328399958089]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio3.wav,40.94206790009048,40.92798641000409,3,"[3.268592400010675, 0.770322100026533, 0.48515119997318834]","[0.12031110003590584, 0.15226449992042035, 0.48515839991159737]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio4.wav,41.474382400047034,41.460880310065114,4,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.469090300030075]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio5.wav,41.99399010010529,41.977854810096325,5,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.8745469999266788]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio6.wav,42.89965970010962,42.89447230999358,6,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.8604257000843063]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio7.wav,43.80213250010274,43.79441121001728,7,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.6903914000140503]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio8.wav,44.53266080003232,44.527808210020886,8,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.5761389000108466]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio9.wav,45.17799640004523,45.17733215005137,9,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146, 0.46501200005877763]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.131582299945876, 0.46502040000632405]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/x_increasing_steps/bottom_left/instructions/Audio10.wav,45.673304600059055,45.661285540065734,10,"[3.268592400010675, 0.770322100026533, 0.48515119997318834, 0.46908349997829646, 0.8745405999943614, 0.8604201000416651, 0.6903856999706477, 0.5761315000709146, 0.46501200005877763, 1.420696199988015]","[0.12031110003590584, 0.15226449992042035, 0.16853859997354448, 0.1577991999220103, 0.17546739999670535, 0.17023709998466074, 0.15993920003529638, 0.131582299945876, 0.16993159998673946, 1.4207039000466466]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,bottom_left,2024-10-23_13h38.11.441,HideSeek_v1,2022.2.5,60.12639769574179,
