trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio1.wav,61.32390029984526,61.23167668320239,1,[5.014598099980503],[5.014626499963924],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio2.wav,66.36772709991783,66.35737294000575,2,"[5.014598099980503, 1.0235376998316497]","[0.05419289995916188, 1.0235482000280172]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio3.wav,67.48484229994938,67.47386301993393,3,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489]","[0.05419289995916188, 0.10639690002426505, 0.42267250013537705]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio4.wav,68.00888609979302,68.00673233992421,4,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.36886310018599033]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio5.wav,68.45596259995364,68.44187900004908,5,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.42207229998894036]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio6.wav,68.96427879994735,68.95850231996738,6,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.3098887000232935]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio7.wav,69.37330470001325,69.35745252002963,7,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.29912960017099977]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio8.wav,69.76745959999971,69.75566241992638,8,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.3237787999678403]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio9.wav,70.17612809990533,70.17449251990766,9,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186, 0.26403750013560057]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.11521900002844632, 0.2640516001265496]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio10.wav,70.5183909998741,70.50676599983126,10,"[5.014598099980503, 1.0235376998316497, 0.4226609000470489, 0.36884919996373355, 0.4220479999203235, 0.30987880006432533, 0.29910510010086, 0.32376749999821186, 0.26403750013560057, 0.3277515999507159]","[0.05419289995916188, 0.10639690002426505, 0.0988884000107646, 0.11825609998777509, 0.1099935001693666, 0.11524750012904406, 0.10668859980069101, 0.11521900002844632, 0.12477979995310307, 0.3277625998016447]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-25_16h14.30.213,HideSeek_v1,2022.2.5,59.759218189086944,
