beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio1.wav,34.99878209998133,34.9379786801408,1,[2.156699799990747],[2.1567070999881253],0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio2.wav,37.182316399994306,37.16475519997766,2,"[2.156699799990747, 0.3430309999966994]","[0.060790799965616316, 0.343038399994839]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio3.wav,37.58120809996035,37.58179819997167,3,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833]","[0.060790799965616316, 0.05013510002754629, 0.3172111000167206]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio4.wav,37.96561319998,37.94856667997083,4,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.24031449999893084]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio5.wav,38.25090230000205,38.248591379972645,5,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.2636350999819115]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio6.wav,38.56748609995702,38.565219279972375,6,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.2463955999701284]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio7.wav,38.86625149997417,38.86482437998057,7,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.24753699998836964]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio8.wav,39.16676849999931,39.164800579962325,8,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.23133749997941777]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio9.wav,39.45319649996236,39.44880237996113,9,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.18071849999250844]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio10.wav,39.682529799989425,39.666485559975264,10,"[2.156699799990747, 0.3430309999966994, 0.3172010999987833, 0.24030379997566342, 0.2636276999837719, 0.24638969998341054, 0.24752999999327585, 0.23132979997899383, 0.18071000004420057, 0.2072875999729149]","[0.060790799965616316, 0.05013510002754629, 0.040586099959909916, 0.015426999947521836, 0.01533750002272427, 0.047489300020970404, 0.015424399985931814, 0.017066300031729043, 0.04174129996681586, 0.2072945999680087]",0,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-29_18h08.44.275,HideSeek_v1,2022.2.5,59.848774122612674,
