trialTrain,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,testlen,version,trial_label,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,alienStim,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,saveACC_choice,corrAns_test,x_movePos_end,y_movePos_end,key_resp_test.keys,key_resp_test.rt,fixation_text.started,image_break_2.started,key_resp_6.started,fixation_text.stopped,key_resp_6.keys,key_resp_6.rt,draw_alienStim,draw_alienID,test_x,nrepcount,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio1.wav,36.72797690000152,36.681818759883754,1,[1.8244471999933012],[1.8244624999933876],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio2.wav,38.7063433000003,38.67348363995552,2,"[1.8244471999933012, 0.21655490004923195]","[1.8244624999933876, 0.2165642000036314]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio3.wav,38.99358529999154,38.99000823998358,3,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027]","[1.8244624999933876, 0.2165642000036314, 0.26313559996197]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio4.wav,39.33780249999836,39.32300189998932,4,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.22011459997156635]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio5.wav,39.623754300002474,39.62271039996995,5,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.2539206999936141]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio6.wav,39.94152799999574,39.93958369997563,6,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.2489994000061415]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio7.wav,40.259829799993895,40.25706619996345,7,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.22991690004710108]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio8.wav,40.56039149995195,40.55639179999707,8,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.21391459996812046]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio9.wav,40.842229400004726,40.83928630000446,9,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215, 0.21595490002073348]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.01702660002047196, 0.21596810000482947]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio10.wav,41.121996700007,41.10669915995095,10,"[1.8244471999933012, 0.21655490004923195, 0.26312749995850027, 0.22010519995819777, 0.2539095000247471, 0.24898999999277294, 0.22985550004523247, 0.21390400000382215, 0.21595490002073348, 0.2617896000156179]","[1.8244624999933876, 0.2165642000036314, 0.0003103999770246446, 0.04910150001524016, 0.04750909999711439, 0.016902500006835908, 0.0002796999760903418, 0.01702660002047196, 0.06182599999010563, 0.26179710001451895]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h50.21.247,HideSeek_v1,2022.2.5,59.89315062842767,
