trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,participant,train_first,direction of x,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio1.wav,39.72345370001858,39.66971294131363,1,[3.934849100012798],[3.9348597999778576],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio2.wav,43.68423990003066,43.67230220005149,2,"[3.934849100012798, 0.36176969995722175]","[0.00027520000003278255, 0.36178679997101426]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio3.wav,44.1248872000142,44.10595740005374,3,"[3.934849100012798, 0.36176969995722175, 0.2073563999729231]","[0.00027520000003278255, 0.00031599996145814657, 0.20736860000761226]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio4.wav,44.42248780000955,44.40583224004367,4,"[3.934849100012798, 0.36176969995722175, 0.2073563999729231, 0.12791069998638704]","[0.00027520000003278255, 0.00031599996145814657, 0.20736860000761226, 0.12791899999137968]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio5.wav,44.60686280002119,44.589638560044115,5,"[3.934849100012798, 0.36176969995722175, 0.2073563999729231, 0.12791069998638704, 0.15187699999660254]","[0.00027520000003278255, 0.00031599996145814657, 0.20736860000761226, 0.0002487999736331403, 0.15188580000540242]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio6.wav,44.81722960004117,44.80620776002761,6,"[3.934849100012798, 0.36176969995722175, 0.2073563999729231, 0.12791069998638704, 0.15187699999660254, 0.20816629996988922]","[0.00027520000003278255, 0.00031599996145814657, 0.20736860000761226, 0.0002487999736331403, 0.018536999996285886, 0.2081746999756433]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio7.wav,45.085436500026844,45.07223506006412,7,"[3.934849100012798, 0.36176969995722175, 0.2073563999729231, 0.12791069998638704, 0.15187699999660254, 0.20816629996988922, 0.23936820001108572]","[0.00027520000003278255, 0.00031599996145814657, 0.20736860000761226, 0.0002487999736331403, 0.018536999996285886, 0.03824010002426803, 0.2393832000088878]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio8.wav,45.38583290000679,45.37269596006954,8,"[3.934849100012798, 0.36176969995722175, 0.2073563999729231, 0.12791069998638704, 0.15187699999660254, 0.20816629996988922, 0.23936820001108572, 0.23919230001047254]","[0.00027520000003278255, 0.00031599996145814657, 0.20736860000761226, 0.0002487999736331403, 0.018536999996285886, 0.03824010002426803, 0.01826230000006035, 0.23920080001698807]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio9.wav,45.6847081000451,45.67289266004227,9,"[3.934849100012798, 0.36176969995722175, 0.2073563999729231, 0.12791069998638704, 0.15187699999660254, 0.20816629996988922, 0.23936820001108572, 0.23919230001047254, 0.26396710000699386]","[0.00027520000003278255, 0.00031599996145814657, 0.20736860000761226, 0.0002487999736331403, 0.018536999996285886, 0.03824010002426803, 0.01826230000006035, 0.05663720000302419, 0.2639777999720536]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/x_increasing_steps/top_left/instructions/Audio10.wav,45.99411660002079,45.978218520048536,10,"[3.934849100012798, 0.36176969995722175, 0.2073563999729231, 0.12791069998638704, 0.15187699999660254, 0.20816629996988922, 0.23936820001108572, 0.23919230001047254, 0.26396710000699386, 0.26355579996015877]","[0.00027520000003278255, 0.00031599996145814657, 0.20736860000761226, 0.0002487999736331403, 0.018536999996285886, 0.03824010002426803, 0.01826230000006035, 0.05663720000302419, 0.04655089997686446, 0.2635642999666743]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,train_y,x_increasing_steps,top_left,2024-10-30_10h52.13.198,HideSeek_v1,2022.2.5,59.92642232953912,
