trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,wLy_dir,wLx_dir,x_movePos,y_movePos,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio1.wav,1669.2433540000056,1669.1854740600802,1,[20.188066600007005],[20.188075600017328],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio2.wav,1689.4627267000033,1689.4539600000135,2,"[20.188066600007005, 26.01060890001827]","[20.188075600017328, 26.01061510000727]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio3.wav,1715.553194100008,1715.542369600007,3,"[20.188066600007005, 26.01060890001827, 16.617381599993678]","[20.188075600017328, 0.0003069999802391976, 16.617388699989533]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio4.wav,1732.2488665999845,1732.2395358000067,4,"[20.188066600007005, 26.01060890001827, 16.617381599993678, 19.320618099998683]","[20.188075600017328, 0.0003069999802391976, 0.013993000000482425, 19.320624600019073]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio5.wav,1751.6340897000046,1751.6222329199898,5,"[20.188066600007005, 26.01060890001827, 16.617381599993678, 19.320618099998683, 4.773914099991089]","[20.188075600017328, 0.0003069999802391976, 0.013993000000482425, 0.014491900015855208, 4.773921899992274]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio6.wav,1756.4580987000081,1756.4596568199865,6,"[20.188066600007005, 26.01060890001827, 16.617381599993678, 19.320618099998683, 4.773914099991089, 4.969650100014405]","[20.188075600017328, 0.0003069999802391976, 0.013993000000482425, 0.014491900015855208, 0.032196099986322224, 4.969657899986487]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio7.wav,1761.4917546999932,1761.4802751199984,7,"[20.188066600007005, 26.01060890001827, 16.617381599993678, 19.320618099998683, 4.773914099991089, 4.969650100014405, 6.174741499999072]","[20.188075600017328, 0.0003069999802391976, 0.013993000000482425, 0.014491900015855208, 0.032196099986322224, 0.03604450001148507, 6.174748200020986]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio8.wav,1767.732328299986,1767.7189968200053,8,"[20.188066600007005, 26.01060890001827, 16.617381599993678, 19.320618099998683, 4.773914099991089, 4.969650100014405, 6.174741499999072, 11.460252999997465]","[20.188075600017328, 0.0003069999802391976, 0.013993000000482425, 0.014491900015855208, 0.032196099986322224, 0.03604450001148507, 0.03462029999354854, 11.460259499988751]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio9.wav,1779.262866200006,1779.2617359999858,9,"[20.188066600007005, 26.01060890001827, 16.617381599993678, 19.320618099998683, 4.773914099991089, 4.969650100014405, 6.174741499999072, 11.460252999997465, 6.268189399997937]","[20.188075600017328, 0.0003069999802391976, 0.013993000000482425, 0.014491900015855208, 0.032196099986322224, 0.03604450001148507, 0.03462029999354854, 0.014079199987463653, 6.2681961999915075]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio10.wav,1785.5684564000112,1785.567081739998,10,"[20.188066600007005, 26.01060890001827, 16.617381599993678, 19.320618099998683, 4.773914099991089, 4.969650100014405, 6.174741499999072, 11.460252999997465, 6.268189399997937, 7.118624199996702]","[20.188075600017328, 0.0003069999802391976, 0.013993000000482425, 0.014491900015855208, 0.032196099986322224, 0.03604450001148507, 0.03462029999354854, 0.014079199987463653, 0.06234790000598878, 7.118631599994842]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D5QAKR,train_x,red_square,bottom_right,2025-03-22_13h08.24.056,HideSeek_v1,2022.2.5,59.89946474338992,
