trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio1.wav,62.40584170026705,62.354810347873716,1,[4.61198619985953],[4.611999600194395],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio2.wav,67.03745230007917,67.03965434990823,2,"[4.61198619985953, 10.792106300126761]","[4.611999600194395, 10.792113200295717]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio3.wav,77.8931435002014,77.88180809989571,3,"[4.61198619985953, 10.792106300126761, 17.100429999642074]","[4.611999600194395, 0.15300879999995232, 17.100436799693853]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio4.wav,95.07560059987009,95.06285485019907,4,"[4.61198619985953, 10.792106300126761, 17.100429999642074, 19.801621799822897]","[4.611999600194395, 0.15300879999995232, 17.100436799693853, 19.80162959964946]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio5.wav,114.94616980012506,114.94590485002846,5,"[4.61198619985953, 10.792106300126761, 17.100429999642074, 19.801621799822897, 4.33416480012238]","[4.611999600194395, 0.15300879999995232, 17.100436799693853, 0.04730059998109937, 4.334171399939805]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio6.wav,119.33055590000004,119.333207700029,6,"[4.61198619985953, 10.792106300126761, 17.100429999642074, 19.801621799822897, 4.33416480012238, 4.970999099779874]","[4.611999600194395, 0.15300879999995232, 17.100436799693853, 0.04730059998109937, 0.03379859961569309, 4.971006199717522]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio7.wav,124.35199599992484,124.35391619997098,7,"[4.61198619985953, 10.792106300126761, 17.100429999642074, 19.801621799822897, 4.33416480012238, 4.970999099779874, 5.754568799864501]","[4.611999600194395, 0.15300879999995232, 17.100436799693853, 0.04730059998109937, 0.03379859961569309, 0.06616879999637604, 5.754575799684972]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio8.wav,130.15836110012606,130.15891830027104,8,"[4.61198619985953, 10.792106300126761, 17.100429999642074, 19.801621799822897, 4.33416480012238, 4.970999099779874, 5.754568799864501, 11.807768299710006]","[4.611999600194395, 0.15300879999995232, 17.100436799693853, 0.04730059998109937, 0.03379859961569309, 0.06616879999637604, 0.03131840005517006, 11.807775299996138]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio9.wav,142.03792300028726,142.0354550499469,9,"[4.61198619985953, 10.792106300126761, 17.100429999642074, 19.801621799822897, 4.33416480012238, 4.970999099779874, 5.754568799864501, 11.807768299710006, 6.266417399980128]","[4.611999600194395, 0.15300879999995232, 17.100436799693853, 0.04730059998109937, 0.03379859961569309, 0.06616879999637604, 0.03131840005517006, 0.03016229998320341, 6.266423699911684]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio10.wav,148.3426104001701,148.34062315030022,10,"[4.61198619985953, 10.792106300126761, 17.100429999642074, 19.801621799822897, 4.33416480012238, 4.970999099779874, 5.754568799864501, 11.807768299710006, 6.266417399980128, 7.084596399683505]","[4.611999600194395, 0.15300879999995232, 17.100436799693853, 0.04730059998109937, 0.03379859961569309, 0.06616879999637604, 0.03131840005517006, 0.03016229998320341, 0.07879940001294017, 7.0846039997413754]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EJLR91,train_x,blue_star,top_right,2025-02-28_16h04.27.999,HideSeek_v1,2022.2.5,59.9253091398624,
