trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio1.wav,335.3271137000993,335.2790195995476,1,[5.2518617999739945],[5.251873800065368],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio2.wav,340.5966460001655,340.5983375001233,2,"[5.2518617999739945, 11.25884519983083]","[0.00030530011281371117, 11.25885169999674]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio3.wav,351.930257699918,351.9245304001961,2,"[5.2518617999739945, 11.25884519983083]","[0.00030530011281371117, 0.5081917000934482]",1,[1.726240400224924],[1.7262477003969252],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio2.wav,353.7177876997739,353.7093378202058,3,"[5.2518617999739945, 11.25884519983083, 18.087645399849862]","[0.00030530011281371117, 0.5081917000934482, 18.087652300018817]",1,[1.726240400224924],[0.00011069979518651962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio3.wav,371.87898480007425,371.87442400003783,4,"[5.2518617999739945, 11.25884519983083, 18.087645399849862, 17.02404440008104]","[0.00030530011281371117, 0.5081917000934482, 0.031176299788057804, 17.02405139990151]",1,[1.726240400224924],[0.00011069979518651962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio4.wav,388.9836003999226,388.97199019999243,5,"[5.2518617999739945, 11.25884519983083, 18.087645399849862, 17.02404440008104, 19.585535599850118]","[0.00030530011281371117, 0.5081917000934482, 0.031176299788057804, 0.014425300061702728, 19.58554319990799]",1,[1.726240400224924],[0.00011069979518651962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio5.wav,408.63885099999607,408.6379858001601,6,"[5.2518617999739945, 11.25884519983083, 18.087645399849862, 17.02404440008104, 19.585535599850118, 4.90135549986735]","[0.00030530011281371117, 0.5081917000934482, 0.031176299788057804, 0.014425300061702728, 0.0307090999558568, 4.901362299919128]",1,[1.726240400224924],[0.00011069979518651962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio6.wav,413.5899360999465,413.5923246200196,7,"[5.2518617999739945, 11.25884519983083, 18.087645399849862, 17.02404440008104, 19.585535599850118, 4.90135549986735, 4.953768499661237]","[0.00030530011281371117, 0.5081917000934482, 0.031176299788057804, 0.014425300061702728, 0.0307090999558568, 0.04963359981775284, 4.953775499947369]",1,[1.726240400224924],[0.00011069979518651962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio7.wav,418.5947456997819,418.5962475202046,8,"[5.2518617999739945, 11.25884519983083, 18.087645399849862, 17.02404440008104, 19.585535599850118, 4.90135549986735, 4.953768499661237, 5.453644799999893]","[0.00030530011281371117, 0.5081917000934482, 0.031176299788057804, 0.014425300061702728, 0.0307090999558568, 0.04963359981775284, 0.04880429990589619, 5.4536517998203635]",1,[1.726240400224924],[0.00011069979518651962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio8.wav,424.1005549998954,424.10092731975016,9,"[5.2518617999739945, 11.25884519983083, 18.087645399849862, 17.02404440008104, 19.585535599850118, 4.90135549986735, 4.953768499661237, 5.453644799999893, 11.60717420000583]","[0.00030530011281371117, 0.5081917000934482, 0.031176299788057804, 0.014425300061702728, 0.0307090999558568, 0.04963359981775284, 0.04880429990589619, 0.08070500008761883, 11.607181400060654]",1,[1.726240400224924],[0.00011069979518651962],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EP67HC,train_x,red_square,bottom_right,2025-02-27_15h44.12.996,HideSeek_v1,2022.2.5,60.35276178237859,
