trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio1.wav,604.5201135000098,604.4601591984392,1,[3.986874900001567],[3.986889499996323],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio2.wav,608.5257220000494,608.5280644999875,2,"[3.986874900001567, 18.83242250001058]","[0.0002204999909736216, 18.83243000000948]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio3.wav,627.433284400031,627.4270569000219,3,"[3.986874900001567, 18.83242250001058, 16.571652800019365]","[0.0002204999909736216, 0.01414060004753992, 16.571660100016743]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio4.wav,644.0884662000462,644.0739915999875,4,"[3.986874900001567, 18.83242250001058, 16.571652800019365, 19.036494500003755]","[0.0002204999909736216, 0.01414060004753992, 16.571660100016743, 19.036502600007225]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio5.wav,663.1907107000006,663.1897886999941,5,"[3.986874900001567, 18.83242250001058, 16.571652800019365, 19.036494500003755, 3.9837638000026345]","[0.0002204999909736216, 0.01414060004753992, 16.571660100016743, 0.030068800027947873, 3.9837724000099115]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio6.wav,667.2262413999997,667.2265170200145,6,"[3.986874900001567, 18.83242250001058, 16.571652800019365, 19.036494500003755, 3.9837638000026345, 4.468191000050865]","[0.0002204999909736216, 0.01414060004753992, 16.571660100016743, 0.030068800027947873, 0.047286300046835095, 4.4681988000520505]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio7.wav,671.7458695000387,671.7471493200165,7,"[3.986874900001567, 18.83242250001058, 16.571652800019365, 19.036494500003755, 3.9837638000026345, 4.468191000050865, 5.102819399966393]","[0.0002204999909736216, 0.01414060004753992, 16.571660100016743, 0.030068800027947873, 0.047286300046835095, 0.06509859999641776, 5.102826599963009]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio8.wav,676.9033471000148,676.9012826200225,8,"[3.986874900001567, 18.83242250001058, 16.571652800019365, 19.036494500003755, 3.9837638000026345, 4.468191000050865, 5.102819399966393, 11.671788599982392]","[0.0002204999909736216, 0.01414060004753992, 16.571660100016743, 0.030068800027947873, 0.047286300046835095, 0.06509859999641776, 0.04634419997455552, 11.671795999980532]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio9.wav,688.6456536000478,688.6444133000041,9,"[3.986874900001567, 18.83242250001058, 16.571652800019365, 19.036494500003755, 3.9837638000026345, 4.468191000050865, 5.102819399966393, 11.671788599982392, 5.734048999962397]","[0.0002204999909736216, 0.01414060004753992, 16.571660100016743, 0.030068800027947873, 0.047286300046835095, 0.06509859999641776, 0.04634419997455552, 0.02988260000711307, 5.734056599962059]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/bottom_left/instructions/Audio10.wav,694.4181251000264,694.4156961399771,10,"[3.986874900001567, 18.83242250001058, 16.571652800019365, 19.036494500003755, 3.9837638000026345, 4.468191000050865, 5.102819399966393, 11.671788599982392, 5.734048999962397, 6.816827300004661]","[0.0002204999909736216, 0.01414060004753992, 16.571660100016743, 0.030068800027947873, 0.047286300046835095, 0.06509859999641776, 0.04634419997455552, 0.02988260000711307, 0.047273000003769994, 6.816834099998232]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EXDRFV,train_y,blue_star,bottom_left,2025-05-19_16h34.07.185,HideSeek_v1,2022.2.5,59.976705044936466,
