trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio1.wav,1484.8258799000178,1484.7745426183335,1,[5.152755100047216],[5.152762999990955],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio2.wav,1489.9966519000009,1489.998001449916,2,"[5.152755100047216, 17.81354779994581]","[5.152762999990955, 17.81355419999454]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio3.wav,1507.8816674000118,1507.879397349956,3,"[5.152755100047216, 17.81354779994581, 16.425398600054905]","[5.152762999990955, 17.81355419999454, 16.42540549999103]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio4.wav,1524.3871989999898,1524.3765716499765,4,"[5.152755100047216, 17.81354779994581, 16.425398600054905, 19.186200800002553]","[5.152762999990955, 17.81355419999454, 0.03309759998228401, 19.186206999933347]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio5.wav,1543.6406990999822,1543.6426656499389,5,"[5.152755100047216, 17.81354779994581, 16.425398600054905, 19.186200800002553, 3.9863132999744266]","[5.152762999990955, 17.81355419999454, 0.03309759998228401, 0.00021639990154653788, 3.9863197999075055]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio6.wav,1547.68017409998,1547.679414119944,6,"[5.152755100047216, 17.81354779994581, 16.425398600054905, 19.186200800002553, 3.9863132999744266, 4.400876399944536]","[5.152762999990955, 17.81355419999454, 0.03309759998228401, 0.00021639990154653788, 0.046706699999049306, 4.400883900001645]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio7.wav,1552.1323682999937,1552.1330617199653,7,"[5.152755100047216, 17.81354779994581, 16.425398600054905, 19.186200800002553, 3.9863132999744266, 4.400876399944536, 5.1188400000100955]","[5.152762999990955, 17.81355419999454, 0.03309759998228401, 0.00021639990154653788, 0.046706699999049306, 0.11478990002069622, 5.118846300058067]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio8.wav,1557.3157743999036,1557.3038924199298,8,"[5.152755100047216, 17.81354779994581, 16.425398600054905, 19.186200800002553, 3.9863132999744266, 4.400876399944536, 5.1188400000100955, 11.211699699983]","[5.152762999990955, 17.81355419999454, 0.03309759998228401, 0.00021639990154653788, 0.046706699999049306, 0.11478990002069622, 0.0354580000275746, 11.211706400034018]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio9.wav,1568.5942495999625,1568.596714149986,9,"[5.152755100047216, 17.81354779994581, 16.425398600054905, 19.186200800002553, 3.9863132999744266, 4.400876399944536, 5.1188400000100955, 11.211699699983, 5.487945399945602]","[5.152762999990955, 17.81355419999454, 0.03309759998228401, 0.00021639990154653788, 0.046706699999049306, 0.11478990002069622, 0.0354580000275746, 0.09993839997332543, 5.487952600000426]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio10.wav,1574.1198863999452,1574.117861289985,10,"[5.152755100047216, 17.81354779994581, 16.425398600054905, 19.186200800002553, 3.9863132999744266, 4.400876399944536, 5.1188400000100955, 11.211699699983, 5.487945399945602, 6.5174181999173015]","[5.152762999990955, 17.81355419999454, 0.03309759998228401, 0.00021639990154653788, 0.046706699999049306, 0.11478990002069622, 0.0354580000275746, 0.09993839997332543, 0.0952129999641329, 6.517424699966796]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5ANKX,train_x,red_square,bottom_left,2025-07-16_16h41.06.717,HideSeek_v1,2022.2.5,60.14086193521657,
