trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio1.wav,1333.6647026,1333.6094303800076,1,[8.137456899999961],[8.137463800000205],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio2.wav,1341.8184171000003,1341.8184052000004,2,"[8.137456899999961, 19.030087000000094]","[0.014810600000146223, 19.03009380000003]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio3.wav,1360.9336805000003,1360.9335265800005,3,"[8.137456899999961, 19.030087000000094, 16.260919999999714]","[0.014810600000146223, 0.00022659999967800104, 16.2609266999998]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio4.wav,1377.2717247,1377.26347,4,"[8.137456899999961, 19.030087000000094, 16.260919999999714, 19.54047679999985]","[0.014810600000146223, 0.00022659999967800104, 0.056960200000048644, 19.540483299999778]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio5.wav,1396.8781909,1396.8640984200001,5,"[8.137456899999961, 19.030087000000094, 16.260919999999714, 19.54047679999985, 5.087676300000112]","[0.014810600000146223, 0.00022659999967800104, 0.056960200000048644, 0.049993999999969674, 5.087683299999753]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio6.wav,1402.0155378,1402.0179179200004,6,"[8.137456899999961, 19.030087000000094, 16.260919999999714, 19.54047679999985, 5.087676300000112, 5.537891299999956]","[0.014810600000146223, 0.00022659999967800104, 0.056960200000048644, 0.049993999999969674, 0.08279219999985798, 5.537897899999734]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio7.wav,1407.6163639000001,1407.6060203200004,7,"[8.137456899999961, 19.030087000000094, 16.260919999999714, 19.54047679999985, 5.087676300000112, 5.537891299999956, 6.459211800000048]","[0.014810600000146223, 0.00022659999967800104, 0.056960200000048644, 0.049993999999969674, 0.08279219999985798, 0.07040330000018002, 6.459218800000144]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio8.wav,1414.1284596,1414.1277906200003,8,"[8.137456899999961, 19.030087000000094, 16.260919999999714, 19.54047679999985, 5.087676300000112, 5.537891299999956, 6.459211800000048, 12.790649999999914]","[0.014810600000146223, 0.00022659999967800104, 0.056960200000048644, 0.049993999999969674, 0.08279219999985798, 0.07040330000018002, 0.07995189999974173, 12.790657099999862]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio9.wav,1426.9836845,1426.9717262200002,9,"[8.137456899999961, 19.030087000000094, 16.260919999999714, 19.54047679999985, 5.087676300000112, 5.537891299999956, 6.459211800000048, 12.790649999999914, 6.2418846000000485]","[0.014810600000146223, 0.00022659999967800104, 0.056960200000048644, 0.049993999999969674, 0.08279219999985798, 0.07040330000018002, 0.07995189999974173, 0.0358830999998645, 6.241892500000176]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/bottom_left/instructions/Audio10.wav,1433.2789946000003,1433.2772882200002,10,"[8.137456899999961, 19.030087000000094, 16.260919999999714, 19.54047679999985, 5.087676300000112, 5.537891299999956, 6.459211800000048, 12.790649999999914, 6.2418846000000485, 8.435901400000148]","[0.014810600000146223, 0.00022659999967800104, 0.056960200000048644, 0.049993999999969674, 0.08279219999985798, 0.07040330000018002, 0.07995189999974173, 0.0358830999998645, 0.0478211999998166, 8.435907600000064]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FJFCRA,train_x,red_square,bottom_left,2025-09-25_17h01.51.938,HideSeek_v1,2022.2.5,59.97994270723117,
