trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio1.wav,78.61461609997787,78.57193216029555,1,[3.445683700032532],[3.4456915999762714],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio2.wav,82.0835496999789,82.06985494005494,2,"[3.445683700032532, 18.316189300036058]","[0.0002500999253243208, 18.31619710009545]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio3.wav,100.46726950001903,100.46858735010028,3,"[3.445683700032532, 18.316189300036058, 16.129229600075632]","[0.0002500999253243208, 0.00021810014732182026, 16.129237400135025]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio4.wav,116.68130080006085,116.6819167600479,4,"[3.445683700032532, 18.316189300036058, 16.129229600075632, 19.465106999967247]","[0.0002500999253243208, 0.00021810014732182026, 16.129237400135025, 19.465114600025117]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio5.wav,136.21275550010614,136.21499594999477,5,"[3.445683700032532, 18.316189300036058, 16.129229600075632, 19.465106999967247, 4.920925799990073]","[0.0002500999253243208, 0.00021810014732182026, 16.129237400135025, 0.06688910000957549, 4.920933600049466]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio6.wav,141.18461690004915,141.1856340400409,6,"[3.445683700032532, 18.316189300036058, 16.129229600075632, 19.465106999967247, 4.920925799990073, 4.1020138000603765]","[0.0002500999253243208, 0.00021810014732182026, 16.129237400135025, 0.06688910000957549, 0.03221870004199445, 4.102021200116724]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio7.wav,145.3379583999049,145.33911133999936,7,"[3.445683700032532, 18.316189300036058, 16.129229600075632, 19.465106999967247, 4.920925799990073, 4.1020138000603765, 4.869271900039166]","[0.0002500999253243208, 0.00021810014732182026, 16.129237400135025, 0.06688910000957549, 0.03221870004199445, 0.08221139991655946, 4.8692795999813825]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio8.wav,150.2593710999936,150.259882040089,8,"[3.445683700032532, 18.316189300036058, 16.129229600075632, 19.465106999967247, 4.920925799990073, 4.1020138000603765, 4.869271900039166, 11.657947400119156]","[0.0002500999253243208, 0.00021810014732182026, 16.129237400135025, 0.06688910000957549, 0.03221870004199445, 0.08221139991655946, 0.06525760004296899, 11.657955100061372]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio9.wav,161.98400820000097,161.98620914993808,9,"[3.445683700032532, 18.316189300036058, 16.129229600075632, 19.465106999967247, 4.920925799990073, 4.1020138000603765, 4.869271900039166, 11.657947400119156, 6.071846999926493]","[0.0002500999253243208, 0.00021810014732182026, 16.129237400135025, 0.06688910000957549, 0.03221870004199445, 0.08221139991655946, 0.06525760004296899, 0.03323719999752939, 6.0718549999874085]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio10.wav,168.09380239993334,168.09153382992372,10,"[3.445683700032532, 18.316189300036058, 16.129229600075632, 19.465106999967247, 4.920925799990073, 4.1020138000603765, 4.869271900039166, 11.657947400119156, 6.071846999926493, 7.134247200097889]","[0.0002500999253243208, 0.00021810014732182026, 16.129237400135025, 0.06688910000957549, 0.03221870004199445, 0.08221139991655946, 0.06525760004296899, 0.03323719999752939, 0.06370369996875525, 7.134254999924451]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FWRGJU,train_y,red_square,top_right,2025-08-19_18h46.28.717,HideSeek_v1,2022.2.5,59.982676982707986,
