trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,wLy_dir,wLx_dir,x_movePos,y_movePos,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio1.wav,408.85783620004077,408.80887780894994,1,[3.230918399989605],[3.230926899937913],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio2.wav,412.112422300037,412.1118041500449,2,"[3.230918399989605, 20.84779799997341]","[3.230926899937913, 20.847806800040416]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio3.wav,433.03892290010117,433.0291682500392,3,"[3.230918399989605, 20.84779799997341, 16.50117439997848]","[3.230926899937913, 0.014205999905243516, 16.50118229992222]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio4.wav,449.6147974000778,449.6088857500581,4,"[3.230918399989605, 20.84779799997341, 16.50117439997848, 19.32467799994629]","[3.230926899937913, 0.014205999905243516, 0.030597600038163364, 19.324685400002636]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio5.wav,469.00339260010514,468.9918603600003,5,"[3.230918399989605, 20.84779799997341, 16.50117439997848, 19.32467799994629, 4.290291400044225]","[3.230926899937913, 0.014205999905243516, 0.030597600038163364, 0.03677460004109889, 4.290299099986441]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio6.wav,473.3445345000364,473.3453286600765,6,"[3.230918399989605, 20.84779799997341, 16.50117439997848, 19.32467799994629, 4.290291400044225, 4.935895600006916]","[3.230926899937913, 0.014205999905243516, 0.030597600038163364, 0.03677460004109889, 0.00021249998826533556, 4.935902799945325]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio7.wav,478.33093290007673,478.3327850600239,7,"[3.230918399989605, 20.84779799997341, 16.50117439997848, 19.32467799994629, 4.290291400044225, 4.935895600006916, 5.720726799918339]","[3.230926899937913, 0.014205999905243516, 0.030597600038163364, 0.03677460004109889, 0.00021249998826533556, 0.03265309997368604, 5.72073379997164]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio8.wav,484.10447180003393,484.10422945998147,8,"[3.230918399989605, 20.84779799997341, 16.50117439997848, 19.32467799994629, 4.290291400044225, 4.935895600006916, 5.720726799918339, 11.406710000010207]","[3.230926899937913, 0.014205999905243516, 0.030597600038163364, 0.03677460004109889, 0.00021249998826533556, 0.03265309997368604, 0.09736849996261299, 11.406719299964607]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio9.wav,495.5784520000452,495.58056625002064,9,"[3.230918399989605, 20.84779799997341, 16.50117439997848, 19.32467799994629, 4.290291400044225, 4.935895600006916, 5.720726799918339, 11.406710000010207, 5.654427699977532]","[3.230926899937913, 0.014205999905243516, 0.030597600038163364, 0.03677460004109889, 0.00021249998826533556, 0.03265309997368604, 0.09736849996261299, 0.05030200001783669, 5.65443479991518]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/top_right/instructions/Audio10.wav,501.2882566000335,501.2852324599866,10,"[3.230918399989605, 20.84779799997341, 16.50117439997848, 19.32467799994629, 4.290291400044225, 4.935895600006916, 5.720726799918339, 11.406710000010207, 5.654427699977532, 6.967256899923086]","[3.230926899937913, 0.014205999905243516, 0.030597600038163364, 0.03677460004109889, 0.00021249998826533556, 0.03265309997368604, 0.09736849996261299, 0.05030200001783669, 0.045975100016221404, 6.9672669999999925]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G8G5CJ,train_y,red_square,top_right,2025-06-07_11h09.16.642,HideSeek_v1,2022.2.5,60.02040691206893,
