trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio1.wav,2030.451263999974,2030.399011540564,1,[6.857625000004191],[6.857634000014514],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio2.wav,2037.3295412999578,2037.3262469000183,2,"[6.857625000004191, 17.877388999972027]","[0.014936799998395145, 17.877398399985395]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio3.wav,2055.2825110999984,2055.274210000003,3,"[6.857625000004191, 17.877388999972027, 16.38550660002511]","[0.014936799998395145, 0.05531750002410263, 16.385514300025534]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio4.wav,2071.7488171999576,2071.7377365999855,4,"[6.857625000004191, 17.877388999972027, 16.38550660002511, 19.336129099945538]","[0.014936799998395145, 0.05531750002410263, 0.014754699950572103, 19.33613679994596]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio5.wav,2091.1506111999624,2091.137297779997,5,"[6.857625000004191, 17.877388999972027, 16.38550660002511, 19.336129099945538, 5.071190699993167]","[0.014936799998395145, 0.05531750002410263, 0.014754699950572103, 0.0002120000426657498, 5.071199099998921]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio6.wav,2096.2740188000025,2096.2747500799946,6,"[6.857625000004191, 17.877388999972027, 16.38550660002511, 19.336129099945538, 5.071190699993167, 5.236298899981193]","[0.014936799998395145, 0.05531750002410263, 0.014754699950572103, 0.0002120000426657498, 0.04904439998790622, 5.2363068999839015]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio7.wav,2101.5675281999866,2101.5625790799736,7,"[6.857625000004191, 17.877388999972027, 16.38550660002511, 19.336129099945538, 5.071190699993167, 5.236298899981193, 6.114653899974655]","[0.014936799998395145, 0.05531750002410263, 0.014754699950572103, 0.0002120000426657498, 0.04904439998790622, 0.04820700001437217, 6.114661799976602]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio8.wav,2107.735925599991,2107.734699679981,8,"[6.857625000004191, 17.877388999972027, 16.38550660002511, 19.336129099945538, 5.071190699993167, 5.236298899981193, 6.114653899974655, 11.9885541999829]","[0.014936799998395145, 0.05531750002410263, 0.014754699950572103, 0.0002120000426657498, 0.04904439998790622, 0.04820700001437217, 0.046767399995587766, 11.98856110003544]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio9.wav,2119.7996060999576,2119.794288299978,9,"[6.857625000004191, 17.877388999972027, 16.38550660002511, 19.336129099945538, 5.071190699993167, 5.236298899981193, 6.114653899974655, 11.9885541999829, 5.830350999953225]","[0.014936799998395145, 0.05531750002410263, 0.014754699950572103, 0.0002120000426657498, 0.04904439998790622, 0.04820700001437217, 0.046767399995587766, 0.01441879995400086, 5.830358799954411]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio10.wav,2125.6679151999997,2125.665653359971,10,"[6.857625000004191, 17.877388999972027, 16.38550660002511, 19.336129099945538, 5.071190699993167, 5.236298899981193, 6.114653899974655, 11.9885541999829, 5.830350999953225, 7.117376699985471]","[0.014936799998395145, 0.05531750002410263, 0.014754699950572103, 0.0002120000426657498, 0.04904439998790622, 0.04820700001437217, 0.046767399995587766, 0.01441879995400086, 0.06278320000274107, 7.11738479998894]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNT74G,train_x,blue_star,bottom_left,2025-09-30_17h20.07.928,HideSeek_v1,2022.2.5,59.9740072628238,
