trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio1.wav,1622.7802226000058,1622.7223177596288,1,[4.461722299980465],[4.461732199997641],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio2.wav,1627.2568066999956,1627.2589298499952,2,"[4.461722299980465, 19.014725900022313]","[4.461732199997641, 19.014732900017407]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio3.wav,1646.3399241000006,1646.3403341499943,3,"[4.461722299980465, 19.014725900022313, 16.946069999976316]","[4.461732199997641, 0.03176149999490008, 16.94607679999899]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio4.wav,1663.367826600006,1663.354861350017,4,"[4.461722299980465, 19.014725900022313, 16.946069999976316, 18.98623830001452]","[4.461732199997641, 0.03176149999490008, 0.014548500010278076, 18.986246000014944]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio5.wav,1682.4201151000161,1682.4206687499973,5,"[4.461722299980465, 19.014725900022313, 16.946069999976316, 18.98623830001452, 4.085214299993822]","[4.461732199997641, 0.03176149999490008, 0.014548500010278076, 0.014224499987903982, 4.085221000015736]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio6.wav,1686.5562061000091,1686.5576197199932,6,"[4.461722299980465, 19.014725900022313, 16.946069999976316, 18.98623830001452, 4.085214299993822, 5.236439799977234]","[4.461732199997641, 0.03176149999490008, 0.014548500010278076, 0.014224499987903982, 0.03239939999184571, 5.236446599999908]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio7.wav,1691.843671300012,1691.8451076199942,7,"[4.461722299980465, 19.014725900022313, 16.946069999976316, 18.98623830001452, 4.085214299993822, 5.236439799977234, 5.203529800026445]","[4.461732199997641, 0.03176149999490008, 0.014548500010278076, 0.014224499987903982, 0.03239939999184571, 0.049053700000513345, 5.2035359000146855]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio8.wav,1697.12047720002,1697.116408649992,8,"[4.461722299980465, 19.014725900022313, 16.946069999976316, 18.98623830001452, 4.085214299993822, 5.236439799977234, 5.203529800026445, 11.603383399982704]","[4.461732199997641, 0.03176149999490008, 0.014548500010278076, 0.014224499987903982, 0.03239939999184571, 0.049053700000513345, 0.014488399989204481, 11.603390099975513]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio9.wav,1708.7956434000225,1708.792642750006,9,"[4.461722299980465, 19.014725900022313, 16.946069999976316, 18.98623830001452, 4.085214299993822, 5.236439799977234, 5.203529800026445, 11.603383399982704, 5.532255199999781]","[4.461732199997641, 0.03176149999490008, 0.014548500010278076, 0.014224499987903982, 0.03239939999184571, 0.049053700000513345, 0.014488399989204481, 0.03068239998538047, 5.532262699998682]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio10.wav,1714.3666013000184,1714.3640012900025,10,"[4.461722299980465, 19.014725900022313, 16.946069999976316, 18.98623830001452, 4.085214299993822, 5.236439799977234, 5.203529800026445, 11.603383399982704, 5.532255199999781, 6.6669956000114325]","[4.461732199997641, 0.03176149999490008, 0.014548500010278076, 0.014224499987903982, 0.03239939999184571, 0.049053700000513345, 0.014488399989204481, 0.03068239998538047, 0.04663210001308471, 6.667002500005765]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GR39LD,train_x,red_square,top_right,2025-07-11_17h40.03.199,HideSeek_v1,2022.2.5,59.8965586365434,
