trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio1.wav,836.2509854999371,836.1873370411573,1,[9.767794999992475],[9.767804099945351],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio2.wav,846.0323358000023,846.028628650005,2,"[9.767794999992475, 19.460487299948]","[0.04518299992196262, 19.460498499916866]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio3.wav,865.5652757999487,865.5618647499941,3,"[9.767794999992475, 19.460487299948, 17.608379799989052]","[0.04518299992196262, 0.06318499997723848, 17.608387799933553]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio4.wav,883.264441999956,883.2587345399894,4,"[9.767794999992475, 19.460487299948, 17.608379799989052, 19.958077699993737]","[0.04518299992196262, 0.06318499997723848, 0.00029989995528012514, 19.958088099956512]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio5.wav,903.2888188998913,903.2916275499156,5,"[9.767794999992475, 19.460487299948, 17.608379799989052, 19.958077699993737, 6.404378199949861]","[0.04518299992196262, 0.06318499997723848, 0.00029989995528012514, 0.00031919998582452536, 6.404393299948424]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio6.wav,909.767634299933,909.7636974499328,6,"[9.767794999992475, 19.460487299948, 17.608379799989052, 19.958077699993737, 6.404378199949861, 6.149202300002798]","[0.04518299992196262, 0.06318499997723848, 0.00029989995528012514, 0.00031919998582452536, 0.029016899992711842, 6.149210599949583]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio7.wav,915.9742097998969,915.9696377599379,7,"[9.767794999992475, 19.460487299948, 17.608379799989052, 19.958077699993737, 6.404378199949861, 6.149202300002798, 5.9317845000186935]","[0.04518299992196262, 0.06318499997723848, 0.00029989995528012514, 0.00031919998582452536, 0.029016899992711842, 0.060740499990060925, 5.931794499978423]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio8.wav,921.9625774999149,921.9573227599961,8,"[9.767794999992475, 19.460487299948, 17.608379799989052, 19.958077699993737, 6.404378199949861, 6.149202300002798, 5.9317845000186935, 11.969809499918483]","[0.04518299992196262, 0.06318499997723848, 0.00029989995528012514, 0.00031919998582452536, 0.029016899992711842, 0.060740499990060925, 0.06085659994278103, 11.96981819998473]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio9.wav,934.0056445999071,934.0013182499679,9,"[9.767794999992475, 19.460487299948, 17.608379799989052, 19.958077699993737, 6.404378199949861, 6.149202300002798, 5.9317845000186935, 11.969809499918483, 7.165168599924073]","[0.04518299992196262, 0.06318499997723848, 0.00029989995528012514, 0.00031919998582452536, 0.029016899992711842, 0.060740499990060925, 0.06085659994278103, 0.029358699917793274, 7.165177099988796]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/bottom_right/instructions/Audio10.wav,941.2136142998934,941.2073657699628,10,"[9.767794999992475, 19.460487299948, 17.608379799989052, 19.958077699993737, 6.404378199949861, 6.149202300002798, 5.9317845000186935, 11.969809499918483, 7.165168599924073, 7.4628012999892235]","[0.04518299992196262, 0.06318499997723848, 0.00029989995528012514, 0.00031919998582452536, 0.029016899992711842, 0.060740499990060925, 0.06085659994278103, 0.029358699917793274, 0.09225260000675917, 7.46280899993144]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GYWY7N,train_x,red_square,bottom_right,2025-07-16_18h11.58.709,HideSeek_v1,2022.2.5,59.970230788128646,
