trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,wLy_dir,wLx_dir,x_movePos,y_movePos,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio1.wav,70.1742378002964,70.1238072684966,1,[5.28221350023523],[5.2822282002307475],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio2.wav,75.47751480014995,75.47606630041264,2,"[5.28221350023523, 18.578366599977016]","[5.2822282002307475, 18.57837350014597]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio3.wav,94.13772270036861,94.12485460028984,3,"[5.28221350023523, 18.578366599977016, 16.88426520023495]","[5.2822282002307475, 0.0002787001430988312, 16.884272700175643]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio4.wav,111.10196210024878,111.08895410015248,4,"[5.28221350023523, 18.578366599977016, 16.88426520023495, 19.5675202999264]","[5.2822282002307475, 0.0002787001430988312, 16.884272700175643, 19.567527200095356]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio5.wav,130.73440660024062,130.72176584014667,5,"[5.28221350023523, 18.578366599977016, 16.88426520023495, 19.5675202999264, 5.105898200068623]","[5.2822282002307475, 0.0002787001430988312, 16.884272700175643, 0.05179180018603802, 5.105904500000179]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio6.wav,135.89114060020074,135.89273884026332,6,"[5.28221350023523, 18.578366599977016, 16.88426520023495, 19.5675202999264, 5.105898200068623, 5.004665299784392]","[5.2822282002307475, 0.0002787001430988312, 16.884272700175643, 0.05179180018603802, 0.014042200054973364, 5.004673299845308]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio7.wav,140.94648120040074,140.9469733403064,7,"[5.28221350023523, 18.578366599977016, 16.88426520023495, 19.5675202999264, 5.105898200068623, 5.004665299784392, 8.071216499898583]","[5.2822282002307475, 0.0002787001430988312, 16.884272700175643, 0.05179180018603802, 0.014042200054973364, 0.0812062001787126, 8.071223299950361]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio8.wav,149.07267739996314,149.07047224016858,8,"[5.28221350023523, 18.578366599977016, 16.88426520023495, 19.5675202999264, 5.105898200068623, 5.004665299784392, 8.071216499898583, 11.939852400217205]","[5.2822282002307475, 0.0002787001430988312, 16.884272700175643, 0.05179180018603802, 0.014042200054973364, 0.0812062001787126, 0.00020910007879137993, 11.939860000275075]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio9.wav,161.08245230000466,161.0800901001785,9,"[5.28221350023523, 18.578366599977016, 16.88426520023495, 19.5675202999264, 5.105898200068623, 5.004665299784392, 8.071216499898583, 11.939852400217205, 6.4678048002533615]","[5.2822282002307475, 0.0002787001430988312, 16.884272700175643, 0.05179180018603802, 0.014042200054973364, 0.0812062001787126, 0.00020910007879137993, 11.939860000275075, 6.46781160030514]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/bottom_left/instructions/Audio10.wav,167.58727510040626,167.58576728045009,10,"[5.28221350023523, 18.578366599977016, 16.88426520023495, 19.5675202999264, 5.105898200068623, 5.004665299784392, 8.071216499898583, 11.939852400217205, 6.4678048002533615, 7.0350351999513805]","[5.2822282002307475, 0.0002787001430988312, 16.884272700175643, 0.05179180018603802, 0.014042200054973364, 0.0812062001787126, 0.00020910007879137993, 11.939860000275075, 0.04681379999965429, 7.035042500123382]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HN3V3X,train_x,blue_star,bottom_left,2025-03-05_15h36.33.957,HideSeek_v1,2022.2.5,59.969151912616375,
