trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio1.wav,471.0700722000329,471.01567485774865,1,[3.5773486000252888],[3.5773570000892505],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio2.wav,474.6677362000337,474.6696030499297,2,"[3.5773486000252888, 18.982211599941365]","[0.014339299988932908, 18.982218499993905]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio3.wav,493.731842600042,493.71883884997806,3,"[3.5773486000252888, 18.982211599941365, 16.88216400006786]","[0.014339299988932908, 18.982218499993905, 16.882170900003985]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio4.wav,510.6905470000347,510.6827466500108,4,"[3.5773486000252888, 18.982211599941365, 16.88216400006786, 20.156676699989475]","[0.014339299988932908, 18.982218499993905, 0.0363337000599131, 20.156682800035924]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio5.wav,530.9173235000344,530.9164439499727,5,"[3.5773486000252888, 18.982211599941365, 16.88216400006786, 20.156676699989475, 4.250862299930304]","[0.014339299988932908, 18.982218499993905, 0.0363337000599131, 0.0002516999375075102, 4.250870499992743]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio6.wav,535.2180545999436,535.2206037399825,6,"[3.5773486000252888, 18.982211599941365, 16.88216400006786, 20.156676699989475, 4.250862299930304, 4.486368599929847]","[0.014339299988932908, 18.982218499993905, 0.0363337000599131, 0.0002516999375075102, 0.06606069998815656, 4.48637569998391]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio7.wav,539.755013099988,539.7570441399236,7,"[3.5773486000252888, 18.982211599941365, 16.88216400006786, 20.156676699989475, 4.250862299930304, 4.486368599929847, 5.50402979995124]","[0.014339299988932908, 18.982218499993905, 0.0363337000599131, 0.0002516999375075102, 0.06606069998815656, 0.11636049998924136, 5.504036900005303]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio8.wav,545.3303564999951,545.3283023499534,8,"[3.5773486000252888, 18.982211599941365, 16.88216400006786, 20.156676699989475, 4.250862299930304, 4.486368599929847, 5.50402979995124, 11.288349600043148]","[0.014339299988932908, 18.982218499993905, 0.0363337000599131, 0.0002516999375075102, 0.06606069998815656, 0.11636049998924136, 0.03108959994278848, 11.288357399986126]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio9.wav,556.6894181000534,556.6875867499621,9,"[3.5773486000252888, 18.982211599941365, 16.88216400006786, 20.156676699989475, 4.250862299930304, 4.486368599929847, 5.50402979995124, 11.288349600043148, 6.4013870999915525]","[0.014339299988932908, 18.982218499993905, 0.0363337000599131, 0.0002516999375075102, 0.06606069998815656, 0.11636049998924136, 0.03108959994278848, 0.04733019997365773, 6.401395099936053]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/Train_y_first/red_square_00/top_left/instructions/Audio10.wav,563.138113199966,563.1261146300122,10,"[3.5773486000252888, 18.982211599941365, 16.88216400006786, 20.156676699989475, 4.250862299930304, 4.486368599929847, 5.50402979995124, 11.288349600043148, 6.4013870999915525, 6.925143499975093]","[0.014339299988932908, 18.982218499993905, 0.0363337000599131, 0.0002516999375075102, 0.06606069998815656, 0.11636049998924136, 0.03108959994278848, 0.04733019997365773, 0.05292379995808005, 6.925153299933299]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HX3J13,Train_y,red_square,top_left,2025-06-24_15h57.00.262,HideSeek_v1,2022.2.5,59.98900999952131,
