trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,text_2.stopped,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio1.wav,374.90952220000054,374.86389160000454,1,[5.671011100000214],[5.671018500000173],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio2.wav,380.6055363000005,380.6065214000005,2,"[5.671011100000214, 18.69768320000003]","[0.014178000000356406, 18.6976896999995]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio3.wav,399.3822828000002,399.3721322000006,3,"[5.671011100000214, 18.69768320000003, 16.84551089999968]","[0.014178000000356406, 0.03287639999962266, 16.84552099999928]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio4.wav,416.3035682,416.2966568000006,4,"[5.671011100000214, 18.69768320000003, 16.84551089999968, 19.68628820000049]","[0.014178000000356406, 0.03287639999962266, 0.03676570000061474, 19.686295000000428]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio5.wav,436.0572473000002,436.0585298000001,5,"[5.671011100000214, 18.69768320000003, 16.84551089999968, 19.68628820000049, 5.460664999999608]","[0.014178000000356406, 0.03287639999962266, 0.03676570000061474, 0.06959049999932176, 5.460672899999736]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio6.wav,441.5699570000006,441.5685906999999,6,"[5.671011100000214, 18.69768320000003, 16.84551089999968, 19.68628820000049, 5.460664999999608, 5.497450500000014]","[0.014178000000356406, 0.03287639999962266, 0.03676570000061474, 0.06959049999932176, 0.034223699999529344, 5.497457599999507]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio7.wav,447.11972650000007,447.1203087000005,7,"[5.671011100000214, 18.69768320000003, 16.84551089999968, 19.68628820000049, 5.460664999999608, 5.497450500000014, 6.117882600000485]","[0.014178000000356406, 0.03287639999962266, 0.03676570000061474, 0.06959049999932176, 0.034223699999529344, 0.051408100000116974, 6.117890700000316]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio8.wav,453.2938171000005,453.29000939999986,8,"[5.671011100000214, 18.69768320000003, 16.84551089999968, 19.68628820000049, 5.460664999999608, 5.497450500000014, 6.117882600000485, 11.708081900000252]","[0.014178000000356406, 0.03287639999962266, 0.03676570000061474, 0.06959049999932176, 0.034223699999529344, 0.051408100000116974, 0.048241000000416534, 11.708088500000486]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio9.wav,465.0735074000004,465.0713096000004,9,"[5.671011100000214, 18.69768320000003, 16.84551089999968, 19.68628820000049, 5.460664999999608, 5.497450500000014, 6.117882600000485, 11.708081900000252, 7.006558799999766]","[0.014178000000356406, 0.03287639999962266, 0.03676570000061474, 0.06959049999932176, 0.034223699999529344, 0.051408100000116974, 0.048241000000416534, 0.05708859999958804, 7.0065663999994285]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/top_right/instructions/Audio10.wav,472.11953320000066,472.1159439000002,10,"[5.671011100000214, 18.69768320000003, 16.84551089999968, 19.68628820000049, 5.460664999999608, 5.497450500000014, 6.117882600000485, 11.708081900000252, 7.006558799999766, 8.246135999999751]","[0.014178000000356406, 0.03287639999962266, 0.03676570000061474, 0.06959049999932176, 0.034223699999529344, 0.051408100000116974, 0.048241000000416534, 0.05708859999958804, 0.06980829999974958, 8.246142599999985]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LE4AFC,train_x,red_square,top_right,2025-08-07_12h18.19.542,HideSeek_v1,2022.2.5,59.95351204655068,
