trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio1.wav,107.99576800002251,107.93982563006576,1,[7.855027900019195],[7.855035100015812],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio2.wav,115.8715948999743,115.85791747998447,2,"[7.855027900019195, 19.150063599983696]","[0.03426369995577261, 19.150069499970414]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio3.wav,135.0925393999787,135.09045185000286,3,"[7.855027900019195, 19.150063599983696, 16.375520500005223]","[0.03426369995577261, 0.046641600027214736, 16.375526899995748]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio4.wav,151.54836379998596,151.53721075001522,4,"[7.855027900019195, 19.150063599983696, 16.375520500005223, 19.185530700022355]","[0.03426369995577261, 0.046641600027214736, 0.014228500018361956, 19.18553710001288]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio5.wav,170.8041128999903,170.80321865002043,5,"[7.855027900019195, 19.150063599983696, 16.375520500005223, 19.185530700022355, 4.067256900016218]","[0.03426369995577261, 0.046641600027214736, 0.014228500018361956, 0.014259200019296259, 4.067264800018165]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio6.wav,174.92163769999752,174.92334717999913,6,"[7.855027900019195, 19.150063599983696, 16.375520500005223, 19.185530700022355, 4.067256900016218, 4.553050199989229]","[0.03426369995577261, 0.046641600027214736, 0.014228500018361956, 0.014259200019296259, 0.0662919000023976, 4.553057099983562]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio7.wav,179.52592949999962,179.52698697998423,7,"[7.855027900019195, 19.150063599983696, 16.375520500005223, 19.185530700022355, 4.067256900016218, 4.553050199989229, 5.7372363999602385]","[0.03426369995577261, 0.046641600027214736, 0.014228500018361956, 0.014259200019296259, 0.0662919000023976, 0.0492886999854818, 5.737243299954571]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio8.wav,185.3166245999746,185.31532917997103,8,"[7.855027900019195, 19.150063599983696, 16.375520500005223, 19.185530700022355, 4.067256900016218, 4.553050199989229, 5.7372363999602385, 11.338858200004324]","[0.03426369995577261, 0.046641600027214736, 0.014228500018361956, 0.014259200019296259, 0.0662919000023976, 0.0492886999854818, 0.030513300036545843, 11.338864499994088]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio9.wav,196.72611529997084,196.7246282500273,9,"[7.855027900019195, 19.150063599983696, 16.375520500005223, 19.185530700022355, 4.067256900016218, 4.553050199989229, 5.7372363999602385, 11.338858200004324, 5.450806199980434]","[0.03426369995577261, 0.046641600027214736, 0.014228500018361956, 0.014259200019296259, 0.0662919000023976, 0.0492886999854818, 0.030513300036545843, 0.06503659998998046, 5.450813300034497]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/bottom_left/instructions/Audio10.wav,202.2152387999813,202.2126064099779,10,"[7.855027900019195, 19.150063599983696, 16.375520500005223, 19.185530700022355, 4.067256900016218, 4.553050199989229, 5.7372363999602385, 11.338858200004324, 5.450806199980434, 7.317363999958616]","[0.03426369995577261, 0.046641600027214736, 0.014228500018361956, 0.014259200019296259, 0.0662919000023976, 0.0492886999854818, 0.030513300036545843, 0.06503659998998046, 0.08021409995853901, 7.317370900011156]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LU88XK,train_y,red_square,bottom_left,2025-05-12_16h50.54.326,HideSeek_v1,2022.2.5,59.95333233369406,
