trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,fixation_text.started,fixation_text.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio1.wav,741.3172699999996,741.2639794741059,1,[8.857361699920148],[8.857369099976495],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio2.wav,750.1884707999416,750.1756714600605,2,"[8.857361699920148, 18.366788299987093]","[8.857369099976495, 18.366795200156048]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio3.wav,768.6303460998461,768.6243532501394,3,"[8.857361699920148, 18.366788299987093, 18.99055329989642]","[8.857369099976495, 18.366795200156048, 18.990560699952766]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio4.wav,787.6990222998429,787.6900126499822,4,"[8.857361699920148, 18.366788299987093, 18.99055329989642, 19.971687800018117]","[8.857369099976495, 18.366795200156048, 0.03489780006930232, 19.97169480007142]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio5.wav,807.7395041000564,807.7398714501178,5,"[8.857361699920148, 18.366788299987093, 18.99055329989642, 19.971687800018117, 5.002474999986589]","[8.857369099976495, 18.366795200156048, 0.03489780006930232, 0.00022580008953809738, 5.002481899922714]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio6.wav,812.7935696998611,812.7942460600287,6,"[8.857361699920148, 18.366788299987093, 18.99055329989642, 19.971687800018117, 5.002474999986589, 4.702392400009558]","[8.857369099976495, 18.366795200156048, 0.03489780006930232, 0.00022580008953809738, 0.014503500191494823, 4.7024004000704736]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio7.wav,817.5471381999087,817.5480124600698,7,"[8.857361699920148, 18.366788299987093, 18.99055329989642, 19.971687800018117, 5.002474999986589, 4.702392400009558, 5.5199150000698864]","[8.857369099976495, 18.366795200156048, 0.03489780006930232, 0.00022580008953809738, 0.014503500191494823, 0.04921519989147782, 5.519922300009057]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio8.wav,823.1197329999413,823.1193007600494,8,"[8.857361699920148, 18.366788299987093, 18.99055329989642, 19.971687800018117, 5.002474999986589, 4.702392400009558, 5.5199150000698864, 12.073628399986774]","[8.857369099976495, 18.366795200156048, 0.03489780006930232, 0.00022580008953809738, 0.014503500191494823, 0.04921519989147782, 0.06372309988364577, 12.073635400040075]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio9.wav,835.2579949998762,835.2461867599749,9,"[8.857361699920148, 18.366788299987093, 18.99055329989642, 19.971687800018117, 5.002474999986589, 4.702392400009558, 5.5199150000698864, 12.073628399986774, 6.624841999961063]","[8.857369099976495, 18.366795200156048, 0.03489780006930232, 0.00022580008953809738, 0.014503500191494823, 0.04921519989147782, 0.06372309988364577, 0.052883500000461936, 6.624852599808946]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio10.wav,841.9194050999358,841.918297870108,10,"[8.857361699920148, 18.366788299987093, 18.99055329989642, 19.971687800018117, 5.002474999986589, 4.702392400009558, 5.5199150000698864, 12.073628399986774, 6.624841999961063, 7.418950399849564]","[8.857369099976495, 18.366795200156048, 0.03489780006930232, 0.00022580008953809738, 0.014503500191494823, 0.04921519989147782, 0.06372309988364577, 0.052883500000461936, 0.1131394999101758, 7.418957900023088]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MM6K0C,train_x,blue_star,top_left,2024-12-06_16h01.16.516,HideSeek_v1,2022.2.5,59.907502808759205,
