trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio1.wav,1449.0778671000153,1449.027401621174,1,[6.379530600039288],[6.37956149992533],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio2.wav,1455.4796263999306,1455.4792545000091,2,"[6.379530600039288, 19.131817299872637]","[0.03133409982547164, 19.131824400043115]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio3.wav,1474.682012599893,1474.6788276999723,3,"[6.379530600039288, 19.131817299872637, 17.144167399965227]","[0.03133409982547164, 0.046786499908193946, 17.144175400026143]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio4.wav,1491.9098751998972,1491.9102049399166,4,"[6.379530600039288, 19.131817299872637, 17.144167399965227, 19.847488300176337]","[0.03133409982547164, 0.046786499908193946, 0.03125470015220344, 19.847497100010514]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio5.wav,1511.8294613999315,1511.826316199964,5,"[6.379530600039288, 19.131817299872637, 17.144167399965227, 19.847488300176337, 6.366378299891949]","[0.03133409982547164, 0.046786499908193946, 0.03125470015220344, 0.03066179994493723, 6.366385499946773]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio6.wav,1518.248111099936,1518.2484344598836,6,"[6.379530600039288, 19.131817299872637, 17.144167399965227, 19.847488300176337, 6.366378299891949, 4.9687819997780025]","[0.03133409982547164, 0.046786499908193946, 0.03125470015220344, 0.03066179994493723, 0.06468819989822805, 4.968789099948481]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio7.wav,1523.269202800002,1523.2694000598042,7,"[6.379530600039288, 19.131817299872637, 17.144167399965227, 19.847488300176337, 6.366378299891949, 4.9687819997780025, 5.685850000008941]","[0.03133409982547164, 0.046786499908193946, 0.03125470015220344, 0.03066179994493723, 0.06468819989822805, 0.06480970000848174, 5.685856800060719]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio8.wav,1529.0098072998226,1529.0073134599718,8,"[6.379530600039288, 19.131817299872637, 17.144167399965227, 19.847488300176337, 6.366378299891949, 4.9687819997780025, 5.685850000008941, 12.405120000010356]","[0.03133409982547164, 0.046786499908193946, 0.03125470015220344, 0.03066179994493723, 0.06468819989822805, 0.06480970000848174, 0.03064570017158985, 12.405126500176266]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio9.wav,1541.484605500009,1541.4842018999625,9,"[6.379530600039288, 19.131817299872637, 17.144167399965227, 19.847488300176337, 6.366378299891949, 4.9687819997780025, 5.685850000008941, 12.405120000010356, 6.485738300019875]","[0.03133409982547164, 0.046786499908193946, 0.03125470015220344, 0.03066179994493723, 0.06468819989822805, 0.06480970000848174, 0.03064570017158985, 0.030444500036537647, 6.485745700076222]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/bottom_right/instructions/Audio10.wav,1548.0259552998468,1548.0230935598722,10,"[6.379530600039288, 19.131817299872637, 17.144167399965227, 19.847488300176337, 6.366378299891949, 4.9687819997780025, 5.685850000008941, 12.405120000010356, 6.485738300019875, 7.284384000115097]","[0.03133409982547164, 0.046786499908193946, 0.03125470015220344, 0.03066179994493723, 0.06468819989822805, 0.06480970000848174, 0.03064570017158985, 0.030444500036537647, 0.030621200101450086, 7.284391000168398]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P6275C,train_y,blue_star,bottom_right,2025-07-31_12h11.11.490,HideSeek_v1,2022.2.5,60.042353849416195,
