trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio1.wav,688.8500135000795,688.7890499441419,1,[7.997346399817616],[7.997354200109839],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio2.wav,696.8679023999721,696.8629763496574,2,"[7.997346399817616, 18.558920199982822]","[0.00020370027050375938, 18.558926600031555]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio3.wav,715.5014284998178,715.4953008496668,3,"[7.997346399817616, 18.558920199982822, 16.87205749982968]","[0.00020370027050375938, 0.030092400033026934, 16.87206419976428]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio4.wav,732.4597837999463,732.4592515397817,4,"[7.997346399817616, 18.558920199982822, 16.87205749982968, 19.56313889985904]","[0.00020370027050375938, 0.030092400033026934, 0.014325299765914679, 19.563145799562335]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio5.wav,752.0914276000112,752.0918621497694,5,"[7.997346399817616, 18.558920199982822, 16.87205749982968, 19.56313889985904, 5.103093300014734]","[0.00020370027050375938, 0.030092400033026934, 0.014325299765914679, 0.031943699810653925, 5.103101400192827]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio6.wav,757.245119899977,757.2461776598357,6,"[7.997346399817616, 18.558920199982822, 16.87205749982968, 19.56313889985904, 5.103093300014734, 5.20307009993121]","[0.00020370027050375938, 0.030092400033026934, 0.014325299765914679, 0.031943699810653925, 0.048523399978876114, 5.203081499785185]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio7.wav,762.5160925001837,762.5172487499658,7,"[7.997346399817616, 18.558920199982822, 16.87205749982968, 19.56313889985904, 5.103093300014734, 5.20307009993121, 6.070843600202352]","[0.00020370027050375938, 0.030092400033026934, 0.014325299765914679, 0.031943699810653925, 0.048523399978876114, 0.03253190033137798, 6.070850200019777]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio8.wav,768.6408230001107,768.6390620600432,8,"[7.997346399817616, 18.558920199982822, 16.87205749982968, 19.56313889985904, 5.103093300014734, 5.20307009993121, 6.070843600202352, 11.822277800180018]","[0.00020370027050375938, 0.030092400033026934, 0.014325299765914679, 0.031943699810653925, 0.048523399978876114, 0.03253190033137798, 0.047868600115180016, 11.822284800000489]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio9.wav,780.5314468997531,780.5321110498626,9,"[7.997346399817616, 18.558920199982822, 16.87205749982968, 19.56313889985904, 5.103093300014734, 5.20307009993121, 6.070843600202352, 11.822277800180018, 6.03693119995296]","[0.00020370027050375938, 0.030092400033026934, 0.014325299765914679, 0.031943699810653925, 0.048523399978876114, 0.03253190033137798, 0.047868600115180016, 0.049081800039857626, 6.036940999794751]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/train_y_first/red_square_00/top_left/instructions/Audio10.wav,786.6132441000082,786.603900969727,10,"[7.997346399817616, 18.558920199982822, 16.87205749982968, 19.56313889985904, 5.103093300014734, 5.20307009993121, 6.070843600202352, 11.822277800180018, 6.03693119995296, 6.860086600296199]","[0.00020370027050375938, 0.030092400033026934, 0.014325299765914679, 0.031943699810653925, 0.048523399978876114, 0.03253190033137798, 0.047868600115180016, 0.049081800039857626, 0.08805650006979704, 6.860093300230801]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCKZKF,train_y,red_square,top_left,2025-03-06_15h42.09.645,HideSeek_v1,2022.2.5,60.32232631492774,
