trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio1.wav,1289.9740824999753,1289.925216700649,1,[8.886751299956813],[8.886758900014684],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio2.wav,1298.8792167999782,1298.8657095000146,2,"[8.886751299956813, 18.549836299964227]","[0.1009589999448508, 18.549858700018376]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio3.wav,1317.510794700007,1317.497994949983,3,"[8.886751299956813, 18.549836299964227, 17.114827399956994]","[0.1009589999448508, 0.013672500033862889, 17.11483540001791]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio4.wav,1334.7041518000187,1334.6953695499687,4,"[8.886751299956813, 18.549836299964227, 17.114827399956994, 20.35567199997604]","[0.1009589999448508, 0.013672500033862889, 0.0558404999319464, 20.35568059992511]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio5.wav,1355.1300844999496,1355.1285258499556,5,"[8.886751299956813, 18.549836299964227, 17.114827399956994, 20.35567199997604, 4.800778300035745]","[0.1009589999448508, 0.013672500033862889, 0.0558404999319464, 0.014482200029306114, 4.80078729998786]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio6.wav,1359.9809508000035,1359.982942900015,6,"[8.886751299956813, 18.549836299964227, 17.114827399956994, 20.35567199997604, 4.800778300035745, 5.1202178000239655]","[0.1009589999448508, 0.013672500033862889, 0.0558404999319464, 0.014482200029306114, 0.09914139995817095, 5.120226599974558]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio7.wav,1365.151794699952,1365.1539188000372,7,"[8.886751299956813, 18.549836299964227, 17.114827399956994, 20.35567199997604, 4.800778300035745, 5.1202178000239655, 5.954660400049761]","[0.1009589999448508, 0.013672500033862889, 0.0558404999319464, 0.014482200029306114, 0.09914139995817095, 0.09927470004186034, 5.954669099999592]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio8.wav,1371.158486600034,1371.1590481999795,8,"[8.886751299956813, 18.549836299964227, 17.114827399956994, 20.35567199997604, 4.800778300035745, 5.1202178000239655, 5.954660400049761, 12.175610200036317]","[0.1009589999448508, 0.013672500033862889, 0.0558404999319464, 0.014482200029306114, 0.09914139995817095, 0.09927470004186034, 0.06472630007192492, 12.175619399989955]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio9.wav,1383.3985568999778,1383.3857227000174,9,"[8.886751299956813, 18.549836299964227, 17.114827399956994, 20.35567199997604, 4.800778300035745, 5.1202178000239655, 5.954660400049761, 12.175610200036317, 6.356746300007217]","[0.1009589999448508, 0.013672500033862889, 0.0558404999319464, 0.014482200029306114, 0.09914139995817095, 0.09927470004186034, 0.06472630007192492, 0.06818820000626147, 6.356762700015679]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/red_square_00/top_left/instructions/Audio10.wav,1389.8030925999628,1389.7911687500425,10,"[8.886751299956813, 18.549836299964227, 17.114827399956994, 20.35567199997604, 4.800778300035745, 5.1202178000239655, 5.954660400049761, 12.175610200036317, 6.356746300007217, 7.775140900048427]","[0.1009589999448508, 0.013672500033862889, 0.0558404999319464, 0.014482200029306114, 0.09914139995817095, 0.09927470004186034, 0.06472630007192492, 0.06818820000626147, 0.06854920007754117, 7.775149399996735]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PFNPG3,train_x,red_square,top_left,2025-01-31_15h04.22.289,HideSeek_v1,2022.2.5,59.94553347830427,
