trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide1.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio1.wav,113.07048290001694,113.02462623920292,1,[3.620501499972306],[3.6205087999114767],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide2.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio2.wav,116.71346300002187,116.71598659997107,2,"[3.620501499972306, 18.066341999918222]","[0.014343300019390881, 18.06634929997381]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide3.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio3.wav,134.86042989999987,134.8486090999213,3,"[3.620501499972306, 18.066341999918222, 16.74828569998499]","[0.014343300019390881, 0.03393060003872961, 16.74829270003829]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide4.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio4.wav,151.691261400003,151.67838339990703,4,"[3.620501499972306, 18.066341999918222, 16.74828569998499, 19.918616499984637]","[0.014343300019390881, 0.03393060003872961, 0.014896800043061376, 19.918623300036415]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide5.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio5.wav,171.6749950000085,171.66139811999165,5,"[3.620501499972306, 18.066341999918222, 16.74828569998499, 19.918616499984637, 4.754761999938637]","[0.014343300019390881, 0.03393060003872961, 0.014896800043061376, 0.05130679998546839, 4.754768099985085]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide6.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio6.wav,176.48025679995771,176.4821285199141,6,"[3.620501499972306, 18.066341999918222, 16.74828569998499, 19.918616499984637, 4.754761999938637, 5.1371843999950215]","[0.014343300019390881, 0.03393060003872961, 0.014896800043061376, 0.05130679998546839, 0.014114700024947524, 5.137191100046039]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide7.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio7.wav,181.66846129996702,181.66975311993156,7,"[3.620501499972306, 18.066341999918222, 16.74828569998499, 19.918616499984637, 4.754761999938637, 5.1371843999950215, 5.436645200010389]","[0.014343300019390881, 0.03393060003872961, 0.014896800043061376, 0.05130679998546839, 0.014114700024947524, 0.013819299987517297, 5.436652000062168]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide8.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio8.wav,187.17449669993948,187.17438769998262,8,"[3.620501499972306, 18.066341999918222, 16.74828569998499, 19.918616499984637, 4.754761999938637, 5.1371843999950215, 5.436645200010389, 11.873960299999453]","[0.014343300019390881, 0.03393060003872961, 0.014896800043061376, 0.05130679998546839, 0.014114700024947524, 0.013819299987517297, 0.031231199973262846, 11.87396729993634]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide9.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio9.wav,199.10059059993364,199.1009460199857,9,"[3.620501499972306, 18.066341999918222, 16.74828569998499, 19.918616499984637, 4.754761999938637, 5.1371843999950215, 5.436645200010389, 11.873960299999453, 6.470531800063327]","[0.014343300019390881, 0.03393060003872961, 0.014896800043061376, 0.05130679998546839, 0.014114700024947524, 0.013819299987517297, 0.031231199973262846, 0.048055300023406744, 6.470538699999452]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Slide10.png,conditions/schedules/train_y_first/blue_star_00/top_right/instructions/Audio10.wav,205.6266508999979,205.62324871995952,10,"[3.620501499972306, 18.066341999918222, 16.74828569998499, 19.918616499984637, 4.754761999938637, 5.1371843999950215, 5.436645200010389, 11.873960299999453, 6.470531800063327, 7.4000660999445245]","[0.014343300019390881, 0.03393060003872961, 0.014896800043061376, 0.05130679998546839, 0.014114700024947524, 0.013819299987517297, 0.031231199973262846, 0.048055300023406744, 0.030719100032001734, 7.400073800003156]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QRDHCC,train_y,blue_star,top_right,2025-06-07_12h24.55.348,HideSeek_v1,2022.2.5,59.96742568369011,
