trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio1.wav,700.5899050999869,700.5428746498146,1,[50.54035450000083],[50.540362200001255],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio2.wav,751.1762827999919,751.1699689599918,2,"[50.54035450000083, 18.52368280000519]","[0.014429000002564862, 18.523689900001045]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio3.wav,769.7784086999891,769.7689926499952,3,"[50.54035450000083, 18.52368280000519, 16.168468500007293]","[0.014429000002564862, 18.523689900001045, 16.168475400001626]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio4.wav,786.0291261999955,786.0156147499874,4,"[50.54035450000083, 18.52368280000519, 16.168468500007293, 19.334879999994882]","[0.014429000002564862, 18.523689900001045, 0.013751399994362146, 19.334888199999114]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio5.wav,805.4287974999897,805.4316279499835,5,"[50.54035450000083, 18.52368280000519, 16.168468500007293, 19.334879999994882, 5.038641199993435]","[0.014429000002564862, 18.523689900001045, 0.013751399994362146, 0.03441509998810943, 5.038648799993098]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio6.wav,810.5190745,810.5193264399859,6,"[50.54035450000083, 18.52368280000519, 16.168468500007293, 19.334879999994882, 5.038641199993435, 5.387190399997053]","[0.014429000002564862, 18.523689900001045, 0.013751399994362146, 0.03441509998810943, 0.03173709999828134, 5.387198299999]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio7.wav,815.9607684999937,815.9569119399966,7,"[50.54035450000083, 18.52368280000519, 16.168468500007293, 19.334879999994882, 5.038641199993435, 5.387190399997053, 6.2665443000005325]","[0.014429000002564862, 18.523689900001045, 0.013751399994362146, 0.03441509998810943, 0.03173709999828134, 0.014775599993299693, 6.266551299995626]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio8.wav,822.2829761999892,822.2791097399895,8,"[50.54035450000083, 18.52368280000519, 16.168468500007293, 19.334879999994882, 5.038641199993435, 5.387190399997053, 6.2665443000005325, 12.020206899993354]","[0.014429000002564862, 18.523689900001045, 0.013751399994362146, 0.03441509998810943, 0.03173709999828134, 0.014775599993299693, 0.06318450000253506, 12.020214599993778]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio9.wav,834.3695327999885,834.372311149993,9,"[50.54035450000083, 18.52368280000519, 16.168468500007293, 19.334879999994882, 5.038641199993435, 5.387190399997053, 6.2665443000005325, 12.020206899993354, 6.088618099995074]","[0.014429000002564862, 18.523689900001045, 0.013751399994362146, 0.03441509998810943, 0.03173709999828134, 0.014775599993299693, 0.06318450000253506, 0.033521199991810136, 6.088625099990168]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/top_left/instructions/Audio10.wav,840.4953415999917,840.494203829985,10,"[50.54035450000083, 18.52368280000519, 16.168468500007293, 19.334879999994882, 5.038641199993435, 5.387190399997053, 6.2665443000005325, 12.020206899993354, 6.088618099995074, 7.802349799996591]","[0.014429000002564862, 18.523689900001045, 0.013751399994362146, 0.03441509998810943, 0.03173709999828134, 0.014775599993299693, 0.06318450000253506, 0.033521199991810136, 0.07922479999251664, 7.802356499989401]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QZV9UY,train_x,blue_star,top_left,2025-09-26_17h05.47.531,HideSeek_v1,2022.2.5,59.87665409611364,
