trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio1.wav,776.2442387000192,776.1797618105077,1,[30.079163199989125],[30.079182699962985],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio2.wav,806.4459770999965,806.4370714100544,2,"[30.079163199989125, 18.454024499980733]","[30.079182699962985, 18.45403249998344]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio3.wav,825.0596474999911,825.0527373000514,3,"[30.079163199989125, 18.454024499980733, 16.88822409999557]","[30.079182699962985, 18.45403249998344, 16.88823169999523]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio4.wav,842.1280040999991,842.1165200100397,4,"[30.079163199989125, 18.454024499980733, 16.88822409999557, 19.60376000002725]","[30.079182699962985, 18.45403249998344, 16.88823169999523, 19.60376800002996]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio5.wav,861.9102641000063,861.8999320100295,5,"[30.079163199989125, 18.454024499980733, 16.88822409999557, 19.60376000002725, 5.3425710999872535]","[30.079182699962985, 18.45403249998344, 16.88823169999523, 19.60376800002996, 5.342580399999861]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio6.wav,867.3831883000094,867.37121868002,6,"[30.079163199989125, 18.454024499980733, 16.88822409999557, 19.60376000002725, 5.3425710999872535, 5.324127600004431]","[30.079182699962985, 18.45403249998344, 16.88823169999523, 19.60376800002996, 5.342580399999861, 5.324135600007139]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio7.wav,872.8605842000106,872.8591176000191,7,"[30.079163199989125, 18.454024499980733, 16.88822409999557, 19.60376000002725, 5.3425710999872535, 5.324127600004431, 5.535035899956711]","[30.079182699962985, 18.45403249998344, 16.88823169999523, 19.60376800002996, 5.342580399999861, 5.324135600007139, 5.5350437999586575]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio8.wav,878.5347637000377,878.5305080900552,8,"[30.079163199989125, 18.454024499980733, 16.88822409999557, 19.60376000002725, 5.3425710999872535, 5.324127600004431, 5.535035899956711, 12.003874799993355]","[30.079182699962985, 18.45403249998344, 16.88823169999523, 19.60376800002996, 5.342580399999861, 5.324135600007139, 5.5350437999586575, 12.003882399993017]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio9.wav,890.7007150000427,890.6904963000561,9,"[30.079163199989125, 18.454024499980733, 16.88822409999557, 19.60376000002725, 5.3425710999872535, 5.324127600004431, 5.535035899956711, 12.003874799993355, 6.159431500011124]","[30.079182699962985, 18.45403249998344, 16.88823169999523, 19.60376800002996, 5.342580399999861, 5.324135600007139, 5.5350437999586575, 12.003882399993017, 6.159439100010786]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio10.wav,896.9518241000478,896.9457059600275,10,"[30.079163199989125, 18.454024499980733, 16.88822409999557, 19.60376000002725, 5.3425710999872535, 5.324127600004431, 5.535035899956711, 12.003874799993355, 6.159431500011124, 7.247544799989555]","[30.079182699962985, 18.45403249998344, 16.88823169999523, 19.60376800002996, 5.342580399999861, 5.324135600007139, 5.5350437999586575, 12.003882399993017, 0.014132199983578175, 7.247551599983126]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TJJYT8,train_x,blue_star,top_right,2024-12-16_16h12.27.030,HideSeek_v1,2022.2.5,59.9257759407959,
