trialInstr,x_fixStart,y_fixStart,x_corrSteps,y_corrSteps,x_nrSteps,y_nrSteps,alienID,trialLength,version,trialTrain,praclen,testlen,trial_label,break_on_off,beforeExpLoop.thisRepN,beforeExpLoop.thisTrialN,beforeExpLoop.thisN,beforeExpLoop.thisIndex,mini_instr_trials.thisRepN,mini_instr_trials.thisTrialN,mini_instr_trials.thisN,mini_instr_trials.thisIndex,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,repeat_prac.thisRepN,repeat_prac.thisTrialN,repeat_prac.thisN,repeat_prac.thisIndex,trainLoop.thisRepN,trainLoop.thisTrialN,trainLoop.thisN,trainLoop.thisIndex,moveLoop_train.thisRepN,moveLoop_train.thisTrialN,moveLoop_train.thisN,moveLoop_train.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,moveLoop_test.thisRepN,moveLoop_test.thisTrialN,moveLoop_test.thisN,moveLoop_test.thisIndex,mini_instr2_trials.thisRepN,mini_instr2_trials.thisTrialN,mini_instr2_trials.thisN,mini_instr2_trials.thisIndex,start_all_time,url,slideStim,audioStim,slides.started,sounds.started,nextButton.numClicks,nextButton.timesOn,nextButton.timesOff,prev_but.numClicks,prev_but.timesOn,prev_but.timesOff,alienStim,instrFile,alienStim_instr,gridImage_instr.started,startPos_3.started,key_instr.started,alienImage_3.started,sounds_1.started,key_instr.keys,key_instr.rt,all_x,all_y,FBy_corrSteps,FBy_fixStart,FBx_corrSteps,FBx_fixStart,FBy_pathSize_check,FBx_pathSize_check,gridImage_9.started,alienImageFB_3.started,startPosFB_3.started,keyFB_3.started,pathLine_ydir_2.started,pathLine_xdir_2.started,alienFace_3.started,sounds_2.started,RTFB_instr,keyFB_3.keys,keyFB_3.rt,draw_alienStim,draw_alienID,test_x,nrepcount,perfthres,percthres,earlierperf,earlystop,nextPrac,fileidx,praclen,saveACC_train,pracFile,nextPrac_train,addNrep,fileidx_endr,repExp,showearly,gridImage_4.started,startPos.started,movePos.started,key_resp.started,alienImage.started,buttonPress_train,RTchoice_train,cumAcctrain,aCorr,saveACC_choice,corrAns,x_movePos_end,y_movePos_end,key_resp.keys,key_resp.rt,wLy_dir,wLx_dir,x_movePos,y_movePos,text_2.started,text_2.stopped,aft_x_corrPos,aft_y_corrPos,y_pathSize_check,x_pathSize_check,y_pathdirY,x_pathdirY,x_pathdirX,x_corrPos,y_corrPos,gridImage_6.started,alienImageFB_2.started,startPosFB_2.started,movePosFB_2.started,keyFB_2.started,pathLine_xdir.started,pathLine_ydir.started,alienFace.started,sounds_4.started,RT_FBtrain,keyFB_2.keys,keyFB_2.rt,saveACC_pre,ACC,within_saveACC_train,earlystop_wloop,cumAcctrain_check,gridImage_3.started,alienImage_test.started,startPos_test.started,movePos_test.started,key_resp_test.started,wLy_dir_test,wLx_dir_test,buttonPress_test,RTchoice_test,cumAcctest,corrAns_test,key_resp_test.keys,key_resp_test.rt,text_3.started,text_3.stopped,total_time,end_all_time,key_resp_3.keys,slides_2.started,sounds_3.started,nextButton_2.numClicks,nextButton_2.timesOn,nextButton_2.timesOff,prev_but_2.numClicks,prev_but_2.timesOn,prev_but_2.timesOff,bye.started,participant,train_first,00_coordinate,starting corner,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,start_all_time,testround,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide1.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio1.wav,1727.3181523000821,1727.26144747769,1,[4.122872699983418],[4.122886399971321],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide2.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio2.wav,1731.4643855000613,1731.4592864500592,2,"[4.122872699983418, 18.84148079995066]","[0.047978000016883016, 18.841488000005484]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
,,,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide3.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio3.wav,1750.374152500066,1750.3748086499982,3,"[4.122872699983418, 18.84148079995066, 16.845458600088023]","[0.047978000016883016, 0.047473000013269484, 16.845464700018056]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
,,,,,,,,,,,,,,,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide4.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio4.wav,1767.3039407000178,1767.3059310799697,4,"[4.122872699983418, 18.84148079995066, 16.845458600088023, 19.499343500006944]","[0.047978000016883016, 0.047473000013269484, 0.0325462999753654, 19.499354199972004]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
,,,,,,,,,,,,,,,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide5.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio5.wav,1786.8711112000747,1786.8721236500423,5,"[4.122872699983418, 18.84148079995066, 16.845458600088023, 19.499343500006944, 4.385539899929427]","[0.047978000016883016, 0.047473000013269484, 0.0325462999753654, 0.06529929989483207, 4.385547599988058]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
,,,,,,,,,,,,,,,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide6.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio6.wav,1791.3070130000124,1791.3088648199803,6,"[4.122872699983418, 18.84148079995066, 16.845458600088023, 19.499343500006944, 4.385539899929427, 6.087698700022884]","[0.047978000016883016, 0.047473000013269484, 0.0325462999753654, 0.06529929989483207, 0.08268810005392879, 6.087705800076947]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
,,,,,,,,,,,,,,,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide7.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio7.wav,1797.4455925000366,1797.4472900199937,7,"[4.122872699983418, 18.84148079995066, 16.845458600088023, 19.499343500006944, 4.385539899929427, 6.087698700022884, 6.271840999950655]","[0.047978000016883016, 0.047473000013269484, 0.0325462999753654, 0.06529929989483207, 0.08268810005392879, 0.08346430002711713, 6.2718494000146165]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
,,,,,,,,,,,,,,,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide8.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio8.wav,1803.7714876000537,1803.7693280199776,8,"[4.122872699983418, 18.84148079995066, 16.845458600088023, 19.499343500006944, 4.385539899929427, 6.087698700022884, 6.271840999950655, 12.390179399983026]","[0.047978000016883016, 0.047473000013269484, 0.0325462999753654, 0.06529929989483207, 0.08268810005392879, 0.08346430002711713, 0.06573300005402416, 12.390190900070593]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
,,,,,,,,,,,,,,,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide9.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio9.wav,1816.2303545000032,1816.2294870499754,9,"[4.122872699983418, 18.84148079995066, 16.845458600088023, 19.499343500006944, 4.385539899929427, 6.087698700022884, 6.271840999950655, 12.390179399983026, 6.451670099981129]","[0.047978000016883016, 0.047473000013269484, 0.0325462999753654, 0.06529929989483207, 0.08268810005392879, 0.08346430002711713, 0.06573300005402416, 0.029995499993674457, 6.451677100034431]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
,,,,,,,,,,,,,,,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Slide10.png,conditions/schedules/train_x_first/blue_star_00/top_right/instructions/Audio10.wav,1822.7287288000807,1822.7182529900222,10,"[4.122872699983418, 18.84148079995066, 16.845458600088023, 19.499343500006944, 4.385539899929427, 6.087698700022884, 6.271840999950655, 12.390179399983026, 6.451670099981129, 7.543779700063169]","[0.047978000016883016, 0.047473000013269484, 0.0325462999753654, 0.06529929989483207, 0.08268810005392879, 0.08346430002711713, 0.06573300005402416, 0.029995499993674457, 0.05433049995917827, 7.543787300004624]",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TLPMPX,train_x,blue_star,top_right,2025-08-14_15h33.58.124,HideSeek_v1,2022.2.5,59.94873185891239,
